DATE,OPP,RESULT,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS
Mon 5/12,@NY,L121-113,40,16-28,57.1,7-16,43.8,3-3,100.0,8,4,2,4,3,4,42
Sat 5/10,@NY,W115-93,40,8-20,40.0,5-9,55.6,1-1,100.0,9,7,0,2,4,3,22
Wed 5/7,vsNY,L91-90,42,5-19,26.3,1-5,20.0,2-2,100.0,14,5,1,3,2,3,13
Mon 5/5,vsNY,L108-105 OT,44,7-23,30.4,4-15,26.7,5-7,71.4,16,6,1,2,2,5,23
Tue 4/29,vsORL,W120-89,34,10-16,62.5,4-5,80.0,11-11,100.0,8,10,0,1,2,2,35
Sun 4/27,@ORL,W107-98,42,10-25,40.0,3-10,30.0,14-14,100.0,14,3,0,3,3,2,37
Fri 4/25,@ORL,L95-93,39,10-22,45.5,4-10,40.0,12-12,100.0,9,4,1,1,1,7,36
Sun 4/20,vsORL,W103-86,40,8-22,36.4,1-8,12.5,0-4,0.0,14,4,1,1,4,0,17
Fri 4/11,vsCHA,W130-94,32,6-17,35.3,3-10,30.0,1-1,100.0,8,8,0,0,4,0,16
Tue 4/8,@NY,W119-117 OT,48,11-22,50.0,4-11,36.4,6-8,75.0,7,5,1,1,2,2,32
Fri 4/4,vsPHX,W123-103,35,9-18,50.0,1-8,12.5,4-5,80.0,8,8,1,1,2,2,23
Wed 4/2,vsMIA,L124-103,32,4-17,23.5,2-9,22.2,6-7,85.7,3,7,0,1,3,2,16
Mon 3/31,@MEM,W117-103,38,10-24,41.7,2-11,18.2,3-3,100.0,14,2,1,0,0,4,25
Sat 3/29,@SA,W121-111,36,10-22,45.5,2-9,22.2,7-7,100.0,10,8,1,0,1,1,29
Mon 3/24,@SAC,W113-95,26,8-15,53.3,5-9,55.6,4-8,50.0,7,8,0,0,1,3,25
Sun 3/23,@POR,W129-116,37,11-24,45.8,1-7,14.3,7-7,100.0,9,9,2,1,2,3,30
Fri 3/21,@UTAH,W121-99,33,11-25,44.0,3-10,30.0,1-1,100.0,6,6,0,3,1,6,26
Sat 3/15,@BKN,W115-113,36,8-19,42.1,1-7,14.3,3-3,100.0,8,8,0,0,3,2,20
Fri 3/14,@MIA,W103-91,37,8-21,38.1,5-12,41.7,7-7,100.0,4,5,0,1,2,5,28
Wed 3/12,vsOKC,L118-112,41,12-23,52.2,4-13,30.8,5-5,100.0,8,8,0,0,2,4,33
Sat 3/8,vsLAL,W111-101,45,12-28,42.9,6-16,37.5,10-12,83.3,12,8,1,2,3,3,40
Thu 3/6,vsPHI,W123-105,31,14-23,60.9,5-11,45.5,2-2,100.0,7,2,0,3,2,4,35
Sun 3/2,vsDEN,W110-103,38,4-15,26.7,1-7,14.3,7-8,87.5,11,7,0,0,5,6,16
Fri 2/28,vsCLE,L123-116,41,19-37,51.4,4-12,33.3,4-5,80.0,16,9,3,0,4,3,46
Wed 2/26,@DET,L117-97,33,10-19,52.6,4-9,44.4,3-4,75.0,6,3,0,0,1,4,27
Tue 2/25,@TOR,W111-101,40,7-18,38.9,3-12,25.0,2-2,100.0,6,11,0,1,2,6,19
Sun 2/23,vsNY,W118-105,37,8-20,40.0,3-10,30.0,6-6,100.0,10,9,0,1,3,3,25
Thu 2/20,@PHI,W124-104,35,5-13,38.5,2-7,28.6,3-3,100.0,11,10,0,1,1,3,15
Sun 2/16,@CHK*,W41-25,11,6-7,85.7,3-4,75.0,0-0,0.0,3,2,0,0,1,0,15
Sun 2/16,vsCAN*,W42-35,10,3-4,75.0,0-1,0.0,0-0,0.0,2,2,1,0,0,1,6
Wed 2/12,vsSA,W116-103,38,12-25,48.0,4-14,28.6,4-8,50.0,14,7,1,0,3,2,32
Mon 2/10,@MIA,W103-85,38,13-26,50.0,4-12,33.3,3-3,100.0,8,2,1,0,1,0,33
Sat 2/8,@NY,W131-104,37,13-26,50.0,7-14,50.0,7-9,77.8,6,4,0,0,1,1,40
Thu 2/6,vsDAL,L127-120,29,5-12,41.7,3-5,60.0,4-5,80.0,4,4,1,0,2,4,17
Tue 2/4,@CLE,W112-105,35,7-23,30.4,3-11,27.3,5-6,83.3,4,7,2,2,0,1,22
Sun 2/2,@PHI,W118-110,44,13-20,65.0,5-8,62.5,4-5,80.0,7,11,1,1,3,3,35
Fri 1/31,@NO,W118-116,39,10-21,47.6,4-10,40.0,3-5,60.0,6,10,0,1,2,5,27
Wed 1/29,vsCHI,W122-100,32,5-15,33.3,2-6,33.3,4-4,100.0,8,5,0,0,1,3,16
Mon 1/27,vsHOU,L114-112,42,5-14,35.7,1-7,14.3,8-8,100.0,6,7,0,0,0,3,19
Sat 1/25,@DAL,W122-107,35,8-22,36.4,4-12,33.3,4-4,100.0,6,3,0,1,5,3,24
Thu 1/23,@LAL,L117-96,30,5-12,41.7,2-6,33.3,4-7,57.1,6,5,1,1,1,2,16
