Player Name,Player ID
Tyler Ferguson,41612
Hogan Harris,41364
Gunnar Hoglund,4414154
Grant Holman,4418343
Matt Krook,41556
Anthony Maldonado,4228651
Mason Miller,4730225
Michel Otanez,4917842
JP Sears,39818
Luis Severino,33263
Mitch Spence,4987645
Jeffrey Springs,35397
Justin Sterner,4307467
Shea Langeliers,42598
Jhonny Pereda,40702
Nick Kurtz,4966637
Max Schuemann,3962127
Tyler Soderstrom,4686066
Luis Urias,35383
Gio Urshela,32721
Jacob Wilson,4719300
Miguel Andujar,33743
JJ Bleday,42410
Seth Brown,35676
Lawrence Butler,4917919
Brent Rooker,40926
