Player Name,Player ID
Matthew Boyd,34401
Ben Brown,41516
Chris Flexen,36067
Cade Horton,4692526
Brad Keller,35292
Julian Merryweather,39816
Daniel Palencia,4875225
Drew Pomeranz,31010
Ryan Pressly,33072
Colin Rea,33950
Ethan Roberts,3963340
Jameson Taillon,31258
Caleb Thielbar,32440
Miguel Amaya,38905
Carson Kelly,32797
Jon Berti,32273
Vidal Brujan,40462
Michael Busch,42415
Nico Hoerner,41219
Matt Shaw,4867667
Dansby Swanson,34895
Justin Turner,29607
Pete Crow-Armstrong,4717833
Ian Happ,34945
Seiya Suzuki,4142424
Kyle Tucker,34967
