Player Name,Player ID
Kolby Allard,34980
Logan Allen,4683350
Tanner Bibee,4345278
Joey Cantillo,42488
Slade Cecconi,41462
Emmanuel Clase,41743
Matt Festa,39871
Hunter Gaddis,4187661
Tim Herrin,4228579
Jakob Junis,36056
Luis Ortiz,5101355
Cade Smith,4987924
Gavin Williams,4345076
Austin Hedges,32168
Bo Naylor,41183
Gabriel Arias,40344
Kyle Manzardo,4917927
Jose Ramirez,32801
Carlos Santana,30280
Daniel Schneemann,42001
Will Wilson,42375
Will Brennan,4088296
Nolan Jones,37340
Steven Kwan,41996
Angel Martinez,42497
Jhonkensy Noel,42548
