Player Name,Player ID
Zach Agnos,5207459
Scott Alexander,33123
Jake Bird,3459223
Angel Chivilli,5185106
Chase Dollander,4719068
Kyle Freeland,33839
Seth Halvorsen,5204400
Jimmy Herget,36093
Tyler Kinley,34166
German Marquez,34874
Carson Palmquist,4621424
Ryan Rolison,41220
Antonio Senzatela,33750
Hunter Goodman,4416591
Jacob Stallings,34089
Adael Amador,4917787
Kyle Farmer,33287
Tyler Freeman,40958
Ryan McMahon,33247
Aaron Schunk,42430
Michael Toglia,42412
Ezequiel Tovar,4905919
Jordan Beck,4619460
Brenton Doyle,42462
Nick Martini,36497
Mickey Moniak,36181
