Player Name,Player ID
John Brebbia,39085
Beau Brieske,4917779
Jack Flaherty,33837
Sean Guenther,3896017
Tyler Holton,3983833
Brant Hurter,5197093
Jackson Jobe,4872647
Tommy Kahnle,31867
Chase Lee,4414112
Keider Montero,5182933
Tarik Skubal,42409
Will Vest,41606
Dillon Dingler,4345620
Jake Rogers,39900
Andy Ibanez,34947
Colt Keith,4683384
Trey Sweeney,4414687
Spencer Torkelson,4424286
Gleyber Torres,33804
Akil Baddoo,40634
Javier Baez,32127
Kerry Carpenter,42714
Riley Greene,42179
Justyn-Henry Malloy,4718623
Zach McKinstry,38420
