Player Name,Player ID
Bryan Abreu,41208
Ronel Blanco,41829
Hunter Brown,4717803
Shawn Dubin,42540
Ryan Gusto,5131986
Josh Hader,32760
Bryan King,5201821
Lance McCullers Jr.,32764
Steven Okert,33716
Kaleb Ort,42639
Bennett Sousa,41776
Framber Valdez,36581
Brandon Walter,4228724
Victor Caratini,33229
Yainer Diaz,4781491
Cesar Salazar,41907
Mauricio Dubon,35304
Isaac Paredes,39706
Jeremy Pena,41273
Brendan Rodgers,35073
Christian Walker,32758
Jose Altuve,31662
Zach Dezenzo,5137883
Chas McCormick,40574
Jake Meyers,40719
Cam Smith,5080766
