Player Name,Player ID
Jonathan Bowlan,41344
Kris Bubic,41201
Noah Cameron,4417208
Taylor Clarke,35277
Steven Cruz,5002931
Lucas Erceg,36618
Carlos Estevez,34861
Michael Lorenzen,33252
Daniel Lynch IV,41227
John Schreiber,39949
Evan Sisk,3994084
Michael Wacha,32640
Angel Zerpa,4705673
Freddy Fermin,41928
Salvador Perez,31127
Cavan Biggio,37639
Maikel Garcia,4905884
Jonathan India,41171
Michael Massey,4109223
Vinnie Pasquantino,4109109
Bobby Witt Jr.,42403
Dairon Blanco,42228
Mark Canha,31670
Kyle Isbel,41263
Hunter Renfroe,33205
Drew Waters,41076
