Player Name,Player ID
Shaun Anderson,39681
Tyler Anderson,32151
Connor Brogdon,41515
Brock Burke,39945
Reid Detmers,4326697
Kyle Hendricks,33173
Kenley Jansen,29630
Yusei Kikuchi,41415
Jack Kochanowicz,4917819
Hector Neris,32377
Jose Soriano,40973
Hunter Strickland,32589
Ryan Zeferjahn,4722057
Travis d'Arnaud,29951
Logan O'Hoppe,42047
Tim Anderson,33184
Yoan Moncada,33984
Zach Neto,4666100
Kevin Newman,35022
Kyren Paris,42536
Luis Rengifo,37237
Nolan Schanuel,4739755
Jo Adell,40854
Matthew Lugo,42486
Jorge Soler,32558
Taylor Ward,34923
