Player Name,Player ID
Sandy Alcantara,35241
Lake Bachar,42592
Valente Bellozo,5216700
Anthony Bender,42171
Edward Cabrera,40944
Calvin Faucher,3978173
Cade Gibson,5273591
Ronny Henriquez,4905923
Max Meyer,4345164
Tyler Phillips,41247
Cal Quantrill,39875
Jesus Tinoco,39822
Ryan Weathers,41178
Nick Fortes,41674
Liam Hicks,4725251
Agustin Ramirez,5132014
Otto Lopez,41917
Matt Mervis,4297978
Connor Norby,4417606
Graham Pauley,4622931
Javier Sanoja,5073992
Eric Wagaman,4987650
Derek Hill,33721
Jesus Sanchez,39957
Ronny Simon,4912412
Kyle Stowers,42796
