Player Name,Player ID
Fernando Cruz,34068
Yerry De los Santos,4717834
Max Fried,32685
Ian Hamilton,41127
Tim Hill,37005
Mark Leiter Jr.,36202
Jonathan Loaisiga,39807
Carlos Rodon,33696
Clarke Schmidt,41085
Will Warren,5132011
Luke Weaver,33770
Devin Williams,33224
Ryan Yarbrough,33735
J.C. Escarra,41644
Austin Wells,4683349
Paul Goldschmidt,31027
DJ LeMahieu,30765
Oswald Peraza,42479
Pablo Reyes,35439
Ben Rice,5016968
Jorbit Vivas,4722676
Anthony Volpe,42547
Cody Bellinger,33912
Jasson Dominguez,42401
Trent Grisham,34995
Aaron Judge,33192
