Player Name,Player ID
Jose Alvarado,36063
Tanner Banks,40437
Carlos Hernandez,41233
Orion Kerkering,4630789
Max Lazar,42546
Jesus Luzardo,39667
Jordan Romano,36380
Joe Ross,32684
Jose Ruiz,36053
Cristopher Sanchez,42359
Matt Strahm,34862
Ranger Suarez,39817
Taijuan Walker,31864
Zack Wheeler,31267
Rafael Marchan,40816
J.T. Realmuto,32177
Alec Bohm,41169
Bryce Harper,30951
Edmundo Sosa,33809
Bryson Stott,42417
Trea Turner,33710
Nick Castellanos,31187
Max Kepler,31870
Brandon Marsh,40803
Johan Rojas,42829
Kyle Schwarber,33712
Weston Wilson,38682
