Player Name,Player ID
Jason Adam,32145
Dylan Cease,34943
Jeremiah Estrada,41014
Alek Jacob,4346118
Michael King,40429
Stephen Kolek,5190073
Yuki Matsui,4142414
Adrian Morejon,40917
Wandy Peralta,36036
Nick Pivetta,36071
Sean Reynolds,41691
Robert Suarez,4148749
Randy Vasquez,4722847
Elias Diaz,33594
Martin Maldonado,30289
Luis Arraez,39572
Xander Bogaerts,31606
Jake Cronenworth,36364
Jose Iglesias,30382
Manny Machado,31097
Gavin Sheets,40700
Jason Heyward,29551
Brandon Lockridge,42641
Jackson Merrill,4872691
Fernando Tatis Jr.,35983
Tyler Wade,33878
