Player Name,Player ID
Hayden Birdsong,5197166
Spencer Bivens,5136077
Camilo Doval,41337
Kyle Harrison,4683375
Jordan Hicks,37909
Erik Miller,4152950
Robbie Ray,32175
Randy Rodriguez,4919929
Tyler Rogers,34026
Landen Roupp,4345404
Justin Verlander,6341
Ryan Walker,5000950
Logan Webb,41216
Patrick Bailey,4345843
Sam Huff,40798
Willy Adames,33675
Matt Chapman,33857
Tyler Fitzgerald,43030
Wilmer Flores,30627
Christian Koss,4109031
Casey Schmitt,4301949
LaMonte Wade Jr.,37798
Jung Hoo Lee,5134621
Luis Matos,4722941
Heliot Ramos,39642
Mike Yastrzemski,33341
