Player Name,Player ID
Eduard Bazardo,41939
Matt Brash,4894467
Luis Castillo,35124
Logan Evans,5202474
Emerson Hancock,4297897
Casey Lawrence,35949
Casey Legumina,4346117
Andres Munoz,40939
Collin Snider,3183870
Gabe Speier,40327
Troy Taylor,5131856
Carlos Vargas,42504
Bryan Woo,4629089
Mitch Garver,33667
Cal Raleigh,41292
J.P. Crawford,33210
Miles Mastrobuoni,40900
Dylan Moore,40593
Jorge Polanco,32525
Leo Rivas,40858
Donovan Solano,29703
Rowdy Tellez,34287
Ben Williamson,4626239
Randy Arozarena,36488
Julio Rodriguez,41044
Leody Taveras,34951
