Player Name,Player ID
Erick Fedde,33793
Gordon Graceffo,5123582
Sonny Gray,32082
Ryan Helsley,39909
John King,41763
Kyle Leahy,5006093
Matthew Liberatore,41173
Phil Maton,36161
Steven Matz,33106
Miles Mikolas,32116
Andre Pallante,4109034
JoJo Romero,40456
Chris Roycroft,5201199
Ryan Tepera,32107
Ivan Herrera,41889
Pedro Pages,42608
Yohel Pozo,35675
Nolan Arenado,31261
Jose Barrero,40951
Alec Burleson,4345070
Willson Contreras,32532
Brendan Donovan,41773
Nolan Gorman,41174
Masyn Winn,4683365
Lars Nootbaar,4448736
Victor Scott II,4807220
Jordan Walker,4684778
