Player Name,Player ID
Chris Bassitt,33148
Jose Berrios,32811
Braydon Fisher,41318
Mason Fluharty,4622501
Bowden Francis,4734325
Yimi Garcia,32888
Kevin Gausman,32667
Chad Green,33325
Jeff Hoffman,33841
Eric Lauer,39915
Brendon Little,39645
Yariel Rodriguez,4411979
Jose Urena,33107
Tyler Heineman,33142
Alejandro Kirk,42081
Addison Barger,4997589
Bo Bichette,38904
Ernie Clement,41287
Vladimir Guerrero Jr.,35002
Michael Stefanic,42711
Jonatan Clase,4918159
Nathan Lukes,35682
Anthony Santander,36084
George Springer,32078
Myles Straw,39105
Daulton Varsho,40963
