Player Name,Player ID
Zach Brzykcy,5127801
Andrew Chafin,32810
Jose Ferrer,5119607
Kyle Finnegan,36543
MacKenzie Gore,39636
Cole Henry,4414361
Jake Irvin,41290
Jorge Lopez,33833
Brad Lord,4866810
Mitchell Parker,4683356
Jackson Rutledge,42434
Michael Soroka,34984
Trevor Williams,33305
Riley Adams,40655
Keibert Ruiz,38827
CJ Abrams,42402
Josh Bell,32517
Luis Garcia Jr.,40459
Nathaniel Lowe,40538
Nasim Nunez,4728688
Amed Rosario,33215
Jose Tena,42105
Alex Call,38994
Dylan Crews,4719511
James Wood,4918256
Jacob Young,4414210
