Date,OPP,Result,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS
Sun 5/18,vsCHW,W 6-2,1,0,0,0,0,0,2,1,0,1,0,0,.243,.297,.514,.811
Sat 5/17,vsCHW,W 7-3,5,0,1,1,0,0,0,0,0,2,0,0,.244,.298,.517,.815
Fri 5/16,vsCHW,W 13-3,4,1,2,2,0,0,2,0,0,0,0,0,.246,.301,.521,.822
Wed 5/14,vsMIA,L 3-1,4,1,1,0,0,1,1,0,0,2,0,0,.239,.298,.509,.807
Tue 5/13,vsMIA,W 5-4,4,0,0,0,0,0,0,0,0,0,0,0,.239,.299,.497,.796
Mon 5/12,vsMIA,W 5-2,3,1,1,0,0,1,2,1,0,1,0,1,.245,.306,.510,.816
Sun 5/11,@NYM,L 6-2,4,0,0,0,0,0,0,0,0,1,0,0,.243,.301,.493,.795
Sat 5/10,@NYM,W 6-5,5,1,2,1,0,0,1,0,0,2,0,0,.250,.309,.507,.815
Fri 5/9,@NYM,L 7-2,4,0,0,0,0,0,0,0,0,1,0,0,.245,.306,.503,.809
Wed 5/7,vsSF,L 3-1,4,0,0,0,0,0,0,0,0,1,0,0,.252,.314,.518,.832
Tue 5/6,vsSF,L 14-5 F/11,5,0,0,0,0,0,0,0,0,2,0,0,.259,.322,.533,.855
Mon 5/5,vsSF,W 9-2,5,0,1,0,0,0,2,0,0,0,0,0,.269,.333,.554,.887
Sun 5/4,@MIL,L 4-0,4,0,0,0,0,0,0,0,0,3,0,0,.272,.338,.568,.906
Sat 5/3,@MIL,W 6-2,4,0,0,0,0,0,0,0,0,2,0,0,.281,.348,.587,.935
Fri 5/2,@MIL,W 10-0,5,1,1,0,0,0,1,0,0,2,0,0,.291,.359,.607,.966
Thu 5/1,@PIT,W 8-3,4,2,2,0,0,2,3,1,0,0,0,0,.295,.365,.625,.990
Wed 4/30,@PIT,L 4-3,4,0,0,0,0,0,0,0,0,3,0,0,.287,.355,.574,.929
Tue 4/29,@PIT,W 9-0,4,3,3,1,1,1,2,1,0,0,0,0,.298,.368,.596,.964
Sun 4/27,vsPHI,L 3-1 F/10,4,0,0,0,0,0,0,0,0,3,0,0,.280,.348,.530,.878
Sat 4/26,vsPHI,L 10-4,4,0,2,0,0,0,3,0,0,0,0,0,.292,.361,.552,.913
Fri 4/25,vsPHI,W 4-0,5,0,2,2,0,0,0,0,0,1,0,0,.283,.356,.554,.910
Tue 4/22,vsLAD,W 11-10 F/10,5,1,2,1,0,0,2,0,0,2,0,0,.276,.354,.540,.894
Sun 4/20,vsARI,L 3-2 F/11,4,0,0,0,0,0,0,0,0,1,0,0,.268,.351,.537,.888
Sat 4/19,vsARI,W 6-2,4,1,1,0,0,1,2,0,0,1,0,0,.282,.367,.564,.931
Fri 4/18,vsARI,W 13-11,5,1,1,0,0,1,1,0,0,1,0,0,.284,.372,.541,.913
Wed 4/16,@SD,L 4-2,4,0,1,0,0,0,0,0,0,0,0,0,.290,.383,.522,.904
Sat 4/12,@LAD,W 16-0,2,0,0,0,0,0,0,0,0,0,0,0,.292,.390,.538,.928
Fri 4/11,@LAD,L 3-0,3,0,1,0,0,0,0,0,0,1,0,0,.302,.400,.556,.956
Wed 4/9,vsTEX,L 6-2,4,1,2,0,1,0,1,0,0,0,0,0,.300,.403,.567,.969
Tue 4/8,vsTEX,W 10-6,4,1,3,0,0,0,2,1,0,1,0,0,.286,.397,.536,.933
Mon 4/7,vsTEX,W 7-0,3,1,2,0,0,0,1,1,0,0,1,0,.250,.365,.519,.884
Sun 4/6,vsSD,L 8-7,3,1,0,0,0,0,0,2,0,1,0,0,.224,.339,.510,.849
Sat 4/5,vsSD,W 7-1,3,0,0,0,0,0,0,2,0,2,0,1,.239,.333,.543,.877
Fri 4/4,vsSD,W 3-1,3,0,0,0,0,0,0,1,0,1,0,0,.256,.327,.581,.908
Wed 4/2,@ATH,W 10-2,5,2,3,0,0,2,5,1,0,1,0,0,.275,.333,.625,.958
Tue 4/1,@ATH,W 7-4,5,1,2,0,0,1,3,0,0,1,0,0,.229,.282,.457,.739
Mon 3/31,@ATH,W 18-3,5,1,2,1,0,0,1,1,0,3,0,0,.200,.265,.367,.631
Sun 3/30,@ARI,L 10-6,4,2,2,0,0,1,2,1,0,1,0,0,.160,.222,.320,.542
Sat 3/29,@ARI,W 4-3,4,0,0,0,0,0,0,0,0,3,0,0,.095,.136,.143,.279
Fri 3/28,@ARI,L 8-1,4,0,1,1,0,0,0,0,0,2,0,0,.118,.167,.176,.343
Thu 3/27,@ARI,W 10-6,5,1,1,0,0,0,0,0,0,2,0,0,.077,.143,.077,.220
Wed 3/19,vsLAD,L 6-3,4,0,0,0,0,0,0,1,0,3,0,0,.000,.111,.000,.111
Tue 3/18,vsLAD,L 4-1,4,0,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
