Rank,Player,Team,Pos,Value
1,Nico Hoerner,Chicago Cubs,2B,--
1,Xavier Edwards,Miami Marlins,SS,--
3,Kyle Schwarber,Philadelphia Phillies,LF,10.3
4,Shohei Ohtani,Los Angeles Dodgers,P,11.2
5,Aaron Judge,New York Yankees,CF,11.3
6,Cal Raleigh,Seattle Mariners,C,11.3
7,Eugenio Suárez,Arizona Diamondbacks,3B,12.4
8,Logan O'Hoppe,Los Angeles Angels,C,13.1
9,Corbin Carroll,Arizona Diamondbacks,RF,13.7
10,Taylor Ward,Los Angeles Angels,LF,14.0
10,Kyle Manzardo,Cleveland Guardians,1B,14.0
12,Spencer Torkelson,Detroit Tigers,1B,14.3
13,Ben Rice,New York Yankees,1B,14.3
14,Fernando Tatis Jr.,San Diego Padres,RF,14.6
15,Wilyer Abreu,Boston Red Sox,CF,14.8
16,Seiya Suzuki,Chicago Cubs,RF,15.2
17,Riley Greene,Detroit Tigers,LF,15.4
18,James Wood,Washington Nationals,LF,15.5
19,Freddie Freeman,Los Angeles Dodgers,1B,15.6
20,Byron Buxton,Minnesota Twins,CF,15.7
21,Kyle Stowers,Miami Marlins,LF,15.8
22,Wyatt Langford,Texas Rangers,LF,16.0
23,Pete Crow-Armstrong,Chicago Cubs,CF,16.1
24,Cedric Mullins,Baltimore Orioles,CF,16.1
25,Kerry Carpenter,Detroit Tigers,RF,16.6
26,Wilmer Flores,San Francisco Giants,1B,17.0
27,Austin Wells,New York Yankees,C,17.1
28,Kyle Tucker,Chicago Cubs,RF,17.3
29,Alex Bregman,Boston Red Sox,2B,17.4
30,Matt Olson,Atlanta Braves,1B,17.5
31,Oneil Cruz,Pittsburgh Pirates,CF,17.6
32,Shea Langeliers,Sacramento Athletics,C,17.8
33,CJ Abrams,Washington Nationals,SS,18.0
33,Jose Ramirez,Cleveland Guardians,3B,18.0
35,Ryan O'Hearn,Baltimore Orioles,1B,18.3
36,Rafael Devers,Boston Red Sox,3B,18.5
37,Andy Pages,Los Angeles Dodgers,CF,18.7
38,Dansby Swanson,Chicago Cubs,SS,18.7
39,Tyler Soderstrom,Sacramento Athletics,1B,18.9
40,Marcell Ozuna,Atlanta Braves,DH,19.3
41,Brent Rooker,Sacramento Athletics,LF,19.5
42,Pete Alonso,New York Mets,1B,20.0
43,Josh Jung,Texas Rangers,3B,20.9
44,Matt Chapman,San Francisco Giants,3B,21.4
45,Francisco Lindor,New York Mets,SS,21.4
46,Isaac Paredes,Houston Astros,3B,21.8
46,Junior Caminero,Tampa Bay Rays,3B,21.8
46,Juan Soto,New York Mets,RF,21.8
49,Michael Busch,Chicago Cubs,1B,22.0
49,Mookie Betts,Los Angeles Dodgers,SS,22.0
51,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,22.1
51,Brandon Nimmo,New York Mets,LF,22.1
53,Dylan Crews,Washington Nationals,RF,22.6
54,Heliot Ramos,San Francisco Giants,CF,22.6
55,Cody Bellinger,New York Yankees,CF,22.7
56,Nathaniel Lowe,Washington Nationals,1B,23.0
56,Gavin Sheets,San Diego Padres,RF,23.0
58,Gunnar Henderson,Baltimore Orioles,3B,23.1
59,Jonathan Aranda,Tampa Bay Rays,1B,23.7
59,Josh Bell,Washington Nationals,1B,23.7
61,Brandon Lowe,Tampa Bay Rays,2B,23.7
62,Julio Rodriguez,Seattle Mariners,CF,23.8
63,Vinnie Pasquantino,Kansas City Royals,1B,24.0
64,Rhys Hoskins,Milwaukee Brewers,1B,24.2
65,Elly De La Cruz,Cincinnati Reds,SS,24.4
66,Jackson Holliday,Baltimore Orioles,SS,24.5
67,Trevor Larnach,Minnesota Twins,LF,24.6
67,Hunter Goodman,Colorado Rockies,C,24.6
69,Matt McLain,Cincinnati Reds,SS,24.7
70,Austin Riley,Atlanta Braves,3B,24.8
71,Christian Yelich,Milwaukee Brewers,LF,24.9
72,Bryce Harper,Philadelphia Phillies,1B,25.7
73,Jasson Dominguez,New York Yankees,LF,26.6
74,Jorge Soler,Los Angeles Angels,RF,26.7
75,Ryan McMahon,Colorado Rockies,3B,26.8
75,Randy Arozarena,Seattle Mariners,LF,26.8
77,Masyn Winn,St. Louis Cardinals,SS,27.0
77,Anthony Santander,Toronto Blue Jays,RF,27.0
79,JJ Bleday,Sacramento Athletics,CF,27.2
80,Lars Nootbaar,St. Louis Cardinals,RF,27.3
81,Gleyber Torres,Detroit Tigers,2B,27.6
82,Geraldo Perdomo,Arizona Diamondbacks,SS,27.7
82,Michael Toglia,Colorado Rockies,1B,27.7
84,Miguel Vargas,Chicago White Sox,3B,27.8
85,George Springer,Toronto Blue Jays,RF,28.0
86,Anthony Volpe,New York Yankees,SS,28.3
87,Adolis Garcia,Texas Rangers,RF,28.5
88,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,28.8
89,Jackson Chourio,Milwaukee Brewers,LF,29.6
90,Mike Yastrzemski,San Francisco Giants,RF,30.0
90,Yandy Diaz,Tampa Bay Rays,1B,30.0
92,Willson Contreras,St. Louis Cardinals,1B,30.2
93,Jeremy Pena,Houston Astros,SS,30.3
94,Max Kepler,Philadelphia Phillies,RF,30.6
94,Kristian Campbell,Boston Red Sox,2B,30.6
96,Lawrence Butler,Sacramento Athletics,RF,30.8
96,Trevor Story,Boston Red Sox,2B,30.8
98,Will Smith,Los Angeles Dodgers,C,31.0
99,Bryan Reynolds,Pittsburgh Pirates,LF,31.5
99,Jung Hoo Lee,San Francisco Giants,CF,31.5
