Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,0.483
2,Freddie Freeman,Los Angeles Dodgers,1B,0.410
3,Will Smith,Los Angeles Dodgers,C,0.404
4,Gavin Lux,Cincinnati Reds,LF,0.400
4,Jonathan Aranda,Tampa Bay Rays,1B,0.400
6,Kyle Stowers,Miami Marlins,LF,0.398
7,Zach McKinstry,Detroit Tigers,RF,0.393
8,Paul Goldschmidt,New York Yankees,1B,0.390
9,Trea Turner,Philadelphia Phillies,SS,0.373
10,Brice Turang,Milwaukee Brewers,2B,0.370
11,Austin Riley,Atlanta Braves,3B,0.364
12,Manny Machado,San Diego Padres,3B,0.363
13,Victor Scott II,St. Louis Cardinals,CF,0.362
14,Brendan Donovan,St. Louis Cardinals,2B,0.360
15,Rhys Hoskins,Milwaukee Brewers,1B,0.359
16,Jake Meyers,Houston Astros,CF,0.357
17,Gavin Sheets,San Diego Padres,RF,0.355
17,Joey Bart,Pittsburgh Pirates,C,0.355
19,Riley Greene,Detroit Tigers,LF,0.353
20,Bobby Witt Jr.,Kansas City Royals,SS,0.353
21,Rafael Devers,Boston Red Sox,3B,0.353
21,Maikel Garcia,Kansas City Royals,3B,0.353
23,CJ Abrams,Washington Nationals,SS,0.349
24,James Wood,Washington Nationals,LF,0.348
25,Pete Alonso,New York Mets,1B,0.347
26,Mike Yastrzemski,San Francisco Giants,RF,0.346
27,Hunter Goodman,Colorado Rockies,C,0.344
28,Heliot Ramos,San Francisco Giants,CF,0.344
29,Lenyn Sosa,Chicago White Sox,3B,0.342
30,Shohei Ohtani,Los Angeles Dodgers,P,0.342
31,Jacob Wilson,Sacramento Athletics,SS,0.341
32,Bo Bichette,Toronto Blue Jays,SS,0.340
33,J.P. Crawford,Seattle Mariners,SS,0.339
34,George Springer,Toronto Blue Jays,RF,0.337
35,Josh H. Smith,Texas Rangers,3B,0.333
36,Jarren Duran,Boston Red Sox,CF,0.331
37,Josh Jung,Texas Rangers,3B,0.330
38,Gabriel Arias,Cleveland Guardians,3B,0.330
39,Byron Buxton,Minnesota Twins,CF,0.330
40,Alex Bregman,Boston Red Sox,2B,0.329
41,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,0.328
42,Steven Kwan,Cleveland Guardians,LF,0.327
43,Jeremy Pena,Houston Astros,SS,0.327
44,TJ Friedl,Cincinnati Reds,CF,0.326
45,Pete Crow-Armstrong,Chicago Cubs,CF,0.326
46,Logan O'Hoppe,Los Angeles Angels,C,0.325
47,Nick Castellanos,Philadelphia Phillies,RF,0.324
48,Jackson Holliday,Baltimore Orioles,SS,0.324
49,Xavier Edwards,Miami Marlins,SS,0.324
50,Ian Happ,Chicago Cubs,LF,0.323
51,Jasson Dominguez,New York Yankees,LF,0.321
52,Gunnar Henderson,Baltimore Orioles,3B,0.321
53,Michael Busch,Chicago Cubs,1B,0.320
54,Masyn Winn,St. Louis Cardinals,SS,0.320
55,Ryan O'Hearn,Baltimore Orioles,1B,0.319
56,Nico Hoerner,Chicago Cubs,2B,0.319
57,Elly De La Cruz,Cincinnati Reds,SS,0.318
58,Andy Pages,Los Angeles Dodgers,CF,0.316
59,Fernando Tatis Jr.,San Diego Padres,RF,0.315
60,Bryson Stott,Philadelphia Phillies,2B,0.315
61,Corbin Carroll,Arizona Diamondbacks,RF,0.313
62,Tyler Soderstrom,Sacramento Athletics,1B,0.313
63,Marcell Ozuna,Atlanta Braves,DH,0.311
64,Bryce Harper,Philadelphia Phillies,1B,0.311
65,Ke'Bryan Hayes,Pittsburgh Pirates,3B,0.311
66,Geraldo Perdomo,Arizona Diamondbacks,SS,0.310
67,Josh Naylor,Arizona Diamondbacks,1B,0.310
68,Willson Contreras,St. Louis Cardinals,1B,0.310
69,Nolan Schanuel,Los Angeles Angels,1B,0.308
69,Trevor Story,Boston Red Sox,2B,0.308
71,Michael Toglia,Colorado Rockies,1B,0.308
72,Dansby Swanson,Chicago Cubs,SS,0.307
73,Randy Arozarena,Seattle Mariners,LF,0.307
74,Kerry Carpenter,Detroit Tigers,RF,0.307
75,Sal Frelick,Milwaukee Brewers,RF,0.306
76,Keibert Ruiz,Washington Nationals,C,0.305
77,Alec Bohm,Philadelphia Phillies,3B,0.303
78,Alejandro Kirk,Toronto Blue Jays,C,0.303
79,Ryan Mountcastle,Baltimore Orioles,1B,0.300
80,William Contreras,Milwaukee Brewers,C,0.298
81,Trey Sweeney,Detroit Tigers,SS,0.298
82,Kristian Campbell,Boston Red Sox,2B,0.297
83,Ryan McMahon,Colorado Rockies,3B,0.295
84,Francisco Lindor,New York Mets,SS,0.294
85,Xander Bogaerts,San Diego Padres,2B,0.293
86,Oneil Cruz,Pittsburgh Pirates,CF,0.291
87,J.T. Realmuto,Philadelphia Phillies,C,0.289
88,Anthony Volpe,New York Yankees,SS,0.288
88,Seiya Suzuki,Chicago Cubs,RF,0.288
88,Ceddanne Rafaela,Boston Red Sox,CF,0.288
91,Trevor Larnach,Minnesota Twins,LF,0.288
92,Jung Hoo Lee,San Francisco Giants,CF,0.288
93,Ty France,Minnesota Twins,1B,0.287
93,Lawrence Butler,Sacramento Athletics,RF,0.287
95,Luis Arraez,San Diego Padres,1B,0.285
96,Eric Wagaman,Miami Marlins,3B,0.285
97,Andrew McCutchen,Pittsburgh Pirates,RF,0.284
98,Isaac Paredes,Houston Astros,3B,0.284
99,Gleyber Torres,Detroit Tigers,2B,0.283
100,Wyatt Langford,Texas Rangers,LF,0.283
