Rank,Player,Team,Pos,Value
1,Shohei Ohtani,Los Angeles Dodgers,P,0.563
2,Kyle Schwarber,Philadelphia Phillies,LF,0.537
3,Aaron Judge,New York Yankees,CF,0.536
4,Oneil Cruz,Pittsburgh Pirates,CF,0.518
5,Cal Raleigh,Seattle Mariners,C,0.518
6,Kyle Tucker,Chicago Cubs,RF,0.516
7,Marcell Ozuna,Atlanta Braves,DH,0.455
8,Rafael Devers,Boston Red Sox,3B,0.443
9,Juan Soto,New York Mets,RF,0.443
10,Corbin Carroll,Arizona Diamondbacks,RF,0.442
11,Geraldo Perdomo,Arizona Diamondbacks,SS,0.440
12,Spencer Torkelson,Detroit Tigers,1B,0.433
13,James Wood,Washington Nationals,LF,0.425
14,George Springer,Toronto Blue Jays,RF,0.414
15,Wyatt Langford,Texas Rangers,LF,0.410
16,Freddie Freeman,Los Angeles Dodgers,1B,0.407
16,Kyle Manzardo,Cleveland Guardians,1B,0.407
18,Bryce Harper,Philadelphia Phillies,1B,0.406
18,Ben Rice,New York Yankees,1B,0.406
20,Cedric Mullins,Baltimore Orioles,CF,0.404
21,Pete Alonso,New York Mets,1B,0.400
22,Wilyer Abreu,Boston Red Sox,CF,0.399
23,Randy Arozarena,Seattle Mariners,LF,0.398
24,Eugenio Suárez,Arizona Diamondbacks,3B,0.397
25,Fernando Tatis Jr.,San Diego Padres,RF,0.394
26,Matt Olson,Atlanta Braves,1B,0.389
27,Will Smith,Los Angeles Dodgers,C,0.387
28,Pete Crow-Armstrong,Chicago Cubs,CF,0.383
29,Byron Buxton,Minnesota Twins,CF,0.382
30,Matt Chapman,San Francisco Giants,3B,0.380
31,CJ Abrams,Washington Nationals,SS,0.375
32,Alex Bregman,Boston Red Sox,2B,0.372
33,Jose Ramirez,Cleveland Guardians,3B,0.370
34,Seiya Suzuki,Chicago Cubs,RF,0.368
35,Bobby Witt Jr.,Kansas City Royals,SS,0.368
36,Kyle Stowers,Miami Marlins,LF,0.367
37,Rhys Hoskins,Milwaukee Brewers,1B,0.366
38,Jasson Dominguez,New York Yankees,LF,0.361
39,Michael Busch,Chicago Cubs,1B,0.357
40,Matt McLain,Cincinnati Reds,SS,0.351
41,Austin Wells,New York Yankees,C,0.350
42,Ryan McMahon,Colorado Rockies,3B,0.348
43,Isaac Paredes,Houston Astros,3B,0.345
44,Ryan O'Hearn,Baltimore Orioles,1B,0.344
45,Dansby Swanson,Chicago Cubs,SS,0.337
46,William Contreras,Milwaukee Brewers,C,0.335
47,Anthony Volpe,New York Yankees,SS,0.335
48,Mookie Betts,Los Angeles Dodgers,SS,0.335
49,Lars Nootbaar,St. Louis Cardinals,RF,0.335
50,Mike Yastrzemski,San Francisco Giants,RF,0.333
51,Luis Robert Jr.,Chicago White Sox,CF,0.327
51,Cody Bellinger,New York Yankees,CF,0.327
53,Taylor Ward,Los Angeles Angels,LF,0.324
54,Elly De La Cruz,Cincinnati Reds,SS,0.323
55,Riley Greene,Detroit Tigers,LF,0.319
56,Shea Langeliers,Sacramento Athletics,C,0.319
57,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,0.318
58,Jonathan Aranda,Tampa Bay Rays,1B,0.317
59,Victor Scott II,St. Louis Cardinals,CF,0.306
60,J.P. Crawford,Seattle Mariners,SS,0.306
61,Max Muncy,Los Angeles Dodgers,3B,0.302
62,Tyler Soderstrom,Sacramento Athletics,1B,0.302
63,Maikel Garcia,Kansas City Royals,3B,0.299
63,Christian Yelich,Milwaukee Brewers,LF,0.299
65,Xander Bogaerts,San Diego Padres,2B,0.298
66,Gleyber Torres,Detroit Tigers,2B,0.297
67,Gunnar Henderson,Baltimore Orioles,3B,0.296
68,Zach McKinstry,Detroit Tigers,RF,0.296
69,Heliot Ramos,San Francisco Giants,CF,0.293
70,Brent Rooker,Sacramento Athletics,LF,0.292
71,Manny Machado,San Diego Padres,3B,0.292
71,Andy Pages,Los Angeles Dodgers,CF,0.292
73,JJ Bleday,Sacramento Athletics,CF,0.288
74,Wilmer Flores,San Francisco Giants,1B,0.288
75,Kristian Campbell,Boston Red Sox,2B,0.288
76,Lawrence Butler,Sacramento Athletics,RF,0.287
77,TJ Friedl,Cincinnati Reds,CF,0.286
77,Josh Naylor,Arizona Diamondbacks,1B,0.286
79,Francisco Lindor,New York Mets,SS,0.285
80,Julio Rodriguez,Seattle Mariners,CF,0.284
81,Nathaniel Lowe,Washington Nationals,1B,0.283
82,Trevor Larnach,Minnesota Twins,LF,0.279
83,Jake Meyers,Houston Astros,CF,0.279
84,Dylan Crews,Washington Nationals,RF,0.279
85,Logan O'Hoppe,Los Angeles Angels,C,0.278
86,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,0.277
87,Sal Frelick,Milwaukee Brewers,RF,0.276
88,Miguel Vargas,Chicago White Sox,3B,0.275
89,J.T. Realmuto,Philadelphia Phillies,C,0.275
90,Max Kepler,Philadelphia Phillies,RF,0.275
91,Brice Turang,Milwaukee Brewers,2B,0.273
92,Brandon Nimmo,New York Mets,LF,0.271
93,Bryson Stott,Philadelphia Phillies,2B,0.271
94,Michael Conforto,Los Angeles Dodgers,LF,0.267
95,Michael Toglia,Colorado Rockies,1B,0.265
96,Andrew McCutchen,Pittsburgh Pirates,RF,0.264
97,Nolan Schanuel,Los Angeles Angels,1B,0.264
98,Hunter Goodman,Colorado Rockies,C,0.262
99,Gavin Lux,Cincinnati Reds,LF,0.261
99,Carlos Santana,Cleveland Guardians,1B,0.261
