Rank,Player,Team,Pos,Value
1,Hunter Brown,Houston Astros,P,5.2
2,Carlos Rodon,New York Yankees,P,5.3
3,Yoshinobu Yamamoto,Los Angeles Dodgers,P,5.5
4,Nathan Eovaldi,Texas Rangers,P,5.7
5,Tyler Mahle,Texas Rangers,P,5.9
6,Joe Ryan,Minnesota Twins,P,6.1
7,Paul Skenes,Pittsburgh Pirates,P,6.2
8,Nick Pivetta,San Diego Padres,P,6.3
9,Grant Holmes,Atlanta Braves,P,6.3
10,Freddy Peralta,Milwaukee Brewers,P,6.3
11,Max Fried,New York Yankees,P,6.3
12,Zack Wheeler,Philadelphia Phillies,P,6.3
13,Michael King,San Diego Padres,P,6.5
14,Bryan Woo,Seattle Mariners,P,6.6
15,Garrett Crochet,Boston Red Sox,P,6.6
16,Merrill Kelly,Arizona Diamondbacks,P,6.7
17,Ronel Blanco,Houston Astros,P,6.7
18,Robbie Ray,San Francisco Giants,P,6.8
19,Tyler Anderson,Los Angeles Angels,P,6.8
20,Jacob deGrom,Texas Rangers,P,6.9
21,Andrew Heaney,Pittsburgh Pirates,P,6.9
22,Kodai Senga,New York Mets,P,7.0
23,Kris Bubic,Kansas City Royals,P,7.0
24,Bailey Falter,Pittsburgh Pirates,P,7.2
25,Chris Paddack,Minnesota Twins,P,7.3
26,Tarik Skubal,Detroit Tigers,P,7.4
27,Kevin Gausman,Toronto Blue Jays,P,7.4
28,Framber Valdez,Houston Astros,P,7.4
29,Seth Lugo,Kansas City Royals,P,7.5
30,Cristopher Sanchez,Philadelphia Phillies,P,7.5
31,Erick Fedde,St. Louis Cardinals,P,7.5
32,Jeffrey Springs,Sacramento Athletics,P,7.6
33,Mitchell Parker,Washington Nationals,P,7.6
34,Jesus Luzardo,Philadelphia Phillies,P,7.7
35,Tomoyuki Sugano,Baltimore Orioles,P,7.7
36,Spencer Schwellenbach,Atlanta Braves,P,7.8
37,Logan Webb,San Francisco Giants,P,7.8
38,Clay Holmes,New York Mets,P,7.9
39,Jake Irvin,Washington Nationals,P,7.9
40,Matthew Liberatore,St. Louis Cardinals,P,7.9
41,Jameson Taillon,Chicago Cubs,P,7.9
42,Nick Lodolo,Cincinnati Reds,P,8.0
43,Dylan Cease,San Diego Padres,P,8.0
44,Sonny Gray,St. Louis Cardinals,P,8.0
45,JP Sears,Sacramento Athletics,P,8.1
46,Will Warren,New York Yankees,P,8.1
47,Luis Castillo,Seattle Mariners,P,8.1
48,Taj Bradley,Tampa Bay Rays,P,8.2
49,Luis Ortiz,Cleveland Guardians,P,8.2
50,Nick Martinez,Cincinnati Reds,P,8.3
51,Zac Gallen,Arizona Diamondbacks,P,8.4
52,Kyle Hendricks,Los Angeles Angels,P,8.4
53,Luis Severino,Sacramento Athletics,P,8.4
54,Tanner Bibee,Cleveland Guardians,P,8.5
55,Michael Wacha,Kansas City Royals,P,8.6
56,David Peterson,New York Mets,P,8.6
57,Yusei Kikuchi,Los Angeles Angels,P,8.7
58,Matthew Boyd,Chicago Cubs,P,8.8
59,MacKenzie Gore,Washington Nationals,P,8.8
60,Zack Littell,Tampa Bay Rays,P,8.8
61,Brandon Pfaadt,Arizona Diamondbacks,P,8.9
62,Ryan Pepiot,Tampa Bay Rays,P,8.9
63,Michael Lorenzen,Kansas City Royals,P,8.9
64,Jose Berrios,Toronto Blue Jays,P,9.0
64,Jonathan Cannon,Chicago White Sox,P,9.0
66,Jack Kochanowicz,Los Angeles Angels,P,9.1
67,Andre Pallante,St. Louis Cardinals,P,9.1
67,Max Meyer,Miami Marlins,P,9.1
69,Mitch Keller,Pittsburgh Pirates,P,9.2
69,Jose Soriano,Los Angeles Angels,P,9.2
71,Justin Verlander,San Francisco Giants,P,9.2
72,Shane Baz,Tampa Bay Rays,P,9.2
73,Chris Bassitt,Toronto Blue Jays,P,9.3
74,Davis Martin,Chicago White Sox,P,9.4
75,Chris Sale,Atlanta Braves,P,9.7
76,Dean Kremer,Baltimore Orioles,P,10.0
77,Bailey Ober,Minnesota Twins,P,10.1
78,Aaron Nola,Philadelphia Phillies,P,10.7
79,Kyle Freeland,Colorado Rockies,P,12.6
80,Antonio Senzatela,Colorado Rockies,P,15.2
