Rank,Player,Team,Pos,Value
1,MacKenzie Gore,Washington Nationals,P,99.5
2,Garrett Crochet,Boston Red Sox,P,99.1
3,Paul Skenes,Pittsburgh Pirates,P,98.6
4,Zack Wheeler,Philadelphia Phillies,P,97.8
5,Jesus Luzardo,Philadelphia Phillies,P,97.3
6,Max Fried,New York Yankees,P,97.1
7,Luis Severino,Sacramento Athletics,P,97.0
8,Logan Webb,San Francisco Giants,P,96.8
9,Chris Sale,Atlanta Braves,P,96.7
10,Carlos Rodon,New York Yankees,P,96.6
11,Hunter Brown,Houston Astros,P,96.4
12,Seth Lugo,Kansas City Royals,P,96.0
13,Aaron Nola,Philadelphia Phillies,P,95.9
14,Chris Bassitt,Toronto Blue Jays,P,95.7
15,Zac Gallen,Arizona Diamondbacks,P,95.3
16,Tanner Bibee,Cleveland Guardians,P,94.8
17,Mitch Keller,Pittsburgh Pirates,P,94.3
18,David Peterson,New York Mets,P,94.1
19,Yoshinobu Yamamoto,Los Angeles Dodgers,P,93.6
20,Luis Castillo,Seattle Mariners,P,93.3
21,Tyler Anderson,Los Angeles Angels,P,93.2
22,Freddy Peralta,Milwaukee Brewers,P,93.2
22,Robbie Ray,San Francisco Giants,P,93.2
24,Luis Ortiz,Cleveland Guardians,P,93.0
25,Brandon Pfaadt,Arizona Diamondbacks,P,92.9
26,Kevin Gausman,Toronto Blue Jays,P,92.9
27,Dylan Cease,San Diego Padres,P,92.5
28,Michael King,San Diego Padres,P,92.3
29,Yusei Kikuchi,Los Angeles Angels,P,92.2
30,Nathan Eovaldi,Texas Rangers,P,92.1
31,Shane Baz,Tampa Bay Rays,P,92.0
32,Framber Valdez,Houston Astros,P,91.9
33,Matthew Boyd,Chicago Cubs,P,91.7
34,Jonathan Cannon,Chicago White Sox,P,91.4
35,Kris Bubic,Kansas City Royals,P,91.3
35,Nick Lodolo,Cincinnati Reds,P,91.3
35,Michael Lorenzen,Kansas City Royals,P,91.3
38,Jose Soriano,Los Angeles Angels,P,91.0
39,Dean Kremer,Baltimore Orioles,P,90.8
40,Jake Irvin,Washington Nationals,P,90.6
41,Ryan Pepiot,Tampa Bay Rays,P,89.9
42,JP Sears,Sacramento Athletics,P,89.9
43,Spencer Schwellenbach,Atlanta Braves,P,89.8
44,Joe Ryan,Minnesota Twins,P,89.8
45,Bryan Woo,Seattle Mariners,P,89.6
46,Mitchell Parker,Washington Nationals,P,89.5
47,Andrew Heaney,Pittsburgh Pirates,P,89.3
48,Tarik Skubal,Detroit Tigers,P,89.1
49,Taj Bradley,Tampa Bay Rays,P,89.0
50,Merrill Kelly,Arizona Diamondbacks,P,88.6
51,Kodai Senga,New York Mets,P,88.4
52,Antonio Senzatela,Colorado Rockies,P,88.4
53,Ronel Blanco,Houston Astros,P,88.2
53,Andre Pallante,St. Louis Cardinals,P,88.2
55,Jameson Taillon,Chicago Cubs,P,88.2
56,Jeffrey Springs,Sacramento Athletics,P,88.1
57,Davis Martin,Chicago White Sox,P,88.0
58,Cristopher Sanchez,Philadelphia Phillies,P,87.8
59,Clay Holmes,New York Mets,P,87.7
60,Max Meyer,Miami Marlins,P,87.7
61,Kyle Hendricks,Los Angeles Angels,P,87.6
62,Erick Fedde,St. Louis Cardinals,P,87.5
63,Bailey Ober,Minnesota Twins,P,87.4
64,Tomoyuki Sugano,Baltimore Orioles,P,87.3
65,Jose Berrios,Toronto Blue Jays,P,87.3
65,Sonny Gray,St. Louis Cardinals,P,87.3
67,Tyler Mahle,Texas Rangers,P,87.1
68,Zack Littell,Tampa Bay Rays,P,87.0
69,Michael Wacha,Kansas City Royals,P,86.7
70,Chris Paddack,Minnesota Twins,P,86.6
71,Nick Martinez,Cincinnati Reds,P,86.3
72,Nick Pivetta,San Diego Padres,P,86.2
73,Justin Verlander,San Francisco Giants,P,85.9
74,Grant Holmes,Atlanta Braves,P,85.4
75,Will Warren,New York Yankees,P,85.2
76,Jacob deGrom,Texas Rangers,P,84.6
77,Matthew Liberatore,St. Louis Cardinals,P,84.0
78,Jack Kochanowicz,Los Angeles Angels,P,83.2
79,Bailey Falter,Pittsburgh Pirates,P,81.8
80,Kyle Freeland,Colorado Rockies,P,80.0
