Rank,Player,Team,Pos,Value
1,Tarik Skubal,Detroit Tigers,P,11.3
2,Joe Ryan,Minnesota Twins,P,10.5
3,Nathan Eovaldi,Texas Rangers,P,8.1
4,Bryan Woo,Seattle Mariners,P,6.9
5,Zack Wheeler,Philadelphia Phillies,P,6.7
6,Matthew Liberatore,St. Louis Cardinals,P,5.9
7,Chris Bassitt,Toronto Blue Jays,P,5.5
8,Nick Lodolo,Cincinnati Reds,P,4.9
9,Jacob deGrom,Texas Rangers,P,4.8
10,Chris Sale,Atlanta Braves,P,4.8
11,Hunter Brown,Houston Astros,P,4.8
12,Sonny Gray,St. Louis Cardinals,P,4.7
13,MacKenzie Gore,Washington Nationals,P,4.7
14,Logan Webb,San Francisco Giants,P,4.3
15,Kyle Freeland,Colorado Rockies,P,4.1
16,Spencer Schwellenbach,Atlanta Braves,P,4.1
17,Matthew Boyd,Chicago Cubs,P,4.1
18,Max Fried,New York Yankees,P,4.0
19,Paul Skenes,Pittsburgh Pirates,P,3.9
20,Kevin Gausman,Toronto Blue Jays,P,3.8
21,Zack Littell,Tampa Bay Rays,P,3.8
21,JP Sears,Sacramento Athletics,P,3.8
23,Yoshinobu Yamamoto,Los Angeles Dodgers,P,3.8
24,Michael King,San Diego Padres,P,3.8
25,Nick Pivetta,San Diego Padres,P,3.7
26,Jesus Luzardo,Philadelphia Phillies,P,3.7
27,Max Meyer,Miami Marlins,P,3.7
28,Jameson Taillon,Chicago Cubs,P,3.7
29,Garrett Crochet,Boston Red Sox,P,3.5
30,Cristopher Sanchez,Philadelphia Phillies,P,3.5
31,Merrill Kelly,Arizona Diamondbacks,P,3.5
32,Kris Bubic,Kansas City Royals,P,3.4
33,Dylan Cease,San Diego Padres,P,3.4
34,Bailey Ober,Minnesota Twins,P,3.3
34,Will Warren,New York Yankees,P,3.3
36,Nick Martinez,Cincinnati Reds,P,3.3
37,Aaron Nola,Philadelphia Phillies,P,3.3
38,Tomoyuki Sugano,Baltimore Orioles,P,3.2
39,Brandon Pfaadt,Arizona Diamondbacks,P,3.1
40,Michael Lorenzen,Kansas City Royals,P,3.1
41,Framber Valdez,Houston Astros,P,3.1
42,Carlos Rodon,New York Yankees,P,3.0
43,Freddy Peralta,Milwaukee Brewers,P,2.9
44,Mitch Keller,Pittsburgh Pirates,P,2.8
45,Seth Lugo,Kansas City Royals,P,2.8
46,Davis Martin,Chicago White Sox,P,2.8
47,Michael Wacha,Kansas City Royals,P,2.7
48,Dean Kremer,Baltimore Orioles,P,2.7
49,Clay Holmes,New York Mets,P,2.7
50,Ryan Pepiot,Tampa Bay Rays,P,2.6
51,Tyler Anderson,Los Angeles Angels,P,2.5
52,Shane Baz,Tampa Bay Rays,P,2.5
53,Jonathan Cannon,Chicago White Sox,P,2.5
54,Luis Ortiz,Cleveland Guardians,P,2.4
55,Ronel Blanco,Houston Astros,P,2.4
56,Zac Gallen,Arizona Diamondbacks,P,2.4
57,Jake Irvin,Washington Nationals,P,2.4
58,David Peterson,New York Mets,P,2.4
59,Robbie Ray,San Francisco Giants,P,2.3
60,Luis Severino,Sacramento Athletics,P,2.3
61,Tyler Mahle,Texas Rangers,P,2.2
62,Luis Castillo,Seattle Mariners,P,2.2
63,Bailey Falter,Pittsburgh Pirates,P,2.2
64,Kodai Senga,New York Mets,P,2.1
65,Jose Berrios,Toronto Blue Jays,P,2.1
66,Tanner Bibee,Cleveland Guardians,P,2.1
67,Andrew Heaney,Pittsburgh Pirates,P,2.0
67,Andre Pallante,St. Louis Cardinals,P,2.0
69,Grant Holmes,Atlanta Braves,P,2.0
70,Jeffrey Springs,Sacramento Athletics,P,2.0
70,Justin Verlander,San Francisco Giants,P,2.0
72,Chris Paddack,Minnesota Twins,P,1.9
73,Yusei Kikuchi,Los Angeles Angels,P,1.9
74,Taj Bradley,Tampa Bay Rays,P,1.9
75,Antonio Senzatela,Colorado Rockies,P,1.8
76,Kyle Hendricks,Los Angeles Angels,P,1.8
77,Jose Soriano,Los Angeles Angels,P,1.7
78,Mitchell Parker,Washington Nationals,P,1.4
79,Erick Fedde,St. Louis Cardinals,P,1.4
80,Jack Kochanowicz,Los Angeles Angels,P,1.3
