Rank,Player,Team,Pos,Value
1,Jarren Duran,Boston Red Sox,CF,212
2,Jackson Chourio,Milwaukee Brewers,LF,207
3,Corbin Carroll,Arizona Diamondbacks,RF,206
4,Bo Bichette,Toronto Blue Jays,SS,199
5,Austin Riley,Atlanta Braves,3B,198
6,Brent Rooker,Sacramento Athletics,LF,195
6,Elly De La Cruz,Cincinnati Reds,SS,195
8,Francisco Lindor,New York Mets,SS,193
8,Pete Crow-Armstrong,Chicago Cubs,CF,193
8,Bobby Witt Jr.,Kansas City Royals,SS,193
11,Vinnie Pasquantino,Kansas City Royals,1B,192
12,Willy Adames,San Francisco Giants,SS,191
12,Alex Bregman,Boston Red Sox,2B,191
12,Lars Nootbaar,St. Louis Cardinals,RF,191
12,Ozzie Albies,Atlanta Braves,2B,191
16,Julio Rodriguez,Seattle Mariners,CF,190
16,Kyle Tucker,Chicago Cubs,RF,190
16,Trea Turner,Philadelphia Phillies,SS,190
16,Shohei Ohtani,Los Angeles Dodgers,P,190
20,Jung Hoo Lee,San Francisco Giants,CF,189
20,Tyler Soderstrom,Sacramento Athletics,1B,189
20,Bryan Reynolds,Pittsburgh Pirates,LF,189
23,Dansby Swanson,Chicago Cubs,SS,187
24,James Wood,Washington Nationals,LF,186
25,Rafael Devers,Boston Red Sox,3B,185
25,Brendan Donovan,St. Louis Cardinals,2B,185
25,Trevor Story,Boston Red Sox,2B,185
25,Nick Castellanos,Philadelphia Phillies,RF,185
25,Lawrence Butler,Sacramento Athletics,RF,185
25,Riley Greene,Detroit Tigers,LF,185
31,Nathaniel Lowe,Washington Nationals,1B,184
32,Salvador Perez,Kansas City Royals,C,183
32,Michael Harris II,Atlanta Braves,LF,183
34,Josh Naylor,Arizona Diamondbacks,1B,182
34,Jeremy Pena,Houston Astros,SS,182
34,Seiya Suzuki,Chicago Cubs,RF,182
34,Jacob Wilson,Sacramento Athletics,SS,182
34,Taylor Ward,Los Angeles Angels,LF,182
34,Jose Altuve,Houston Astros,LF,182
40,Willson Contreras,St. Louis Cardinals,1B,181
40,Andrew Vaughn,Chicago White Sox,1B,181
40,Heliot Ramos,San Francisco Giants,CF,181
40,Aaron Judge,New York Yankees,CF,181
44,Yandy Diaz,Tampa Bay Rays,1B,180
44,Bryce Harper,Philadelphia Phillies,1B,180
44,Steven Kwan,Cleveland Guardians,LF,180
44,Pete Alonso,New York Mets,1B,180
48,Nico Hoerner,Chicago Cubs,2B,178
49,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,177
49,Christian Walker,Houston Astros,1B,177
49,Brandon Nimmo,New York Mets,LF,177
49,Paul Goldschmidt,New York Yankees,1B,177
53,Mookie Betts,Los Angeles Dodgers,SS,176
54,TJ Friedl,Cincinnati Reds,CF,175
54,Fernando Tatis Jr.,San Diego Padres,RF,175
54,Matt Olson,Atlanta Braves,1B,175
54,Kyle Schwarber,Philadelphia Phillies,LF,175
58,Eugenio Suárez,Arizona Diamondbacks,3B,174
58,Nolan Arenado,St. Louis Cardinals,3B,174
58,Junior Caminero,Tampa Bay Rays,3B,174
58,Isaac Paredes,Houston Astros,3B,174
58,Juan Soto,New York Mets,RF,174
58,Maikel Garcia,Kansas City Royals,3B,174
58,Alec Bohm,Philadelphia Phillies,3B,174
58,Christian Yelich,Milwaukee Brewers,LF,174
66,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,173
67,Hunter Goodman,Colorado Rockies,C,172
67,Trevor Larnach,Minnesota Twins,LF,172
67,Brice Turang,Milwaukee Brewers,2B,172
70,Ke'Bryan Hayes,Pittsburgh Pirates,3B,171
70,Jonathan India,Kansas City Royals,2B,171
70,Adolis Garcia,Texas Rangers,RF,171
70,Xavier Edwards,Miami Marlins,SS,171
70,Marcus Semien,Texas Rangers,2B,171
70,Spencer Torkelson,Detroit Tigers,1B,171
70,Matt Chapman,San Francisco Giants,3B,171
77,Cal Raleigh,Seattle Mariners,C,170
77,Anthony Volpe,New York Yankees,SS,170
77,Wilmer Flores,San Francisco Giants,1B,170
80,Manny Machado,San Diego Padres,3B,168
80,Andy Pages,Los Angeles Dodgers,CF,168
82,Miguel Vargas,Chicago White Sox,3B,167
83,Kerry Carpenter,Detroit Tigers,RF,166
83,Ian Happ,Chicago Cubs,LF,166
83,Ty France,Minnesota Twins,1B,166
83,Brandon Lowe,Tampa Bay Rays,2B,166
83,Bryson Stott,Philadelphia Phillies,2B,166
83,Geraldo Perdomo,Arizona Diamondbacks,SS,166
83,Michael Toglia,Colorado Rockies,1B,166
90,Mark Vientos,New York Mets,3B,165
91,JJ Bleday,Sacramento Athletics,CF,163
91,Wilyer Abreu,Boston Red Sox,CF,163
93,Gunnar Henderson,Baltimore Orioles,3B,162
93,Anthony Santander,Toronto Blue Jays,RF,162
93,Jose Ramirez,Cleveland Guardians,3B,162
93,Luis Arraez,San Diego Padres,1B,162
97,Yainer Diaz,Houston Astros,C,161
97,Cedric Mullins,Baltimore Orioles,CF,161
97,Keibert Ruiz,Washington Nationals,C,161
97,Randy Arozarena,Seattle Mariners,LF,161
