Rank,Player,Team,Pos,Value
1,Maikel Garcia,Kansas City Royals,3B,7
2,Trea Turner,Philadelphia Phillies,SS,5
2,Jarren Duran,Boston Red Sox,CF,5
2,Bobby Witt Jr.,Kansas City Royals,SS,5
2,Nick Allen,Atlanta Braves,SS,5
2,Luis Robert Jr.,Chicago White Sox,CF,5
7,Jackson Holliday,Baltimore Orioles,SS,4
7,Dylan Moore,Seattle Mariners,SS,4
7,Jose Caballero,Tampa Bay Rays,RF,4
7,Jacob Young,Washington Nationals,CF,4
7,Xavier Edwards,Miami Marlins,SS,4
7,Masyn Winn,St. Louis Cardinals,SS,4
7,Jose Ramirez,Cleveland Guardians,3B,4
7,Elly De La Cruz,Cincinnati Reds,SS,4
15,Shohei Ohtani,Los Angeles Dodgers,P,3
15,Luis Rengifo,Los Angeles Angels,2B,3
15,Javier Sanoja,Miami Marlins,LF,3
15,Pete Crow-Armstrong,Chicago Cubs,CF,3
15,Anthony Volpe,New York Yankees,SS,3
15,Corbin Carroll,Arizona Diamondbacks,RF,3
15,Chas McCormick,Houston Astros,LF,3
15,Dylan Crews,Washington Nationals,RF,3
15,James Wood,Washington Nationals,LF,3
15,Jose Altuve,Houston Astros,LF,3
15,Isiah Kiner-Falefa,Pittsburgh Pirates,2B,3
15,Brice Turang,Milwaukee Brewers,2B,3
27,Josh H. Smith,Texas Rangers,3B,2
27,Gabriel Arias,Cleveland Guardians,3B,2
27,Nico Hoerner,Chicago Cubs,2B,2
27,Jackson Chourio,Milwaukee Brewers,LF,2
27,Taylor Walls,Tampa Bay Rays,SS,2
27,Otto Lopez,Miami Marlins,2B,2
27,Bryan Reynolds,Pittsburgh Pirates,LF,2
27,Cody Bellinger,New York Yankees,CF,2
27,Jonathan India,Kansas City Royals,2B,2
27,Bo Bichette,Toronto Blue Jays,SS,2
27,Miles Mastrobuoni,Seattle Mariners,SS,2
27,Harrison Bader,Minnesota Twins,CF,2
27,Christian Yelich,Milwaukee Brewers,LF,2
27,Aaron Judge,New York Yankees,CF,2
27,Dane Myers,Miami Marlins,CF,2
27,Cedric Mullins,Baltimore Orioles,CF,2
27,Mike Yastrzemski,San Francisco Giants,RF,2
27,Josh Naylor,Arizona Diamondbacks,1B,2
27,Chandler Simpson,Tampa Bay Rays,CF,2
27,Tyler Fitzgerald,San Francisco Giants,SS,2
27,DaShawn Keirsey Jr.,Minnesota Twins,CF,2
27,Jordan Walker,St. Louis Cardinals,RF,2
27,Keibert Ruiz,Washington Nationals,C,2
27,Adolis Garcia,Texas Rangers,RF,2
27,Wyatt Langford,Texas Rangers,LF,2
27,Seiya Suzuki,Chicago Cubs,RF,2
27,TJ Friedl,Cincinnati Reds,CF,2
27,Jake Fraley,Cincinnati Reds,RF,2
27,Francisco Lindor,New York Mets,SS,2
27,Willy Adames,San Francisco Giants,SS,2
27,Connor Joe,Cincinnati Reds,1B,2
27,JJ Bleday,Sacramento Athletics,CF,2
27,Nathan Lukes,Toronto Blue Jays,CF,2
27,Lars Nootbaar,St. Louis Cardinals,RF,2
27,Edouard Julien,Minnesota Twins,2B,2
27,Brayan Rocchio,Cleveland Guardians,SS,2
27,Julio Rodriguez,Seattle Mariners,CF,2
27,Will Smith,Los Angeles Dodgers,C,2
27,Ernie Clement,Toronto Blue Jays,3B,2
27,Christopher Morel,Tampa Bay Rays,LF,2
27,Ryan Bliss,Seattle Mariners,2B,2
27,Mickey Moniak,Colorado Rockies,CF,2
27,Michael Harris II,Atlanta Braves,LF,2
27,Tyler Wade,San Diego Padres,CF,2
27,Nolan Jones,Cleveland Guardians,CF,2
27,Joey Ortiz,Milwaukee Brewers,3B,2
27,Fernando Tatis Jr.,San Diego Padres,RF,2
27,Jordan Beck,Colorado Rockies,LF,2
27,Jake Meyers,Houston Astros,CF,2
27,Sal Frelick,Milwaukee Brewers,RF,2
27,Wilyer Abreu,Boston Red Sox,CF,2
27,Alek Thomas,Arizona Diamondbacks,CF,2
27,Ezequiel Tovar,Colorado Rockies,SS,2
27,Leody Taveras,Seattle Mariners,CF,2
27,CJ Abrams,Washington Nationals,SS,2
27,Matt Chapman,San Francisco Giants,3B,2
83,Kerry Carpenter,Detroit Tigers,RF,1
83,Curtis Mead,Tampa Bay Rays,1B,1
83,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,1
83,Yainer Diaz,Houston Astros,C,1
83,Myles Straw,Toronto Blue Jays,CF,1
83,Jazz Chisholm Jr.,New York Yankees,2B,1
83,Johan Rojas,Philadelphia Phillies,CF,1
83,Garrett Hampson,Arizona Diamondbacks,2B,1
83,Jung Hoo Lee,San Francisco Giants,CF,1
83,Shea Langeliers,Sacramento Athletics,C,1
83,Gabriel Moreno,Arizona Diamondbacks,C,1
83,Pavin Smith,Arizona Diamondbacks,1B,1
83,Freddie Freeman,Los Angeles Dodgers,1B,1
83,Trevor Larnach,Minnesota Twins,LF,1
83,Ketel Marte,Arizona Diamondbacks,2B,1
83,Jackson Merrill,San Diego Padres,CF,1
83,Brandon Nimmo,New York Mets,LF,1
83,Dylan Carlson,Baltimore Orioles,CF,1
