Rank,Player,Team,Pos,Value
1,Elly De La Cruz,Cincinnati Reds,SS,9
2,Lenyn Sosa,Chicago White Sox,3B,8
2,Jonathan India,Kansas City Royals,2B,8
4,Francisco Lindor,New York Mets,SS,7
4,Jose Ramirez,Cleveland Guardians,3B,7
4,Miguel Vargas,Chicago White Sox,3B,7
4,Eugenio Suárez,Arizona Diamondbacks,3B,7
8,Willy Adames,San Francisco Giants,SS,6
8,Max Muncy,Los Angeles Dodgers,3B,6
8,Brayan Rocchio,Cleveland Guardians,SS,6
8,Austin Riley,Atlanta Braves,3B,6
8,Jo Adell,Los Angeles Angels,RF,6
8,Matt Chapman,San Francisco Giants,3B,6
8,Xavier Edwards,Miami Marlins,SS,6
8,Jake Cronenworth,San Diego Padres,1B,6
8,Trey Sweeney,Detroit Tigers,SS,6
8,Manny Machado,San Diego Padres,3B,6
18,Luis Rengifo,Los Angeles Angels,2B,5
18,Bo Bichette,Toronto Blue Jays,SS,5
18,Alex Bregman,Boston Red Sox,2B,5
18,Joey Ortiz,Milwaukee Brewers,3B,5
18,Trevor Story,Boston Red Sox,2B,5
18,Matt Thaiss,Chicago White Sox,C,5
18,Junior Caminero,Tampa Bay Rays,3B,5
18,Isiah Kiner-Falefa,Pittsburgh Pirates,2B,5
18,Jeremy Pena,Houston Astros,SS,5
18,Danny Jansen,Tampa Bay Rays,C,5
18,Jacob Wilson,Sacramento Athletics,SS,5
18,Oswaldo Cabrera,New York Yankees,3B,5
18,Anthony Volpe,New York Yankees,SS,5
18,Rhys Hoskins,Milwaukee Brewers,1B,5
32,Endy Rodriguez,Pittsburgh Pirates,C,4
32,Carlos Correa,Minnesota Twins,SS,4
32,Jorge Mateo,Baltimore Orioles,2B,4
32,Mark Vientos,New York Mets,3B,4
32,Amed Rosario,Washington Nationals,2B,4
32,Logan O'Hoppe,Los Angeles Angels,C,4
32,Oneil Cruz,Pittsburgh Pirates,CF,4
32,Hunter Goodman,Colorado Rockies,C,4
32,Ezequiel Tovar,Colorado Rockies,SS,4
32,Gabriel Arias,Cleveland Guardians,3B,4
32,Trea Turner,Philadelphia Phillies,SS,4
32,Shea Langeliers,Sacramento Athletics,C,4
32,Willi Castro,Minnesota Twins,SS,4
32,Gunnar Henderson,Baltimore Orioles,3B,4
32,Mickey Moniak,Colorado Rockies,CF,4
32,Max Muncy,Sacramento Athletics,SS,4
32,Dylan Moore,Seattle Mariners,SS,4
32,Pete Alonso,New York Mets,1B,4
32,Nathaniel Lowe,Washington Nationals,1B,4
51,Bobby Witt Jr.,Kansas City Royals,SS,3
51,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,3
51,Angel Martinez,Cleveland Guardians,CF,3
51,Braxton Fulford,Colorado Rockies,C,3
51,Jared Triolo,Pittsburgh Pirates,3B,3
51,JJ Bleday,Sacramento Athletics,CF,3
51,Jazz Chisholm Jr.,New York Yankees,2B,3
51,Jose Tena,Washington Nationals,3B,3
51,Oswald Peraza,New York Yankees,3B,3
51,Adael Amador,Colorado Rockies,2B,3
51,Jon Berti,Chicago Cubs,3B,3
51,Tim Tawa,Arizona Diamondbacks,2B,3
51,Tyler Soderstrom,Sacramento Athletics,1B,3
51,Bryse Wilson,Chicago White Sox,P,3
51,Matt Shaw,Chicago Cubs,2B,3
51,Francisco Alvarez,New York Mets,C,3
51,Gage Workman,Detroit Tigers,3B,3
51,Kristian Campbell,Boston Red Sox,2B,3
51,Ke'Bryan Hayes,Pittsburgh Pirates,3B,3
51,Jarren Duran,Boston Red Sox,CF,3
51,Tim Anderson,Los Angeles Angels,SS,3
51,Wilyer Abreu,Boston Red Sox,CF,3
51,Brent Suter,Cincinnati Reds,P,3
51,Brooks Lee,Minnesota Twins,SS,3
51,CJ Abrams,Washington Nationals,SS,3
51,Leody Taveras,Seattle Mariners,CF,3
51,Alejandro Kirk,Toronto Blue Jays,C,3
51,Ryan McMahon,Colorado Rockies,3B,3
51,Dansby Swanson,Chicago Cubs,SS,3
51,Xander Bogaerts,San Diego Padres,2B,3
51,J.P. Crawford,Seattle Mariners,SS,3
51,Jose Barrero,St. Louis Cardinals,SS,3
51,Jake Burger,Texas Rangers,3B,3
51,Jacob Stallings,Colorado Rockies,C,3
51,Bo Naylor,Cleveland Guardians,C,3
51,Drew Waters,Kansas City Royals,RF,3
51,Caleb Durbin,Milwaukee Brewers,2B,3
51,Colt Keith,Detroit Tigers,2B,3
51,Pablo Lopez,Minnesota Twins,P,3
51,Bryson Stott,Philadelphia Phillies,2B,3
51,Nolan Arenado,St. Louis Cardinals,3B,3
51,Brice Turang,Milwaukee Brewers,2B,3
93,Triston Casas,Boston Red Sox,1B,2
93,Gavin Lux,Cincinnati Reds,LF,2
93,Nico Hoerner,Chicago Cubs,2B,2
93,Andy Pages,Los Angeles Dodgers,CF,2
93,Willson Contreras,St. Louis Cardinals,1B,2
93,Spencer Strider,Atlanta Braves,P,2
93,Bryan Reynolds,Pittsburgh Pirates,LF,2
93,Corey Seager,Texas Rangers,SS,2
