Rank,Player,Team,Pos,Value
1,Caleb Durbin,Milwaukee Brewers,2B,7
1,Randy Arozarena,Seattle Mariners,LF,7
1,Blake Dunn,Cincinnati Reds,LF,7
1,Eugenio Suárez,Arizona Diamondbacks,3B,7
1,Francisco Lindor,New York Mets,SS,7
6,Tyrone Taylor,New York Mets,RF,6
6,Ben Rice,New York Yankees,1B,6
6,Ty France,Minnesota Twins,1B,6
6,Starling Marte,New York Mets,RF,6
6,Willson Contreras,St. Louis Cardinals,1B,6
6,Alex Bregman,Boston Red Sox,2B,6
12,Pete Alonso,New York Mets,1B,5
12,Sean Murphy,Atlanta Braves,C,5
12,Heliot Ramos,San Francisco Giants,CF,5
12,Michael Conforto,Los Angeles Dodgers,LF,5
12,Luke Raley,Seattle Mariners,LF,5
12,Michael Busch,Chicago Cubs,1B,5
18,Christian Walker,Houston Astros,1B,4
18,Dylan Crews,Washington Nationals,RF,4
18,Jose Iglesias,San Diego Padres,2B,4
18,Kyle Schwarber,Philadelphia Phillies,LF,4
18,Corbin Carroll,Arizona Diamondbacks,RF,4
18,Jazz Chisholm Jr.,New York Yankees,2B,4
18,Spencer Torkelson,Detroit Tigers,1B,4
18,Heston Kjerstad,Baltimore Orioles,LF,4
18,Victor Caratini,Houston Astros,C,4
18,Brayan Rocchio,Cleveland Guardians,SS,4
18,Harrison Bader,Minnesota Twins,CF,4
18,CJ Abrams,Washington Nationals,SS,4
18,Alan Roden,Toronto Blue Jays,RF,4
18,Andres Gimenez,Toronto Blue Jays,2B,4
18,Jeremy Pena,Houston Astros,SS,4
18,Julio Rodriguez,Seattle Mariners,CF,4
34,Dillon Dingler,Detroit Tigers,C,3
34,Jake Burger,Texas Rangers,3B,3
34,Trevor Story,Boston Red Sox,2B,3
34,Gary Sanchez,Baltimore Orioles,C,3
34,Jorge Soler,Los Angeles Angels,RF,3
34,Tim Anderson,Los Angeles Angels,SS,3
34,Jonathan Aranda,Tampa Bay Rays,1B,3
34,Austin Wells,New York Yankees,C,3
34,Bobby Witt Jr.,Kansas City Royals,SS,3
34,Andy Pages,Los Angeles Dodgers,CF,3
34,Hunter Goodman,Colorado Rockies,C,3
34,Willi Castro,Minnesota Twins,SS,3
34,Masyn Winn,St. Louis Cardinals,SS,3
34,Kyle Stowers,Miami Marlins,LF,3
34,Kyren Paris,Los Angeles Angels,2B,3
34,Curtis Mead,Tampa Bay Rays,1B,3
34,Gleyber Torres,Detroit Tigers,2B,3
34,Jacob Stallings,Colorado Rockies,C,3
34,Carlos Santana,Cleveland Guardians,1B,3
34,Matt McLain,Cincinnati Reds,SS,3
34,Jackson Holliday,Baltimore Orioles,SS,3
34,Ke'Bryan Hayes,Pittsburgh Pirates,3B,3
34,Miguel Vargas,Chicago White Sox,3B,3
34,Sal Frelick,Milwaukee Brewers,RF,3
34,Jarren Duran,Boston Red Sox,CF,3
34,Alec Bohm,Philadelphia Phillies,3B,3
34,Alek Thomas,Arizona Diamondbacks,CF,3
34,Keibert Ruiz,Washington Nationals,C,3
34,Adolis Garcia,Texas Rangers,RF,3
34,Joey Bart,Pittsburgh Pirates,C,3
34,Joshua Palacios,Chicago White Sox,RF,3
34,Max Muncy,Los Angeles Dodgers,3B,3
34,Brendan Donovan,St. Louis Cardinals,2B,3
67,Jacob Young,Washington Nationals,CF,2
67,Brent Rooker,Sacramento Athletics,LF,2
67,Oswaldo Cabrera,New York Yankees,3B,2
67,Josh Bell,Washington Nationals,1B,2
67,Jose Ramirez,Cleveland Guardians,3B,2
67,Matt Mervis,Miami Marlins,1B,2
67,Mark Canha,Kansas City Royals,1B,2
67,Luis Urias,Sacramento Athletics,3B,2
67,Tommy Edman,Los Angeles Dodgers,2B,2
67,Andrew McCutchen,Pittsburgh Pirates,RF,2
67,Byron Buxton,Minnesota Twins,CF,2
67,Anthony Volpe,New York Yankees,SS,2
67,Edgar Quero,Chicago White Sox,C,2
67,Isiah Kiner-Falefa,Pittsburgh Pirates,2B,2
67,Adam Frazier,Pittsburgh Pirates,2B,2
67,Nick Castellanos,Philadelphia Phillies,RF,2
67,Javier Baez,Detroit Tigers,CF,2
67,Triston Casas,Boston Red Sox,1B,2
67,Gabriel Arias,Cleveland Guardians,3B,2
67,Trea Turner,Philadelphia Phillies,SS,2
67,Tyler Freeman,Colorado Rockies,2B,2
67,Jacob Hurtubise,Cincinnati Reds,LF,2
67,Nico Hoerner,Chicago Cubs,2B,2
67,Connor Norby,Miami Marlins,3B,2
67,Kody Clemens,Minnesota Twins,2B,2
67,Ketel Marte,Arizona Diamondbacks,2B,2
67,Paul Goldschmidt,New York Yankees,1B,2
67,Bo Bichette,Toronto Blue Jays,SS,2
67,Ceddanne Rafaela,Boston Red Sox,CF,2
67,Gavin Sheets,San Diego Padres,RF,2
67,Christian Yelich,Milwaukee Brewers,LF,2
67,Aaron Judge,New York Yankees,CF,2
67,Tyler Soderstrom,Sacramento Athletics,1B,2
67,Oneil Cruz,Pittsburgh Pirates,CF,2
