Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,73
2,Jacob Wilson,Sacramento Athletics,SS,62
3,Brendan Donovan,St. Louis Cardinals,2B,61
4,Paul Goldschmidt,New York Yankees,1B,60
5,Bobby Witt Jr.,Kansas City Royals,SS,59
5,Shohei Ohtani,Los Angeles Dodgers,P,59
7,Trea Turner,Philadelphia Phillies,SS,58
7,Bo Bichette,Toronto Blue Jays,SS,58
7,Alex Bregman,Boston Red Sox,2B,58
10,Corbin Carroll,Arizona Diamondbacks,RF,57
11,Austin Riley,Atlanta Braves,3B,56
11,Jarren Duran,Boston Red Sox,CF,56
11,Steven Kwan,Cleveland Guardians,LF,56
14,Pete Crow-Armstrong,Chicago Cubs,CF,55
14,Jeremy Pena,Houston Astros,SS,55
16,Francisco Lindor,New York Mets,SS,54
16,Maikel Garcia,Kansas City Royals,3B,54
18,Fernando Tatis Jr.,San Diego Padres,RF,53
18,Pete Alonso,New York Mets,1B,53
18,Heliot Ramos,San Francisco Giants,CF,53
18,Rafael Devers,Boston Red Sox,3B,53
18,Riley Greene,Detroit Tigers,LF,53
18,Josh Naylor,Arizona Diamondbacks,1B,53
18,James Wood,Washington Nationals,LF,53
25,Freddie Freeman,Los Angeles Dodgers,1B,52
25,Jung Hoo Lee,San Francisco Giants,CF,52
25,Nico Hoerner,Chicago Cubs,2B,52
25,Manny Machado,San Diego Padres,3B,52
25,Nick Castellanos,Philadelphia Phillies,RF,52
30,Brice Turang,Milwaukee Brewers,2B,51
30,Geraldo Perdomo,Arizona Diamondbacks,SS,51
30,Tyler Soderstrom,Sacramento Athletics,1B,51
30,Kyle Tucker,Chicago Cubs,RF,51
34,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,50
35,Jackson Chourio,Milwaukee Brewers,LF,49
35,Dansby Swanson,Chicago Cubs,SS,49
35,Bryce Harper,Philadelphia Phillies,1B,49
35,Kyle Stowers,Miami Marlins,LF,49
35,TJ Friedl,Cincinnati Reds,CF,49
35,Hunter Goodman,Colorado Rockies,C,49
41,Luis Arraez,San Diego Padres,1B,48
41,Lars Nootbaar,St. Louis Cardinals,RF,48
41,Elly De La Cruz,Cincinnati Reds,SS,48
41,Kerry Carpenter,Detroit Tigers,RF,48
41,Jose Ramirez,Cleveland Guardians,3B,48
46,Brent Rooker,Sacramento Athletics,LF,47
47,Seiya Suzuki,Chicago Cubs,RF,46
47,Andy Pages,Los Angeles Dodgers,CF,46
47,Alec Bohm,Philadelphia Phillies,3B,46
47,Isaac Paredes,Houston Astros,3B,46
47,Mookie Betts,Los Angeles Dodgers,SS,46
52,Yandy Diaz,Tampa Bay Rays,1B,45
52,Gavin Lux,Cincinnati Reds,LF,45
52,Willson Contreras,St. Louis Cardinals,1B,45
52,CJ Abrams,Washington Nationals,SS,45
52,Keibert Ruiz,Washington Nationals,C,45
52,Xavier Edwards,Miami Marlins,SS,45
52,Kyle Schwarber,Philadelphia Phillies,LF,45
59,Bryson Stott,Philadelphia Phillies,2B,44
59,Vinnie Pasquantino,Kansas City Royals,1B,44
59,Jonathan Aranda,Tampa Bay Rays,1B,44
59,Ian Happ,Chicago Cubs,LF,44
59,Zach McKinstry,Detroit Tigers,RF,44
59,Sal Frelick,Milwaukee Brewers,RF,44
59,Nolan Schanuel,Los Angeles Angels,1B,44
59,Wilmer Flores,San Francisco Giants,1B,44
59,Julio Rodriguez,Seattle Mariners,CF,44
68,Juan Soto,New York Mets,RF,43
68,Jake Meyers,Houston Astros,CF,43
68,J.P. Crawford,Seattle Mariners,SS,43
68,Rhys Hoskins,Milwaukee Brewers,1B,43
68,Lawrence Butler,Sacramento Athletics,RF,43
68,Lenyn Sosa,Chicago White Sox,3B,43
68,Wilyer Abreu,Boston Red Sox,CF,43
68,Trevor Story,Boston Red Sox,2B,43
68,Ozzie Albies,Atlanta Braves,2B,43
68,Trevor Larnach,Minnesota Twins,LF,43
68,Jose Altuve,Houston Astros,LF,43
79,Josh Jung,Texas Rangers,3B,42
79,Mike Yastrzemski,San Francisco Giants,RF,42
79,Nolan Arenado,St. Louis Cardinals,3B,42
79,Willy Adames,San Francisco Giants,SS,42
79,Ty France,Minnesota Twins,1B,42
79,Ke'Bryan Hayes,Pittsburgh Pirates,3B,42
79,Matt Olson,Atlanta Braves,1B,42
79,Will Smith,Los Angeles Dodgers,C,42
87,Teoscar Hernandez,Los Angeles Dodgers,LF,41
87,Cody Bellinger,New York Yankees,CF,41
87,William Contreras,Milwaukee Brewers,C,41
87,Nathaniel Lowe,Washington Nationals,1B,41
87,Spencer Torkelson,Detroit Tigers,1B,41
87,Miguel Andujar,Sacramento Athletics,LF,41
87,Marcell Ozuna,Atlanta Braves,DH,41
87,Michael Harris II,Atlanta Braves,LF,41
87,Cal Raleigh,Seattle Mariners,C,41
87,Shea Langeliers,Sacramento Athletics,C,41
87,Byron Buxton,Minnesota Twins,CF,41
87,Gunnar Henderson,Baltimore Orioles,3B,41
99,Josh H. Smith,Texas Rangers,3B,40
99,Jackson Holliday,Baltimore Orioles,SS,40
