Rank,Player,Team,Pos,Value
1,Kyle Schwarber,Philadelphia Phillies,LF,17
1,Shohei Ohtani,Los Angeles Dodgers,P,17
3,Aaron Judge,New York Yankees,CF,16
4,Corbin Carroll,Arizona Diamondbacks,RF,15
4,Cal Raleigh,Seattle Mariners,C,15
6,Eugenio Suárez,Arizona Diamondbacks,3B,14
7,Taylor Ward,Los Angeles Angels,LF,13
8,Riley Greene,Detroit Tigers,LF,12
8,Fernando Tatis Jr.,San Diego Padres,RF,12
8,Pete Crow-Armstrong,Chicago Cubs,CF,12
8,James Wood,Washington Nationals,LF,12
8,Seiya Suzuki,Chicago Cubs,RF,12
8,Spencer Torkelson,Detroit Tigers,1B,12
8,Trent Grisham,New York Yankees,CF,12
15,Kyle Tucker,Chicago Cubs,RF,11
15,Wilyer Abreu,Boston Red Sox,CF,11
15,Alex Bregman,Boston Red Sox,2B,11
15,Logan O'Hoppe,Los Angeles Angels,C,11
19,Tyler Soderstrom,Sacramento Athletics,1B,10
19,Matt Olson,Atlanta Braves,1B,10
19,Byron Buxton,Minnesota Twins,CF,10
19,Wilmer Flores,San Francisco Giants,1B,10
19,Kerry Carpenter,Detroit Tigers,RF,10
19,Brent Rooker,Sacramento Athletics,LF,10
19,Kyle Manzardo,Cleveland Guardians,1B,10
19,Dansby Swanson,Chicago Cubs,SS,10
19,Cedric Mullins,Baltimore Orioles,CF,10
19,Rafael Devers,Boston Red Sox,3B,10
19,Ben Rice,New York Yankees,1B,10
19,Kyle Stowers,Miami Marlins,LF,10
19,Jorge Polanco,Seattle Mariners,2B,10
32,Jose Ramirez,Cleveland Guardians,3B,9
32,Teoscar Hernandez,Los Angeles Dodgers,LF,9
32,Shea Langeliers,Sacramento Athletics,C,9
32,Freddie Freeman,Los Angeles Dodgers,1B,9
32,Pete Alonso,New York Mets,1B,9
32,Wyatt Langford,Texas Rangers,LF,9
32,Mike Trout,Los Angeles Angels,CF,9
32,Andy Pages,Los Angeles Dodgers,CF,9
32,Francisco Lindor,New York Mets,SS,9
41,Isaac Paredes,Houston Astros,3B,8
41,Vinnie Pasquantino,Kansas City Royals,1B,8
41,Elly De La Cruz,Cincinnati Reds,SS,8
41,CJ Abrams,Washington Nationals,SS,8
41,Julio Rodriguez,Seattle Mariners,CF,8
41,Mookie Betts,Los Angeles Dodgers,SS,8
41,Matt Chapman,San Francisco Giants,3B,8
41,Juan Soto,New York Mets,RF,8
41,Tommy Edman,Los Angeles Dodgers,2B,8
41,Brandon Nimmo,New York Mets,LF,8
41,Nathaniel Lowe,Washington Nationals,1B,8
41,Sean Murphy,Atlanta Braves,C,8
41,Marcell Ozuna,Atlanta Braves,DH,8
41,Heliot Ramos,San Francisco Giants,CF,8
41,Carson Kelly,Chicago Cubs,C,8
41,Austin Wells,New York Yankees,C,8
41,Oneil Cruz,Pittsburgh Pirates,CF,8
41,Austin Riley,Atlanta Braves,3B,8
41,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,8
41,Jordan Beck,Colorado Rockies,LF,8
41,Rowdy Tellez,Seattle Mariners,1B,8
41,Junior Caminero,Tampa Bay Rays,3B,8
63,Jackson Chourio,Milwaukee Brewers,LF,7
63,Michael Busch,Chicago Cubs,1B,7
63,Zach Neto,Los Angeles Angels,SS,7
63,Cody Bellinger,New York Yankees,CF,7
63,Gunnar Henderson,Baltimore Orioles,3B,7
63,Trevor Larnach,Minnesota Twins,LF,7
63,Christian Yelich,Milwaukee Brewers,LF,7
63,Ryan O'Hearn,Baltimore Orioles,1B,7
63,Jazz Chisholm Jr.,New York Yankees,2B,7
63,Matt Mervis,Miami Marlins,1B,7
63,Bryce Harper,Philadelphia Phillies,1B,7
63,Josh Jung,Texas Rangers,3B,7
63,Dylan Moore,Seattle Mariners,SS,7
63,Dylan Crews,Washington Nationals,RF,7
63,Enrique Hernandez,Los Angeles Dodgers,3B,7
63,Hunter Goodman,Colorado Rockies,C,7
63,Lars Nootbaar,St. Louis Cardinals,RF,7
63,Brandon Lowe,Tampa Bay Rays,2B,7
81,Daniel Schneemann,Cleveland Guardians,2B,6
81,Lawrence Butler,Sacramento Athletics,RF,6
81,Jeremy Pena,Houston Astros,SS,6
81,Matt McLain,Cincinnati Reds,SS,6
81,Luis Urias,Sacramento Athletics,3B,6
81,Josh Bell,Washington Nationals,1B,6
81,Jonah Heim,Texas Rangers,C,6
81,Jung Hoo Lee,San Francisco Giants,CF,6
81,Trevor Story,Boston Red Sox,2B,6
81,Jackson Holliday,Baltimore Orioles,SS,6
81,Miguel Vargas,Chicago White Sox,3B,6
81,Jorge Soler,Los Angeles Angels,RF,6
81,Javier Baez,Detroit Tigers,CF,6
81,Ramon Laureano,Baltimore Orioles,CF,6
81,Ryan McMahon,Colorado Rockies,3B,6
81,Ketel Marte,Arizona Diamondbacks,2B,6
81,Randy Arozarena,Seattle Mariners,LF,6
81,Daulton Varsho,Toronto Blue Jays,CF,6
81,Agustin Ramirez,Miami Marlins,C,6
81,Jonathan Aranda,Tampa Bay Rays,1B,6
