Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,8
2,Shohei Ohtani,Los Angeles Dodgers,P,6
3,Kyle Tucker,Chicago Cubs,RF,5
3,Bobby Witt Jr.,Kansas City Royals,SS,5
5,Wilyer Abreu,Boston Red Sox,CF,4
6,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,3
6,Jose Ramirez,Cleveland Guardians,3B,3
6,Freddie Freeman,Los Angeles Dodgers,1B,3
6,Ketel Marte,Arizona Diamondbacks,2B,3
6,Rafael Devers,Boston Red Sox,3B,3
6,Nolan Arenado,St. Louis Cardinals,3B,3
6,Yordan Alvarez,Houston Astros,LF,3
6,Nolan Schanuel,Los Angeles Angels,1B,3
6,William Contreras,Milwaukee Brewers,C,3
15,Vinnie Pasquantino,Kansas City Royals,1B,2
15,Kyle Schwarber,Philadelphia Phillies,LF,2
15,Oneil Cruz,Pittsburgh Pirates,CF,2
15,Xander Bogaerts,San Diego Padres,2B,2
15,Paul Goldschmidt,New York Yankees,1B,2
15,Cal Raleigh,Seattle Mariners,C,2
15,Triston Casas,Boston Red Sox,1B,2
15,Spencer Torkelson,Detroit Tigers,1B,2
15,Mike Yastrzemski,San Francisco Giants,RF,2
15,Bryce Harper,Philadelphia Phillies,1B,2
15,Lars Nootbaar,St. Louis Cardinals,RF,2
15,Mike Trout,Los Angeles Angels,CF,2
15,Michael Toglia,Colorado Rockies,1B,2
15,Rhys Hoskins,Milwaukee Brewers,1B,2
15,Juan Soto,New York Mets,RF,2
15,Fernando Tatis Jr.,San Diego Padres,RF,2
15,Elly De La Cruz,Cincinnati Reds,SS,2
32,Alejandro Kirk,Toronto Blue Jays,C,1
32,Josh H. Smith,Texas Rangers,3B,1
32,Spencer Horwitz,Pittsburgh Pirates,2B,1
32,Bryan Reynolds,Pittsburgh Pirates,LF,1
32,Taylor Ward,Los Angeles Angels,LF,1
32,Shea Langeliers,Sacramento Athletics,C,1
32,Otto Lopez,Miami Marlins,2B,1
32,Andrew McCutchen,Pittsburgh Pirates,RF,1
32,Byron Buxton,Minnesota Twins,CF,1
32,Gunnar Henderson,Baltimore Orioles,3B,1
32,Trevor Larnach,Minnesota Twins,LF,1
32,Jose Altuve,Houston Astros,LF,1
32,Heliot Ramos,San Francisco Giants,CF,1
32,Zach McKinstry,Detroit Tigers,RF,1
32,Bo Bichette,Toronto Blue Jays,SS,1
32,Jonah Bride,Minnesota Twins,2B,1
32,Austin Hays,Cincinnati Reds,LF,1
32,Adam Frazier,Pittsburgh Pirates,2B,1
32,Tyler Stephenson,Cincinnati Reds,C,1
32,Eli White,Atlanta Braves,CF,1
32,Austin Riley,Atlanta Braves,3B,1
32,Ryan McMahon,Colorado Rockies,3B,1
32,Alec Burleson,St. Louis Cardinals,1B,1
32,Kyle Manzardo,Cleveland Guardians,1B,1
32,Willi Castro,Minnesota Twins,SS,1
32,Josh Naylor,Arizona Diamondbacks,1B,1
32,Dansby Swanson,Chicago Cubs,SS,1
32,Brandon Nimmo,New York Mets,LF,1
32,George Springer,Toronto Blue Jays,RF,1
32,Jesse Winker,New York Mets,LF,1
32,Christian Yelich,Milwaukee Brewers,LF,1
32,Anthony Santander,Toronto Blue Jays,RF,1
32,Eugenio Suárez,Arizona Diamondbacks,3B,1
32,Jeremy Pena,Houston Astros,SS,1
32,Manny Machado,San Diego Padres,3B,1
32,Corbin Carroll,Arizona Diamondbacks,RF,1
32,Carlos Santana,Cleveland Guardians,1B,1
32,Matt Mervis,Miami Marlins,1B,1
32,JJ Bleday,Sacramento Athletics,CF,1
32,Nolan Gorman,St. Louis Cardinals,2B,1
32,Randal Grichuk,Arizona Diamondbacks,RF,1
32,Xavier Edwards,Miami Marlins,SS,1
32,Nick Martini,Colorado Rockies,1B,1
32,Jack Suwinski,Pittsburgh Pirates,CF,1
32,Marcell Ozuna,Atlanta Braves,DH,1
32,LaMonte Wade Jr.,San Francisco Giants,1B,1
32,Kyle Stowers,Miami Marlins,LF,1
32,Max Kepler,Philadelphia Phillies,RF,1
32,Jeff McNeil,New York Mets,2B,1
32,James Wood,Washington Nationals,LF,1
32,Mickey Moniak,Colorado Rockies,CF,1
32,Julio Rodriguez,Seattle Mariners,CF,1
32,Michael Harris II,Atlanta Braves,LF,1
32,Tyler O'Neill,Baltimore Orioles,RF,1
32,Riley Greene,Detroit Tigers,LF,1
32,Willson Contreras,St. Louis Cardinals,1B,1
32,Corey Seager,Texas Rangers,SS,1
32,Nolan Jones,Cleveland Guardians,CF,1
32,Daulton Varsho,Toronto Blue Jays,CF,1
32,J.T. Realmuto,Philadelphia Phillies,C,1
32,Luis Robert Jr.,Chicago White Sox,CF,1
32,Freddy Fermin,Kansas City Royals,C,1
32,Tommy Pham,Pittsburgh Pirates,CF,1
32,Alex Bregman,Boston Red Sox,2B,1
32,Pete Alonso,New York Mets,1B,1
97,Kerry Carpenter,Detroit Tigers,RF,0
97,Tyrone Taylor,New York Mets,RF,0
97,Tim Hill,New York Yankees,P,0
97,Curtis Mead,Tampa Bay Rays,1B,0
