Rank,Player,Team,Pos,Value
1,Vinnie Pasquantino,Kansas City Royals,1B,103
2,Brandon Nimmo,New York Mets,LF,102
2,Elly De La Cruz,Cincinnati Reds,SS,102
4,Lars Nootbaar,St. Louis Cardinals,RF,100
5,Christian Walker,Houston Astros,1B,98
5,Nick Castellanos,Philadelphia Phillies,RF,98
7,Anthony Volpe,New York Yankees,SS,96
7,Nolan Arenado,St. Louis Cardinals,3B,96
9,Alex Bregman,Boston Red Sox,2B,94
9,Ozzie Albies,Atlanta Braves,2B,94
9,Anthony Santander,Toronto Blue Jays,RF,94
12,Kyle Schwarber,Philadelphia Phillies,LF,91
12,Tyler Soderstrom,Sacramento Athletics,1B,91
14,Andrew Vaughn,Chicago White Sox,1B,90
15,Seiya Suzuki,Chicago Cubs,RF,89
16,Riley Greene,Detroit Tigers,LF,88
17,Bryan Reynolds,Pittsburgh Pirates,LF,87
17,Yandy Diaz,Tampa Bay Rays,1B,87
17,Michael Harris II,Atlanta Braves,LF,87
20,Matt Olson,Atlanta Braves,1B,85
20,Christian Yelich,Milwaukee Brewers,LF,85
22,Salvador Perez,Kansas City Royals,C,84
22,Pete Crow-Armstrong,Chicago Cubs,CF,84
22,Josh Naylor,Arizona Diamondbacks,1B,84
22,Dansby Swanson,Chicago Cubs,SS,84
22,Julio Rodriguez,Seattle Mariners,CF,84
27,Jose Altuve,Houston Astros,LF,83
27,Corbin Carroll,Arizona Diamondbacks,RF,83
29,Yainer Diaz,Houston Astros,C,82
29,Willson Contreras,St. Louis Cardinals,1B,82
29,Nathaniel Lowe,Washington Nationals,1B,82
32,Eric Wagaman,Miami Marlins,3B,81
32,Kristian Campbell,Boston Red Sox,2B,81
32,Jackson Chourio,Milwaukee Brewers,LF,81
32,Wilyer Abreu,Boston Red Sox,CF,81
36,Brent Rooker,Sacramento Athletics,LF,80
36,Dylan Crews,Washington Nationals,RF,80
36,Adolis Garcia,Texas Rangers,RF,80
39,Juan Soto,New York Mets,RF,79
39,Michael Massey,Kansas City Royals,2B,79
39,Heliot Ramos,San Francisco Giants,CF,79
42,Pete Alonso,New York Mets,1B,78
42,Taylor Ward,Los Angeles Angels,LF,78
42,Bobby Witt Jr.,Kansas City Royals,SS,78
42,Ke'Bryan Hayes,Pittsburgh Pirates,3B,78
42,Eugenio Suárez,Arizona Diamondbacks,3B,78
42,Kyle Manzardo,Cleveland Guardians,1B,78
48,Shea Langeliers,Sacramento Athletics,C,77
48,Randy Arozarena,Seattle Mariners,LF,77
48,Matt Chapman,San Francisco Giants,3B,77
48,Austin Riley,Atlanta Braves,3B,77
48,Xander Bogaerts,San Diego Padres,2B,77
48,Mark Vientos,New York Mets,3B,77
48,Michael Busch,Chicago Cubs,1B,77
55,Luis Robert Jr.,Chicago White Sox,CF,76
55,Cody Bellinger,New York Yankees,CF,76
57,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,75
57,Spencer Torkelson,Detroit Tigers,1B,75
57,Cal Raleigh,Seattle Mariners,C,75
57,Manny Machado,San Diego Padres,3B,75
57,Bryce Harper,Philadelphia Phillies,1B,75
57,Rafael Devers,Boston Red Sox,3B,75
63,Josh Bell,Washington Nationals,1B,74
63,Spencer Steer,Cincinnati Reds,LF,74
63,Alec Bohm,Philadelphia Phillies,3B,74
63,Max Kepler,Philadelphia Phillies,RF,74
67,Trevor Larnach,Minnesota Twins,LF,73
67,Jarren Duran,Boston Red Sox,CF,73
67,Marcell Ozuna,Atlanta Braves,DH,73
70,Kerry Carpenter,Detroit Tigers,RF,72
70,Max Muncy,Los Angeles Dodgers,3B,72
70,Carlos Correa,Minnesota Twins,SS,72
70,Lenyn Sosa,Chicago White Sox,3B,72
70,Trey Sweeney,Detroit Tigers,SS,72
70,Sal Frelick,Milwaukee Brewers,RF,72
76,Wilmer Flores,San Francisco Giants,1B,71
76,Trea Turner,Philadelphia Phillies,SS,71
76,George Springer,Toronto Blue Jays,RF,71
76,Lawrence Butler,Sacramento Athletics,RF,71
76,Joey Ortiz,Milwaukee Brewers,3B,71
81,Ben Rice,New York Yankees,1B,70
81,Gavin Sheets,San Diego Padres,RF,70
81,Junior Caminero,Tampa Bay Rays,3B,70
81,Jung Hoo Lee,San Francisco Giants,CF,70
81,Matt McLain,Cincinnati Reds,SS,70
81,Jordan Walker,St. Louis Cardinals,RF,70
87,James Wood,Washington Nationals,LF,69
87,Kyle Tucker,Chicago Cubs,RF,69
87,Trevor Story,Boston Red Sox,2B,69
87,Andrew McCutchen,Pittsburgh Pirates,RF,69
87,Bryson Stott,Philadelphia Phillies,2B,69
87,Zach McKinstry,Detroit Tigers,RF,69
87,Ty France,Minnesota Twins,1B,69
87,Brandon Lowe,Tampa Bay Rays,2B,69
87,Jeremy Pena,Houston Astros,SS,69
87,Isaac Paredes,Houston Astros,3B,69
87,Miguel Vargas,Chicago White Sox,3B,69
98,Francisco Lindor,New York Mets,SS,68
98,Gavin Lux,Cincinnati Reds,LF,68
98,Jazz Chisholm Jr.,New York Yankees,2B,68
