Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,0.491
2,Will Smith,Los Angeles Dodgers,C,0.455
3,Freddie Freeman,Los Angeles Dodgers,1B,0.431
4,Marcell Ozuna,Atlanta Braves,DH,0.416
5,Rafael Devers,Boston Red Sox,3B,0.407
6,Shohei Ohtani,Los Angeles Dodgers,P,0.405
7,Geraldo Perdomo,Arizona Diamondbacks,SS,0.405
8,Rhys Hoskins,Milwaukee Brewers,1B,0.402
9,Pete Alonso,New York Mets,1B,0.400
10,Jonathan Aranda,Tampa Bay Rays,1B,0.396
11,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,0.393
12,Paul Goldschmidt,New York Yankees,1B,0.392
13,J.P. Crawford,Seattle Mariners,SS,0.390
14,Kyle Schwarber,Philadelphia Phillies,LF,0.390
15,Alex Bregman,Boston Red Sox,2B,0.388
16,Ryan O'Hearn,Baltimore Orioles,1B,0.385
17,Brendan Donovan,St. Louis Cardinals,2B,0.384
18,Kyle Stowers,Miami Marlins,LF,0.383
19,Jacob Wilson,Sacramento Athletics,SS,0.381
19,Bryce Harper,Philadelphia Phillies,1B,0.381
21,Manny Machado,San Diego Padres,3B,0.381
22,Kyle Tucker,Chicago Cubs,RF,0.381
23,James Wood,Washington Nationals,LF,0.380
24,Gavin Lux,Cincinnati Reds,LF,0.379
24,Mike Yastrzemski,San Francisco Giants,RF,0.379
26,Juan Soto,New York Mets,RF,0.379
27,Maikel Garcia,Kansas City Royals,3B,0.376
28,Isaac Paredes,Houston Astros,3B,0.376
29,Steven Kwan,Cleveland Guardians,LF,0.374
30,William Contreras,Milwaukee Brewers,C,0.373
31,Joey Bart,Pittsburgh Pirates,C,0.373
32,Fernando Tatis Jr.,San Diego Padres,RF,0.372
32,Brice Turang,Milwaukee Brewers,2B,0.372
34,Jake Meyers,Houston Astros,CF,0.372
35,Bobby Witt Jr.,Kansas City Royals,SS,0.372
36,Zach McKinstry,Detroit Tigers,RF,0.371
37,CJ Abrams,Washington Nationals,SS,0.371
38,George Springer,Toronto Blue Jays,RF,0.368
39,TJ Friedl,Cincinnati Reds,CF,0.366
40,Nolan Schanuel,Los Angeles Angels,1B,0.366
41,Gleyber Torres,Detroit Tigers,2B,0.365
42,Randy Arozarena,Seattle Mariners,LF,0.364
43,Heliot Ramos,San Francisco Giants,CF,0.361
44,Sal Frelick,Milwaukee Brewers,RF,0.360
45,Michael Busch,Chicago Cubs,1B,0.360
45,Cal Raleigh,Seattle Mariners,C,0.360
47,Josh H. Smith,Texas Rangers,3B,0.360
48,Trea Turner,Philadelphia Phillies,SS,0.359
49,Jose Ramirez,Cleveland Guardians,3B,0.359
50,Jeremy Pena,Houston Astros,SS,0.358
51,Josh Naylor,Arizona Diamondbacks,1B,0.358
52,Ian Happ,Chicago Cubs,LF,0.358
53,Lars Nootbaar,St. Louis Cardinals,RF,0.356
54,Masyn Winn,St. Louis Cardinals,SS,0.353
54,Oneil Cruz,Pittsburgh Pirates,CF,0.353
56,Ben Rice,New York Yankees,1B,0.352
57,Wilyer Abreu,Boston Red Sox,CF,0.351
58,Matt Olson,Atlanta Braves,1B,0.351
59,Francisco Lindor,New York Mets,SS,0.350
60,Corbin Carroll,Arizona Diamondbacks,RF,0.349
61,Victor Scott II,St. Louis Cardinals,CF,0.347
62,Mookie Betts,Los Angeles Dodgers,SS,0.347
63,Spencer Torkelson,Detroit Tigers,1B,0.345
64,Andrew McCutchen,Pittsburgh Pirates,RF,0.344
65,Jasson Dominguez,New York Yankees,LF,0.342
66,Bo Bichette,Toronto Blue Jays,SS,0.340
67,Wyatt Langford,Texas Rangers,LF,0.339
68,Hunter Goodman,Colorado Rockies,C,0.337
69,Xavier Edwards,Miami Marlins,SS,0.337
70,Riley Greene,Detroit Tigers,LF,0.337
71,Matt Chapman,San Francisco Giants,3B,0.337
72,Xander Bogaerts,San Diego Padres,2B,0.335
73,Gavin Sheets,San Diego Padres,RF,0.333
73,Austin Riley,Atlanta Braves,3B,0.333
73,Ryan McMahon,Colorado Rockies,3B,0.333
73,Nico Hoerner,Chicago Cubs,2B,0.333
73,Luis Arraez,San Diego Padres,1B,0.333
78,Jackson Holliday,Baltimore Orioles,SS,0.331
79,Trevor Larnach,Minnesota Twins,LF,0.330
80,Cedric Mullins,Baltimore Orioles,CF,0.330
80,Carlos Santana,Cleveland Guardians,1B,0.330
80,Cody Bellinger,New York Yankees,CF,0.330
83,Tyler Soderstrom,Sacramento Athletics,1B,0.329
84,Willson Contreras,St. Louis Cardinals,1B,0.328
85,Bryson Stott,Philadelphia Phillies,2B,0.328
86,Max Muncy,Los Angeles Dodgers,3B,0.328
87,Jonathan India,Kansas City Royals,2B,0.327
88,Wilmer Flores,San Francisco Giants,1B,0.326
89,Andy Pages,Los Angeles Dodgers,CF,0.326
90,Keibert Ruiz,Washington Nationals,C,0.326
91,Nick Castellanos,Philadelphia Phillies,RF,0.322
92,Anthony Volpe,New York Yankees,SS,0.321
93,Dansby Swanson,Chicago Cubs,SS,0.320
94,Josh Jung,Texas Rangers,3B,0.320
95,Shea Langeliers,Sacramento Athletics,C,0.320
96,Miguel Vargas,Chicago White Sox,3B,0.319
97,Pete Crow-Armstrong,Chicago Cubs,CF,0.319
98,Elly De La Cruz,Cincinnati Reds,SS,0.318
99,Ty France,Minnesota Twins,1B,0.317
100,Kerry Carpenter,Detroit Tigers,RF,0.316
