Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,1.253
2,Freddie Freeman,Los Angeles Dodgers,1B,1.103
3,Shohei Ohtani,Los Angeles Dodgers,P,1.074
4,Kyle Schwarber,Philadelphia Phillies,LF,0.973
5,Will Smith,Los Angeles Dodgers,C,0.963
6,Alex Bregman,Boston Red Sox,2B,0.954
7,Kyle Stowers,Miami Marlins,LF,0.947
8,Corbin Carroll,Arizona Diamondbacks,RF,0.946
9,Pete Alonso,New York Mets,1B,0.944
10,CJ Abrams,Washington Nationals,SS,0.941
11,Rafael Devers,Boston Red Sox,3B,0.931
12,Fernando Tatis Jr.,San Diego Padres,RF,0.927
13,Cal Raleigh,Seattle Mariners,C,0.918
14,James Wood,Washington Nationals,LF,0.917
15,Kyle Tucker,Chicago Cubs,RF,0.912
16,Ben Rice,New York Yankees,1B,0.904
17,Geraldo Perdomo,Arizona Diamondbacks,SS,0.899
18,Jonathan Aranda,Tampa Bay Rays,1B,0.896
19,Bobby Witt Jr.,Kansas City Royals,SS,0.890
20,Rhys Hoskins,Milwaukee Brewers,1B,0.885
21,Pete Crow-Armstrong,Chicago Cubs,CF,0.883
22,Paul Goldschmidt,New York Yankees,1B,0.878
23,Ryan O'Hearn,Baltimore Orioles,1B,0.877
23,Marcell Ozuna,Atlanta Braves,DH,0.877
25,Jose Ramirez,Cleveland Guardians,3B,0.877
26,Riley Greene,Detroit Tigers,LF,0.872
27,Wilyer Abreu,Boston Red Sox,CF,0.867
28,Spencer Torkelson,Detroit Tigers,1B,0.865
29,Jacob Wilson,Sacramento Athletics,SS,0.860
30,Maikel Garcia,Kansas City Royals,3B,0.859
31,Brendan Donovan,St. Louis Cardinals,2B,0.849
32,Heliot Ramos,San Francisco Giants,CF,0.847
33,Seiya Suzuki,Chicago Cubs,RF,0.843
34,Bryce Harper,Philadelphia Phillies,1B,0.837
35,Byron Buxton,Minnesota Twins,CF,0.834
36,Kerry Carpenter,Detroit Tigers,RF,0.834
37,Michael Busch,Chicago Cubs,1B,0.834
38,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,0.833
39,Wyatt Langford,Texas Rangers,LF,0.832
40,Manny Machado,San Diego Padres,3B,0.827
41,Isaac Paredes,Houston Astros,3B,0.824
42,Hunter Goodman,Colorado Rockies,C,0.820
43,Mike Yastrzemski,San Francisco Giants,RF,0.819
44,George Springer,Toronto Blue Jays,RF,0.818
45,Juan Soto,New York Mets,RF,0.815
46,Francisco Lindor,New York Mets,SS,0.811
47,Tyler Soderstrom,Sacramento Athletics,1B,0.810
48,Eugenio Suárez,Arizona Diamondbacks,3B,0.809
49,Matt Olson,Atlanta Braves,1B,0.808
49,Andy Pages,Los Angeles Dodgers,CF,0.808
51,Jake Meyers,Houston Astros,CF,0.808
52,Josh Jung,Texas Rangers,3B,0.807
53,Jeremy Pena,Houston Astros,SS,0.803
54,Steven Kwan,Cleveland Guardians,LF,0.802
54,Kyle Manzardo,Cleveland Guardians,1B,0.802
56,Gleyber Torres,Detroit Tigers,2B,0.800
57,Zach McKinstry,Detroit Tigers,RF,0.799
58,Josh Naylor,Arizona Diamondbacks,1B,0.797
59,Gavin Sheets,San Diego Padres,RF,0.797
60,Logan O'Hoppe,Los Angeles Angels,C,0.796
61,Cedric Mullins,Baltimore Orioles,CF,0.796
62,Gavin Lux,Cincinnati Reds,LF,0.791
63,Dansby Swanson,Chicago Cubs,SS,0.791
64,Mookie Betts,Los Angeles Dodgers,SS,0.784
65,Josh H. Smith,Texas Rangers,3B,0.783
66,Shea Langeliers,Sacramento Athletics,C,0.783
67,Cody Bellinger,New York Yankees,CF,0.783
68,Jackson Holliday,Baltimore Orioles,SS,0.780
69,Oneil Cruz,Pittsburgh Pirates,CF,0.778
70,Austin Riley,Atlanta Braves,3B,0.778
71,Jung Hoo Lee,San Francisco Giants,CF,0.776
72,Masyn Winn,St. Louis Cardinals,SS,0.775
73,Wilmer Flores,San Francisco Giants,1B,0.773
74,J.P. Crawford,Seattle Mariners,SS,0.773
75,Sal Frelick,Milwaukee Brewers,RF,0.770
76,Lars Nootbaar,St. Louis Cardinals,RF,0.769
77,Nolan Schanuel,Los Angeles Angels,1B,0.769
78,Randy Arozarena,Seattle Mariners,LF,0.768
79,Bo Bichette,Toronto Blue Jays,SS,0.767
80,TJ Friedl,Cincinnati Reds,CF,0.766
81,Trea Turner,Philadelphia Phillies,SS,0.765
82,Jasson Dominguez,New York Yankees,LF,0.763
83,Brice Turang,Milwaukee Brewers,2B,0.762
84,Gunnar Henderson,Baltimore Orioles,3B,0.757
85,Brent Rooker,Sacramento Athletics,LF,0.749
86,Trevor Larnach,Minnesota Twins,LF,0.749
87,Luis Arraez,San Diego Padres,1B,0.747
88,Anthony Volpe,New York Yankees,SS,0.745
89,William Contreras,Milwaukee Brewers,C,0.740
90,Matt Chapman,San Francisco Giants,3B,0.734
91,Nick Castellanos,Philadelphia Phillies,RF,0.732
92,Ian Happ,Chicago Cubs,LF,0.731
93,Jarren Duran,Boston Red Sox,CF,0.730
94,Victor Scott II,St. Louis Cardinals,CF,0.728
95,Elly De La Cruz,Cincinnati Reds,SS,0.728
96,Austin Wells,New York Yankees,C,0.726
97,Miguel Vargas,Chicago White Sox,3B,0.726
98,Willson Contreras,St. Louis Cardinals,1B,0.726
99,Bryson Stott,Philadelphia Phillies,2B,0.719
100,Taylor Ward,Los Angeles Angels,LF,0.717
