Rank,Player,Team,Pos,Value
1,Brandon Nimmo,New York Mets,LF,34
1,Anthony Volpe,New York Yankees,SS,34
3,Nick Castellanos,Philadelphia Phillies,RF,30
4,Wilyer Abreu,Boston Red Sox,CF,29
5,Kristian Campbell,Boston Red Sox,2B,28
6,Elly De La Cruz,Cincinnati Reds,SS,26
6,Vinnie Pasquantino,Kansas City Royals,1B,26
6,Alex Bregman,Boston Red Sox,2B,26
6,Kyle Manzardo,Cleveland Guardians,1B,26
6,Julio Rodriguez,Seattle Mariners,CF,26
11,Pete Crow-Armstrong,Chicago Cubs,CF,25
12,George Springer,Toronto Blue Jays,RF,24
12,Lawrence Butler,Sacramento Athletics,RF,24
12,Bryan Reynolds,Pittsburgh Pirates,LF,24
12,Yainer Diaz,Houston Astros,C,24
12,Ozzie Albies,Atlanta Braves,2B,24
17,Dansby Swanson,Chicago Cubs,SS,23
17,Kyle Stowers,Miami Marlins,LF,23
17,Tyler Soderstrom,Sacramento Athletics,1B,23
17,Eric Wagaman,Miami Marlins,3B,23
17,Michael Busch,Chicago Cubs,1B,23
17,Rhys Hoskins,Milwaukee Brewers,1B,23
17,Austin Riley,Atlanta Braves,3B,23
17,Shea Langeliers,Sacramento Athletics,C,23
17,Salvador Perez,Kansas City Royals,C,23
17,Andrew Vaughn,Chicago White Sox,1B,23
27,Lars Nootbaar,St. Louis Cardinals,RF,22
27,Dylan Crews,Washington Nationals,RF,22
27,Ben Rice,New York Yankees,1B,22
27,Joey Ortiz,Milwaukee Brewers,3B,22
27,Max Kepler,Philadelphia Phillies,RF,22
27,Alejandro Kirk,Toronto Blue Jays,C,22
27,Josh Naylor,Arizona Diamondbacks,1B,22
27,Christian Walker,Houston Astros,1B,22
27,Taylor Ward,Los Angeles Angels,LF,22
36,Spencer Torkelson,Detroit Tigers,1B,21
36,Mark Vientos,New York Mets,3B,21
36,Ty France,Minnesota Twins,1B,21
36,Willson Contreras,St. Louis Cardinals,1B,21
36,Ke'Bryan Hayes,Pittsburgh Pirates,3B,21
41,Seiya Suzuki,Chicago Cubs,RF,20
41,Trea Turner,Philadelphia Phillies,SS,20
41,Corbin Carroll,Arizona Diamondbacks,RF,20
41,Nico Hoerner,Chicago Cubs,2B,20
41,Michael Massey,Kansas City Royals,2B,20
41,Bo Bichette,Toronto Blue Jays,SS,20
41,Lenyn Sosa,Chicago White Sox,3B,20
41,Brandon Lowe,Tampa Bay Rays,2B,20
41,Trey Sweeney,Detroit Tigers,SS,20
41,Alec Burleson,St. Louis Cardinals,1B,20
41,Kyle Schwarber,Philadelphia Phillies,LF,20
52,Elias Diaz,San Diego Padres,C,19
52,Spencer Steer,Cincinnati Reds,LF,19
52,Nathaniel Lowe,Washington Nationals,1B,19
52,Ian Happ,Chicago Cubs,LF,19
52,Joc Pederson,Texas Rangers,DH,19
52,Jazz Chisholm Jr.,New York Yankees,2B,19
52,Riley Greene,Detroit Tigers,LF,19
52,Rafael Devers,Boston Red Sox,3B,19
52,Jackson Chourio,Milwaukee Brewers,LF,19
52,Andres Gimenez,Toronto Blue Jays,2B,19
52,LaMonte Wade Jr.,San Francisco Giants,1B,19
52,Bryson Stott,Philadelphia Phillies,2B,19
52,Matt Olson,Atlanta Braves,1B,19
52,Nick Allen,Atlanta Braves,SS,19
66,Xander Bogaerts,San Diego Padres,2B,18
66,Masyn Winn,St. Louis Cardinals,SS,18
66,Jake Meyers,Houston Astros,CF,18
66,Luis Arraez,San Diego Padres,1B,18
66,Yandy Diaz,Tampa Bay Rays,1B,18
66,Michael Harris II,Atlanta Braves,LF,18
66,Luisangel Acuna,New York Mets,SS,18
66,Jo Adell,Los Angeles Angels,RF,18
66,Josh Bell,Washington Nationals,1B,18
66,Isaac Paredes,Houston Astros,3B,18
66,Trevor Story,Boston Red Sox,2B,18
77,Ryan McMahon,Colorado Rockies,3B,17
77,Geraldo Perdomo,Arizona Diamondbacks,SS,17
77,Nick Kurtz,Sacramento Athletics,1B,17
77,Michael Conforto,Los Angeles Dodgers,LF,17
77,Christian Yelich,Milwaukee Brewers,LF,17
77,Mike Yastrzemski,San Francisco Giants,RF,17
77,Nolan Arenado,St. Louis Cardinals,3B,17
77,Francisco Lindor,New York Mets,SS,17
77,Marcus Semien,Texas Rangers,2B,17
77,Adley Rutschman,Baltimore Orioles,C,17
77,Jasson Dominguez,New York Yankees,LF,17
77,Ernie Clement,Toronto Blue Jays,3B,17
77,Matt Chapman,San Francisco Giants,3B,17
90,Bobby Witt Jr.,Kansas City Royals,SS,16
90,Brent Rooker,Sacramento Athletics,LF,16
90,Santiago Espinal,Cincinnati Reds,2B,16
90,J.P. Crawford,Seattle Mariners,SS,16
90,Eugenio Suárez,Arizona Diamondbacks,3B,16
90,Mitch Garver,Seattle Mariners,C,16
90,Nolan Schanuel,Los Angeles Angels,1B,16
90,Alec Bohm,Philadelphia Phillies,3B,16
90,Sal Frelick,Milwaukee Brewers,RF,16
90,Kameron Misner,Tampa Bay Rays,CF,16
90,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,16
