Rank,Player,Team,Pos,Value
1,Shohei Ohtani,Los Angeles Dodgers,P,52
2,Aaron Judge,New York Yankees,CF,45
3,Corbin Carroll,Arizona Diamondbacks,RF,40
4,Mookie Betts,Los Angeles Dodgers,SS,39
5,Pete Crow-Armstrong,Chicago Cubs,CF,38
6,Kyle Tucker,Chicago Cubs,RF,37
6,Fernando Tatis Jr.,San Diego Padres,RF,37
8,Brice Turang,Milwaukee Brewers,2B,35
8,Kyle Schwarber,Philadelphia Phillies,LF,35
8,Dansby Swanson,Chicago Cubs,SS,35
11,Juan Soto,New York Mets,RF,33
11,Byron Buxton,Minnesota Twins,CF,33
11,Heliot Ramos,San Francisco Giants,CF,33
14,Manny Machado,San Diego Padres,3B,32
14,Spencer Torkelson,Detroit Tigers,1B,32
14,Alex Bregman,Boston Red Sox,2B,32
14,Elly De La Cruz,Cincinnati Reds,SS,32
18,Rafael Devers,Boston Red Sox,3B,31
18,Cal Raleigh,Seattle Mariners,C,31
18,Lars Nootbaar,St. Louis Cardinals,RF,31
18,Julio Rodriguez,Seattle Mariners,CF,31
18,Trea Turner,Philadelphia Phillies,SS,31
18,Paul Goldschmidt,New York Yankees,1B,31
24,Eugenio Suárez,Arizona Diamondbacks,3B,30
24,Ian Happ,Chicago Cubs,LF,30
24,Jung Hoo Lee,San Francisco Giants,CF,30
24,Nico Hoerner,Chicago Cubs,2B,30
24,James Wood,Washington Nationals,LF,30
29,Willy Adames,San Francisco Giants,SS,29
29,Francisco Lindor,New York Mets,SS,29
29,Brent Rooker,Sacramento Athletics,LF,29
32,Bobby Witt Jr.,Kansas City Royals,SS,28
32,Tyler Soderstrom,Sacramento Athletics,1B,28
32,Pete Alonso,New York Mets,1B,28
32,Kerry Carpenter,Detroit Tigers,RF,28
32,Freddie Freeman,Los Angeles Dodgers,1B,28
37,Bryce Harper,Philadelphia Phillies,1B,27
37,Seiya Suzuki,Chicago Cubs,RF,27
37,Masyn Winn,St. Louis Cardinals,SS,27
37,Brendan Donovan,St. Louis Cardinals,2B,27
37,Riley Greene,Detroit Tigers,LF,27
37,Matt Olson,Atlanta Braves,1B,27
37,William Contreras,Milwaukee Brewers,C,27
37,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,27
37,Trevor Larnach,Minnesota Twins,LF,27
37,Zach McKinstry,Detroit Tigers,RF,27
37,Ben Rice,New York Yankees,1B,27
48,Jarren Duran,Boston Red Sox,CF,26
48,Ceddanne Rafaela,Boston Red Sox,CF,26
48,TJ Friedl,Cincinnati Reds,CF,26
48,JJ Bleday,Sacramento Athletics,CF,26
48,Jacob Wilson,Sacramento Athletics,SS,26
48,Steven Kwan,Cleveland Guardians,LF,26
54,Nolan Schanuel,Los Angeles Angels,1B,25
54,Bryson Stott,Philadelphia Phillies,2B,25
54,Jordan Beck,Colorado Rockies,LF,25
54,Trent Grisham,New York Yankees,CF,25
54,Jackson Chourio,Milwaukee Brewers,LF,25
54,Geraldo Perdomo,Arizona Diamondbacks,SS,25
54,Trey Sweeney,Detroit Tigers,SS,25
54,Ozzie Albies,Atlanta Braves,2B,25
54,Matt Chapman,San Francisco Giants,3B,25
54,Cody Bellinger,New York Yankees,CF,25
64,Oneil Cruz,Pittsburgh Pirates,CF,24
64,Hunter Goodman,Colorado Rockies,C,24
64,Josh Naylor,Arizona Diamondbacks,1B,24
64,Willson Contreras,St. Louis Cardinals,1B,24
64,Jose Ramirez,Cleveland Guardians,3B,24
64,Taylor Ward,Los Angeles Angels,LF,24
64,Wilyer Abreu,Boston Red Sox,CF,24
64,CJ Abrams,Washington Nationals,SS,24
64,Jasson Dominguez,New York Yankees,LF,24
64,Victor Scott II,St. Louis Cardinals,CF,24
64,Dylan Crews,Washington Nationals,RF,24
75,Austin Riley,Atlanta Braves,3B,23
75,Cedric Mullins,Baltimore Orioles,CF,23
75,Anthony Volpe,New York Yankees,SS,23
75,Jeremy Pena,Houston Astros,SS,23
75,Andy Pages,Los Angeles Dodgers,CF,23
75,Isaac Paredes,Houston Astros,3B,23
75,Kyle Stowers,Miami Marlins,LF,23
75,Matt McLain,Cincinnati Reds,SS,23
75,Zach Neto,Los Angeles Angels,SS,23
75,Wilmer Flores,San Francisco Giants,1B,23
75,Michael Busch,Chicago Cubs,1B,23
86,Eli White,Atlanta Braves,CF,22
86,Mike Yastrzemski,San Francisco Giants,RF,22
86,Marcell Ozuna,Atlanta Braves,DH,22
86,Nolan Arenado,St. Louis Cardinals,3B,22
86,Spencer Steer,Cincinnati Reds,LF,22
86,Lawrence Butler,Sacramento Athletics,RF,22
86,Jake Meyers,Houston Astros,CF,22
86,Colt Keith,Detroit Tigers,2B,22
86,Nick Castellanos,Philadelphia Phillies,RF,22
86,Teoscar Hernandez,Los Angeles Dodgers,LF,22
86,Gabriel Moreno,Arizona Diamondbacks,C,22
86,Pavin Smith,Arizona Diamondbacks,1B,22
86,George Springer,Toronto Blue Jays,RF,22
99,Carson Kelly,Chicago Cubs,C,21
99,Randy Arozarena,Seattle Mariners,LF,21
