Rank,Player,Team,Pos,Value
1,Jacob Wilson,Sacramento Athletics,SS,47
2,Trea Turner,Philadelphia Phillies,SS,45
3,Paul Goldschmidt,New York Yankees,1B,44
4,Steven Kwan,Cleveland Guardians,LF,43
4,Brice Turang,Milwaukee Brewers,2B,43
6,Brendan Donovan,St. Louis Cardinals,2B,42
6,Aaron Judge,New York Yankees,CF,42
8,Jeremy Pena,Houston Astros,SS,41
8,Xavier Edwards,Miami Marlins,SS,41
10,Nico Hoerner,Chicago Cubs,2B,40
10,Austin Riley,Atlanta Braves,3B,40
12,Bo Bichette,Toronto Blue Jays,SS,39
13,Francisco Lindor,New York Mets,SS,37
13,Luis Arraez,San Diego Padres,1B,37
15,TJ Friedl,Cincinnati Reds,CF,36
15,Alec Bohm,Philadelphia Phillies,3B,36
15,Nick Castellanos,Philadelphia Phillies,RF,36
15,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,36
15,Ke'Bryan Hayes,Pittsburgh Pirates,3B,36
15,Josh Naylor,Arizona Diamondbacks,1B,36
15,Jarren Duran,Boston Red Sox,CF,36
22,Trevor Story,Boston Red Sox,2B,35
22,Maikel Garcia,Kansas City Royals,3B,35
22,Manny Machado,San Diego Padres,3B,35
22,Keibert Ruiz,Washington Nationals,C,35
26,Fernando Tatis Jr.,San Diego Padres,RF,34
26,Heliot Ramos,San Francisco Giants,CF,34
26,J.P. Crawford,Seattle Mariners,SS,34
29,Sal Frelick,Milwaukee Brewers,RF,33
29,Jose Altuve,Houston Astros,LF,33
29,Bryson Stott,Philadelphia Phillies,2B,33
32,Elly De La Cruz,Cincinnati Reds,SS,32
32,Alejandro Kirk,Toronto Blue Jays,C,32
32,Ozzie Albies,Atlanta Braves,2B,32
32,Wilmer Flores,San Francisco Giants,1B,32
32,Jake Meyers,Houston Astros,CF,32
32,Mookie Betts,Los Angeles Dodgers,SS,32
32,Bobby Witt Jr.,Kansas City Royals,SS,32
32,Ian Happ,Chicago Cubs,LF,32
32,Lenyn Sosa,Chicago White Sox,3B,32
32,Geraldo Perdomo,Arizona Diamondbacks,SS,32
42,Tyler Soderstrom,Sacramento Athletics,1B,31
42,Isaac Paredes,Houston Astros,3B,31
42,Riley Greene,Detroit Tigers,LF,31
42,Kerry Carpenter,Detroit Tigers,RF,31
42,William Contreras,Milwaukee Brewers,C,31
42,Nolan Schanuel,Los Angeles Angels,1B,31
42,Dansby Swanson,Chicago Cubs,SS,31
42,Josh H. Smith,Texas Rangers,3B,31
42,Ty France,Minnesota Twins,1B,31
42,Lars Nootbaar,St. Louis Cardinals,RF,31
42,Jung Hoo Lee,San Francisco Giants,CF,31
42,Miguel Andujar,Sacramento Athletics,LF,31
42,Kyle Stowers,Miami Marlins,LF,31
55,Willson Contreras,St. Louis Cardinals,1B,30
55,Alex Bregman,Boston Red Sox,2B,30
55,Jose Ramirez,Cleveland Guardians,3B,30
55,Santiago Espinal,Cincinnati Reds,2B,30
55,Isiah Kiner-Falefa,Pittsburgh Pirates,2B,30
55,James Wood,Washington Nationals,LF,30
55,Gavin Lux,Cincinnati Reds,LF,30
55,Hunter Goodman,Colorado Rockies,C,30
55,Zach McKinstry,Detroit Tigers,RF,30
55,Yandy Diaz,Tampa Bay Rays,1B,30
55,Andy Pages,Los Angeles Dodgers,CF,30
55,Bryce Harper,Philadelphia Phillies,1B,30
55,Vinnie Pasquantino,Kansas City Royals,1B,30
55,Trey Sweeney,Detroit Tigers,SS,30
69,Nick Allen,Atlanta Braves,SS,29
69,Julio Rodriguez,Seattle Mariners,CF,29
69,Will Smith,Los Angeles Dodgers,C,29
69,Victor Scott II,St. Louis Cardinals,CF,29
69,Brent Rooker,Sacramento Athletics,LF,29
69,Trevor Larnach,Minnesota Twins,LF,29
69,Jonathan India,Kansas City Royals,2B,29
69,Jonathan Aranda,Tampa Bay Rays,1B,29
69,Shohei Ohtani,Los Angeles Dodgers,P,29
69,Freddie Freeman,Los Angeles Dodgers,1B,29
69,Rafael Devers,Boston Red Sox,3B,29
80,Josh Jung,Texas Rangers,3B,28
80,Bryan Reynolds,Pittsburgh Pirates,LF,28
80,Xander Bogaerts,San Diego Padres,2B,28
80,Pete Crow-Armstrong,Chicago Cubs,CF,28
80,Gleyber Torres,Detroit Tigers,2B,28
80,Mike Yastrzemski,San Francisco Giants,RF,28
80,Jackson Holliday,Baltimore Orioles,SS,28
80,Rhys Hoskins,Milwaukee Brewers,1B,28
88,Michael Harris II,Atlanta Braves,LF,27
88,Kyle Tucker,Chicago Cubs,RF,27
88,Pete Alonso,New York Mets,1B,27
88,Carlos Santana,Cleveland Guardians,1B,27
88,Corbin Carroll,Arizona Diamondbacks,RF,27
88,Jackson Chourio,Milwaukee Brewers,LF,27
88,Brandon Lowe,Tampa Bay Rays,2B,27
88,Marcell Ozuna,Atlanta Braves,DH,27
88,Nolan Arenado,St. Louis Cardinals,3B,27
88,Joey Bart,Pittsburgh Pirates,C,27
98,Willy Adames,San Francisco Giants,SS,26
98,CJ Abrams,Washington Nationals,SS,26
98,Marcus Semien,Texas Rangers,2B,26
