Rank,Player,Team,Pos,Value
1,MacKenzie Gore,Washington Nationals,P,84
2,Zack Wheeler,Philadelphia Phillies,P,80
3,Tarik Skubal,Detroit Tigers,P,79
4,Garrett Crochet,Boston Red Sox,P,73
5,Cole Ragans,Kansas City Royals,P,72
5,Chris Sale,Atlanta Braves,P,72
5,Carlos Rodon,New York Yankees,P,72
8,Logan Webb,San Francisco Giants,P,69
9,Yoshinobu Yamamoto,Los Angeles Dodgers,P,68
10,Hunter Brown,Houston Astros,P,67
10,Jesus Luzardo,Philadelphia Phillies,P,67
12,Nathan Eovaldi,Texas Rangers,P,65
13,Michael King,San Diego Padres,P,64
13,Dylan Cease,San Diego Padres,P,64
15,Joe Ryan,Minnesota Twins,P,63
16,Paul Skenes,Pittsburgh Pirates,P,62
16,Robbie Ray,San Francisco Giants,P,62
18,Sonny Gray,St. Louis Cardinals,P,61
18,Kris Bubic,Kansas City Royals,P,61
18,Hunter Greene,Cincinnati Reds,P,61
18,Chris Bassitt,Toronto Blue Jays,P,61
22,Max Fried,New York Yankees,P,60
22,Will Warren,New York Yankees,P,60
24,Framber Valdez,Houston Astros,P,59
24,Zac Gallen,Arizona Diamondbacks,P,59
24,Max Meyer,Miami Marlins,P,59
24,Cristopher Sanchez,Philadelphia Phillies,P,59
28,Ben Brown,Chicago Cubs,P,58
29,Freddy Peralta,Milwaukee Brewers,P,57
30,Luis Ortiz,Cleveland Guardians,P,56
30,Tylor Megill,New York Mets,P,56
30,Jack Flaherty,Detroit Tigers,P,56
30,Nick Pivetta,San Diego Padres,P,56
34,Bryan Woo,Seattle Mariners,P,55
35,Matthew Boyd,Chicago Cubs,P,53
35,Clay Holmes,New York Mets,P,53
35,Jose Berrios,Toronto Blue Jays,P,53
35,Jacob deGrom,Texas Rangers,P,53
39,Eduardo Rodriguez,Arizona Diamondbacks,P,52
39,Merrill Kelly,Arizona Diamondbacks,P,52
39,Aaron Nola,Philadelphia Phillies,P,52
42,Reese Olson,Detroit Tigers,P,51
42,Gavin Williams,Cleveland Guardians,P,51
44,Michael Lorenzen,Kansas City Royals,P,50
44,Yusei Kikuchi,Los Angeles Angels,P,50
46,Grant Holmes,Atlanta Braves,P,49
46,Nick Lodolo,Cincinnati Reds,P,49
46,Pablo Lopez,Minnesota Twins,P,49
46,Spencer Schwellenbach,Atlanta Braves,P,49
50,Mitch Keller,Pittsburgh Pirates,P,48
50,Shane Baz,Tampa Bay Rays,P,48
50,Ronel Blanco,Houston Astros,P,48
53,Kodai Senga,New York Mets,P,47
53,Ryan Pepiot,Tampa Bay Rays,P,47
53,Matthew Liberatore,St. Louis Cardinals,P,47
53,Landen Roupp,San Francisco Giants,P,47
53,David Peterson,New York Mets,P,47
58,Kevin Gausman,Toronto Blue Jays,P,46
58,Jose Soriano,Los Angeles Angels,P,46
58,Griffin Canning,New York Mets,P,46
61,Luis Severino,Sacramento Athletics,P,45
62,Logan Gilbert,Seattle Mariners,P,44
62,Luis Castillo,Seattle Mariners,P,44
62,Brandon Pfaadt,Arizona Diamondbacks,P,44
62,Jameson Taillon,Chicago Cubs,P,44
66,Michael Wacha,Kansas City Royals,P,43
66,Nick Martinez,Cincinnati Reds,P,43
66,Brady Singer,Cincinnati Reds,P,43
66,Andrew Abbott,Cincinnati Reds,P,43
66,Corbin Burnes,Arizona Diamondbacks,P,43
66,Tyler Anderson,Los Angeles Angels,P,43
66,Shane Smith,Chicago White Sox,P,43
73,Jonathan Cannon,Chicago White Sox,P,42
73,Seth Lugo,Kansas City Royals,P,42
75,Sean Newcomb,Boston Red Sox,P,41
75,Kyle Freeland,Colorado Rockies,P,41
75,Jordan Hicks,San Francisco Giants,P,41
75,Taj Bradley,Tampa Bay Rays,P,41
75,Jeffrey Springs,Sacramento Athletics,P,41
75,Justin Verlander,San Francisco Giants,P,41
75,Dustin May,Los Angeles Dodgers,P,41
82,Charlie Morton,Baltimore Orioles,P,40
82,Dean Kremer,Baltimore Orioles,P,40
82,AJ Smith-Shawver,Atlanta Braves,P,40
82,Tyler Mahle,Texas Rangers,P,40
82,Drew Rasmussen,Tampa Bay Rays,P,40
82,Jake Irvin,Washington Nationals,P,40
82,Bailey Ober,Minnesota Twins,P,40
89,Bailey Falter,Pittsburgh Pirates,P,39
90,Cade Povich,Baltimore Orioles,P,38
90,Chase Dollander,Colorado Rockies,P,38
90,JP Sears,Sacramento Athletics,P,38
90,Andrew Heaney,Pittsburgh Pirates,P,38
90,Zack Littell,Tampa Bay Rays,P,38
90,Trevor Williams,Washington Nationals,P,38
90,Chad Patrick,Milwaukee Brewers,P,38
97,Bowden Francis,Toronto Blue Jays,P,36
97,Mitchell Parker,Washington Nationals,P,36
97,Davis Martin,Chicago White Sox,P,36
100,Fernando Cruz,New York Yankees,P,35
