Rank,Player,Team,Pos,Value
1,Corbin Carroll,Arizona Diamondbacks,RF,6
1,Jarren Duran,Boston Red Sox,CF,6
3,Jordan Beck,Colorado Rockies,LF,4
3,Shohei Ohtani,Los Angeles Dodgers,P,4
3,Kyle Tucker,Chicago Cubs,RF,4
3,Bobby Witt Jr.,Kansas City Royals,SS,4
3,Mickey Moniak,Colorado Rockies,CF,4
8,Drew Waters,Kansas City Royals,RF,3
8,Tyrone Taylor,New York Mets,RF,3
8,Byron Buxton,Minnesota Twins,CF,3
8,Zach McKinstry,Detroit Tigers,RF,3
8,Pete Crow-Armstrong,Chicago Cubs,CF,3
8,Eli White,Atlanta Braves,CF,3
8,Kyle Isbel,Kansas City Royals,CF,3
8,Sal Frelick,Milwaukee Brewers,RF,3
16,Gunnar Henderson,Baltimore Orioles,3B,2
16,Ceddanne Rafaela,Boston Red Sox,CF,2
16,Ezequiel Tovar,Colorado Rockies,SS,2
16,Luis Arraez,San Diego Padres,1B,2
16,Jung Hoo Lee,San Francisco Giants,CF,2
16,Jackson Holliday,Baltimore Orioles,SS,2
16,Bryson Stott,Philadelphia Phillies,2B,2
16,Matt Wallner,Minnesota Twins,RF,2
16,Seiya Suzuki,Chicago Cubs,RF,2
16,Trea Turner,Philadelphia Phillies,SS,2
16,Kyle Manzardo,Cleveland Guardians,1B,2
16,Enmanuel Valdez,Pittsburgh Pirates,2B,2
16,Max Schuemann,Sacramento Athletics,SS,2
16,Ke'Bryan Hayes,Pittsburgh Pirates,3B,2
16,Kyle Stowers,Miami Marlins,LF,2
16,Jesse Winker,New York Mets,LF,2
16,Aaron Judge,New York Yankees,CF,2
16,TJ Friedl,Cincinnati Reds,CF,2
16,Michael Harris II,Atlanta Braves,LF,2
16,LaMonte Wade Jr.,San Francisco Giants,1B,2
16,Alek Thomas,Arizona Diamondbacks,CF,2
16,CJ Abrams,Washington Nationals,SS,2
16,Jeff McNeil,New York Mets,2B,2
16,Julio Rodriguez,Seattle Mariners,CF,2
40,Jake Rogers,Detroit Tigers,C,1
40,Kerry Carpenter,Detroit Tigers,RF,1
40,Eric Wagaman,Miami Marlins,3B,1
40,Kameron Misner,Tampa Bay Rays,CF,1
40,Nolan Schanuel,Los Angeles Angels,1B,1
40,Brent Rooker,Sacramento Athletics,LF,1
40,Tyler O'Neill,Baltimore Orioles,RF,1
40,Yainer Diaz,Houston Astros,C,1
40,Willy Adames,San Francisco Giants,SS,1
40,Jonny DeLuca,Tampa Bay Rays,RF,1
40,Johan Rojas,Philadelphia Phillies,CF,1
40,Hunter Goodman,Colorado Rockies,C,1
40,Max Muncy,Los Angeles Dodgers,3B,1
40,Fernando Tatis Jr.,San Diego Padres,RF,1
40,Tommy Edman,Los Angeles Dodgers,2B,1
40,Jake Meyers,Houston Astros,CF,1
40,Trevor Larnach,Minnesota Twins,LF,1
40,Brett Baty,New York Mets,3B,1
40,Connor Norby,Miami Marlins,3B,1
40,J.T. Realmuto,Philadelphia Phillies,C,1
40,Pete Alonso,New York Mets,1B,1
40,Patrick Bailey,San Francisco Giants,C,1
40,Josh H. Smith,Texas Rangers,3B,1
40,Luis Torrens,New York Mets,C,1
40,Tyler Wade,San Diego Padres,CF,1
40,Nico Hoerner,Chicago Cubs,2B,1
40,Dillon Dingler,Detroit Tigers,C,1
40,Christian Walker,Houston Astros,1B,1
40,Gavin Lux,Cincinnati Reds,LF,1
40,Jackson Chourio,Milwaukee Brewers,LF,1
40,Josh Bell,Washington Nationals,1B,1
40,Adley Rutschman,Baltimore Orioles,C,1
40,Liam Hicks,Miami Marlins,C,1
40,Josh Jung,Texas Rangers,3B,1
40,Stuart Fairchild,Atlanta Braves,CF,1
40,Michael A. Taylor,Chicago White Sox,CF,1
40,Jackson Merrill,San Diego Padres,CF,1
40,Tyler Fitzgerald,San Francisco Giants,SS,1
40,Jose Caballero,Tampa Bay Rays,RF,1
40,Vinnie Pasquantino,Kansas City Royals,1B,1
40,Matt Gorski,Pittsburgh Pirates,CF,1
40,Leody Taveras,Seattle Mariners,CF,1
40,Trey Sweeney,Detroit Tigers,SS,1
40,Isiah Kiner-Falefa,Pittsburgh Pirates,2B,1
40,Cam Smith,Houston Astros,RF,1
40,Austin Wells,New York Yankees,C,1
40,Mookie Betts,Los Angeles Dodgers,SS,1
40,Noelvi Marte,Cincinnati Reds,3B,1
40,Kyle Schwarber,Philadelphia Phillies,LF,1
40,Ryan Mountcastle,Baltimore Orioles,1B,1
40,Andy Pages,Los Angeles Dodgers,CF,1
40,Angel Martinez,Cleveland Guardians,CF,1
40,Jose Tena,Washington Nationals,3B,1
40,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,1
40,Ryan McMahon,Colorado Rockies,3B,1
40,Freddie Freeman,Los Angeles Dodgers,1B,1
40,Dansby Swanson,Chicago Cubs,SS,1
40,Cody Bellinger,New York Yankees,CF,1
40,George Springer,Toronto Blue Jays,RF,1
40,Garrett Mitchell,Milwaukee Brewers,CF,1
40,Trent Grisham,New York Yankees,CF,1
