Rank,Player,Team,Pos,Value
1,Seiya Suzuki,Chicago Cubs,RF,21
2,Jarren Duran,Boston Red Sox,CF,19
3,Tyler Soderstrom,Sacramento Athletics,1B,18
3,Teoscar Hernandez,Los Angeles Dodgers,LF,18
5,Isaac Paredes,Houston Astros,3B,17
5,Wilmer Flores,San Francisco Giants,1B,17
7,Pete Crow-Armstrong,Chicago Cubs,CF,16
7,Spencer Torkelson,Detroit Tigers,1B,16
7,Miguel Vargas,Chicago White Sox,3B,16
7,Javier Baez,Detroit Tigers,CF,16
11,Kyle Stowers,Miami Marlins,LF,15
12,Rhys Hoskins,Milwaukee Brewers,1B,14
12,Bobby Witt Jr.,Kansas City Royals,SS,14
14,Cedric Mullins,Baltimore Orioles,CF,13
14,Jorge Polanco,Seattle Mariners,2B,13
14,Alex Bregman,Boston Red Sox,2B,13
14,Miguel Amaya,Chicago Cubs,C,13
14,Kerry Carpenter,Detroit Tigers,RF,13
14,Yainer Diaz,Houston Astros,C,13
14,Xander Bogaerts,San Diego Padres,2B,13
14,Vinnie Pasquantino,Kansas City Royals,1B,13
14,Pete Alonso,New York Mets,1B,13
14,Sean Murphy,Atlanta Braves,C,13
24,Eugenio Suárez,Arizona Diamondbacks,3B,12
24,Rafael Devers,Boston Red Sox,3B,12
24,Gavin Sheets,San Diego Padres,RF,12
24,Ben Rice,New York Yankees,1B,12
24,Lawrence Butler,Sacramento Athletics,RF,12
24,Kyle Schwarber,Philadelphia Phillies,LF,12
24,Fernando Tatis Jr.,San Diego Padres,RF,12
24,Freddie Freeman,Los Angeles Dodgers,1B,12
24,Randy Arozarena,Seattle Mariners,LF,12
24,Nathaniel Lowe,Washington Nationals,1B,12
34,Carlos Santana,Cleveland Guardians,1B,11
34,Manny Machado,San Diego Padres,3B,11
34,Jasson Dominguez,New York Yankees,LF,11
34,Austin Wells,New York Yankees,C,11
34,Geraldo Perdomo,Arizona Diamondbacks,SS,11
34,Rowdy Tellez,Seattle Mariners,1B,11
34,Elly De La Cruz,Cincinnati Reds,SS,11
34,Liam Hicks,Miami Marlins,C,11
34,George Springer,Toronto Blue Jays,RF,11
34,William Contreras,Milwaukee Brewers,C,11
34,Paul Goldschmidt,New York Yankees,1B,11
34,Noelvi Marte,Cincinnati Reds,3B,11
46,Gavin Lux,Cincinnati Reds,LF,10
46,Kyle Manzardo,Cleveland Guardians,1B,10
46,Carson Kelly,Chicago Cubs,C,10
46,Anthony Volpe,New York Yankees,SS,10
46,Bo Bichette,Toronto Blue Jays,SS,10
46,Andy Pages,Los Angeles Dodgers,CF,10
46,Austin Riley,Atlanta Braves,3B,10
46,Lars Nootbaar,St. Louis Cardinals,RF,10
46,Jo Adell,Los Angeles Angels,RF,10
46,Josh Naylor,Arizona Diamondbacks,1B,10
46,Keibert Ruiz,Washington Nationals,C,10
46,James Wood,Washington Nationals,LF,10
46,Salvador Perez,Kansas City Royals,C,10
46,Christian Walker,Houston Astros,1B,10
46,Jose Ramirez,Cleveland Guardians,3B,10
46,Matt Chapman,San Francisco Giants,3B,10
46,Michael Busch,Chicago Cubs,1B,10
46,Jackson Merrill,San Diego Padres,CF,10
64,Yandy Diaz,Tampa Bay Rays,1B,9
64,Jazz Chisholm Jr.,New York Yankees,2B,9
64,Josh Jung,Texas Rangers,3B,9
64,Colt Keith,Detroit Tigers,2B,9
64,Gio Urshela,Sacramento Athletics,3B,9
64,Corbin Carroll,Arizona Diamondbacks,RF,9
64,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,9
64,Max Muncy,Los Angeles Dodgers,3B,9
64,Jeremy Pena,Houston Astros,SS,9
64,Riley Greene,Detroit Tigers,LF,9
64,Taylor Ward,Los Angeles Angels,LF,9
64,Will Smith,Los Angeles Dodgers,C,9
64,Mookie Betts,Los Angeles Dodgers,SS,9
64,Brent Rooker,Sacramento Athletics,LF,9
64,Brett Baty,New York Mets,3B,9
64,Christian Yelich,Milwaukee Brewers,LF,9
80,Shohei Ohtani,Los Angeles Dodgers,P,8
80,Jacob Wilson,Sacramento Athletics,SS,8
80,Nico Hoerner,Chicago Cubs,2B,8
80,Bryce Harper,Philadelphia Phillies,1B,8
80,Marcell Ozuna,Atlanta Braves,DH,8
80,Bryson Stott,Philadelphia Phillies,2B,8
80,Carlos Narvaez,Boston Red Sox,C,8
80,Francisco Lindor,New York Mets,SS,8
80,Matt Mervis,Miami Marlins,1B,8
80,Willson Contreras,St. Louis Cardinals,1B,8
80,Kyle Farmer,Colorado Rockies,2B,8
80,Adolis Garcia,Texas Rangers,RF,8
80,Ryan Jeffers,Minnesota Twins,C,8
80,Kyle Tucker,Chicago Cubs,RF,8
80,Hunter Goodman,Colorado Rockies,C,8
80,Jordan Beck,Colorado Rockies,LF,8
80,Matt Olson,Atlanta Braves,1B,8
80,Alec Bohm,Philadelphia Phillies,3B,8
80,Nick Castellanos,Philadelphia Phillies,RF,8
80,Mickey Moniak,Colorado Rockies,CF,8
80,Alejandro Kirk,Toronto Blue Jays,C,8
