Rank,Player,Team,Pos,Value
1,Sean Burke,Chicago White Sox,P,27
1,Jose Soriano,Los Angeles Angels,P,27
1,Robbie Ray,San Francisco Giants,P,27
4,Randy Vasquez,San Diego Padres,P,26
4,Yusei Kikuchi,Los Angeles Angels,P,26
6,Jose Berrios,Toronto Blue Jays,P,25
6,Zac Gallen,Arizona Diamondbacks,P,25
6,Grant Holmes,Atlanta Braves,P,25
6,Mitchell Parker,Washington Nationals,P,25
6,Erick Fedde,St. Louis Cardinals,P,25
11,Carlos Rodon,New York Yankees,P,24
11,Charlie Morton,Baltimore Orioles,P,24
11,Gavin Williams,Cleveland Guardians,P,24
14,Luis Ortiz,Cleveland Guardians,P,23
14,Sandy Alcantara,Miami Marlins,P,23
16,Jack Kochanowicz,Los Angeles Angels,P,22
16,Jackson Jobe,Detroit Tigers,P,22
16,Tylor Megill,New York Mets,P,22
16,Kodai Senga,New York Mets,P,22
16,Quinn Priester,Milwaukee Brewers,P,22
16,Taj Bradley,Tampa Bay Rays,P,22
16,Roki Sasaki,Los Angeles Dodgers,P,22
16,Corbin Burnes,Arizona Diamondbacks,P,22
24,Garrett Crochet,Boston Red Sox,P,21
24,Jeffrey Springs,Sacramento Athletics,P,21
24,Justin Verlander,San Francisco Giants,P,21
24,Bryce Miller,Seattle Mariners,P,21
28,Noah Murdock,Kansas City Royals,P,20
28,Freddy Peralta,Milwaukee Brewers,P,20
28,Luis Severino,Sacramento Athletics,P,20
28,Logan Allen,Cleveland Guardians,P,20
28,Ronel Blanco,Houston Astros,P,20
28,Luis Castillo,Seattle Mariners,P,20
28,David Peterson,New York Mets,P,20
28,Clay Holmes,New York Mets,P,20
36,Reese Olson,Detroit Tigers,P,19
36,Mike Vasil,Chicago White Sox,P,19
36,Brayan Bello,Boston Red Sox,P,19
36,Framber Valdez,Houston Astros,P,19
36,Shane Baz,Tampa Bay Rays,P,19
36,Dylan Cease,San Diego Padres,P,19
36,Andrew Heaney,Pittsburgh Pirates,P,19
43,Ryan Pepiot,Tampa Bay Rays,P,18
43,Kris Bubic,Kansas City Royals,P,18
43,Osvaldo Bido,Sacramento Athletics,P,18
43,Brady Singer,Cincinnati Reds,P,18
43,Eduardo Rodriguez,Arizona Diamondbacks,P,18
43,Chase Dollander,Colorado Rockies,P,18
43,Tyler Mahle,Texas Rangers,P,18
43,Jesus Luzardo,Philadelphia Phillies,P,18
43,MacKenzie Gore,Washington Nationals,P,18
43,Will Warren,New York Yankees,P,18
43,Yoshinobu Yamamoto,Los Angeles Dodgers,P,18
43,Bailey Falter,Pittsburgh Pirates,P,18
55,Jonathan Cannon,Chicago White Sox,P,17
55,Tyler Anderson,Los Angeles Angels,P,17
55,Mitch Keller,Pittsburgh Pirates,P,17
55,AJ Smith-Shawver,Atlanta Braves,P,17
55,Clarke Schmidt,New York Yankees,P,17
55,Jordan Hicks,San Francisco Giants,P,17
55,Jake Irvin,Washington Nationals,P,17
55,Chris Paddack,Minnesota Twins,P,17
55,Tanner Houck,Boston Red Sox,P,17
55,Michael King,San Diego Padres,P,17
55,Griffin Canning,New York Mets,P,17
55,Cristopher Sanchez,Philadelphia Phillies,P,17
55,Tanner Bibee,Cleveland Guardians,P,17
55,Dustin May,Los Angeles Dodgers,P,17
69,Jack Leiter,Texas Rangers,P,16
69,Andre Pallante,St. Louis Cardinals,P,16
69,Paul Skenes,Pittsburgh Pirates,P,16
69,Kyle Hendricks,Los Angeles Angels,P,16
69,Michael Wacha,Kansas City Royals,P,16
69,Ben Brown,Chicago Cubs,P,16
69,Logan Webb,San Francisco Giants,P,16
69,Landen Roupp,San Francisco Giants,P,16
69,Michael Lorenzen,Kansas City Royals,P,16
69,Max Meyer,Miami Marlins,P,16
69,Aaron Nola,Philadelphia Phillies,P,16
69,German Marquez,Colorado Rockies,P,16
69,Cionel Perez,Baltimore Orioles,P,16
69,Shane Smith,Chicago White Sox,P,16
83,Miles Mikolas,St. Louis Cardinals,P,15
83,Nick Pivetta,San Diego Padres,P,15
83,Jack Flaherty,Detroit Tigers,P,15
83,Seth Lugo,Kansas City Royals,P,15
83,Lake Bachar,Miami Marlins,P,15
83,Tyler Kinley,Colorado Rockies,P,15
83,Cal Quantrill,Miami Marlins,P,15
83,Max Fried,New York Yankees,P,15
83,Patrick Corbin,Texas Rangers,P,15
83,Ben Lively,Cleveland Guardians,P,15
83,Dean Kremer,Baltimore Orioles,P,15
83,Andrew Abbott,Cincinnati Reds,P,15
83,Merrill Kelly,Arizona Diamondbacks,P,15
83,Chris Sale,Atlanta Braves,P,15
83,Chad Patrick,Milwaukee Brewers,P,15
98,Bryse Wilson,Chicago White Sox,P,14
98,Rafael Montero,Atlanta Braves,P,14
98,Scott Barlow,Cincinnati Reds,P,14
