Rank,Player,Team,Pos,Value
1,Bobby Witt Jr.,Kansas City Royals,SS,41
2,Aaron Judge,New York Yankees,CF,40
3,Brendan Donovan,St. Louis Cardinals,2B,37
3,Corbin Carroll,Arizona Diamondbacks,RF,37
5,Jacob Wilson,Sacramento Athletics,SS,36
5,Austin Riley,Atlanta Braves,3B,36
5,Jarren Duran,Boston Red Sox,CF,36
5,Jeremy Pena,Houston Astros,SS,36
5,Fernando Tatis Jr.,San Diego Padres,RF,36
5,Jung Hoo Lee,San Francisco Giants,CF,36
11,Shohei Ohtani,Los Angeles Dodgers,P,35
11,Heliot Ramos,San Francisco Giants,CF,35
11,Josh Naylor,Arizona Diamondbacks,1B,35
11,Steven Kwan,Cleveland Guardians,LF,35
11,Nick Castellanos,Philadelphia Phillies,RF,35
11,Geraldo Perdomo,Arizona Diamondbacks,SS,35
17,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,34
17,Francisco Lindor,New York Mets,SS,34
17,Nico Hoerner,Chicago Cubs,2B,34
17,Alex Bregman,Boston Red Sox,2B,34
17,Elly De La Cruz,Cincinnati Reds,SS,34
17,Matt Olson,Atlanta Braves,1B,34
17,James Wood,Washington Nationals,LF,34
17,Kyle Schwarber,Philadelphia Phillies,LF,34
17,Trea Turner,Philadelphia Phillies,SS,34
17,Hunter Goodman,Colorado Rockies,C,34
17,Pete Crow-Armstrong,Chicago Cubs,CF,34
17,Paul Goldschmidt,New York Yankees,1B,34
17,Manny Machado,San Diego Padres,3B,34
17,Pete Alonso,New York Mets,1B,34
17,Brice Turang,Milwaukee Brewers,2B,34
32,Tyler Soderstrom,Sacramento Athletics,1B,33
32,Alec Bohm,Philadelphia Phillies,3B,33
32,Bo Bichette,Toronto Blue Jays,SS,33
32,Maikel Garcia,Kansas City Royals,3B,33
32,Isaac Paredes,Houston Astros,3B,33
32,Bryce Harper,Philadelphia Phillies,1B,33
38,Sal Frelick,Milwaukee Brewers,RF,32
38,Ozzie Albies,Atlanta Braves,2B,32
38,Trevor Larnach,Minnesota Twins,LF,32
38,Cal Raleigh,Seattle Mariners,C,32
38,Keibert Ruiz,Washington Nationals,C,32
38,Dansby Swanson,Chicago Cubs,SS,32
38,J.P. Crawford,Seattle Mariners,SS,32
38,Juan Soto,New York Mets,RF,32
38,Jackson Chourio,Milwaukee Brewers,LF,32
38,Kyle Stowers,Miami Marlins,LF,32
48,Lawrence Butler,Sacramento Athletics,RF,31
48,Zach McKinstry,Detroit Tigers,RF,31
48,Jose Ramirez,Cleveland Guardians,3B,31
48,Ke'Bryan Hayes,Pittsburgh Pirates,3B,31
48,Xavier Edwards,Miami Marlins,SS,31
48,Julio Rodriguez,Seattle Mariners,CF,31
48,Brent Rooker,Sacramento Athletics,LF,31
48,Spencer Torkelson,Detroit Tigers,1B,31
48,Lars Nootbaar,St. Louis Cardinals,RF,31
48,Mark Vientos,New York Mets,3B,31
58,Willy Adames,San Francisco Giants,SS,30
58,Riley Greene,Detroit Tigers,LF,30
58,Willson Contreras,St. Louis Cardinals,1B,30
58,Kyle Tucker,Chicago Cubs,RF,30
58,Jose Altuve,Houston Astros,LF,30
58,TJ Friedl,Cincinnati Reds,CF,30
58,Nolan Schanuel,Los Angeles Angels,1B,30
58,Junior Caminero,Tampa Bay Rays,3B,30
58,Yandy Diaz,Tampa Bay Rays,1B,30
58,Vinnie Pasquantino,Kansas City Royals,1B,30
58,Rafael Devers,Boston Red Sox,3B,30
58,William Contreras,Milwaukee Brewers,C,30
58,Nathaniel Lowe,Washington Nationals,1B,30
71,Victor Scott II,St. Louis Cardinals,CF,29
71,Lenyn Sosa,Chicago White Sox,3B,29
71,Trevor Story,Boston Red Sox,2B,29
71,Jorge Soler,Los Angeles Angels,RF,29
71,Mookie Betts,Los Angeles Dodgers,SS,29
71,Freddie Freeman,Los Angeles Dodgers,1B,29
71,Bryson Stott,Philadelphia Phillies,2B,29
71,Cody Bellinger,New York Yankees,CF,29
71,Anthony Volpe,New York Yankees,SS,29
71,Andrew Vaughn,Chicago White Sox,1B,29
71,Rhys Hoskins,Milwaukee Brewers,1B,29
82,Michael Harris II,Atlanta Braves,LF,28
82,Gavin Lux,Cincinnati Reds,LF,28
82,Taylor Ward,Los Angeles Angels,LF,28
82,Wilmer Flores,San Francisco Giants,1B,28
82,Brandon Lowe,Tampa Bay Rays,2B,28
82,Jonathan India,Kansas City Royals,2B,28
82,Ryan Mountcastle,Baltimore Orioles,1B,28
82,Josh Jung,Texas Rangers,3B,28
82,Brandon Nimmo,New York Mets,LF,28
82,Will Smith,Los Angeles Dodgers,C,28
82,Eugenio Suárez,Arizona Diamondbacks,3B,28
82,Jackson Holliday,Baltimore Orioles,SS,28
82,Nolan Arenado,St. Louis Cardinals,3B,28
95,Wyatt Langford,Texas Rangers,LF,27
95,Salvador Perez,Kansas City Royals,C,27
95,Kerry Carpenter,Detroit Tigers,RF,27
95,Andrew McCutchen,Pittsburgh Pirates,RF,27
95,Gunnar Henderson,Baltimore Orioles,3B,27
95,Eric Wagaman,Miami Marlins,3B,27
