Rank,Player,Team,Pos,Value
1,Kyle Schwarber,Philadelphia Phillies,LF,16
1,Shohei Ohtani,Los Angeles Dodgers,P,16
3,Aaron Judge,New York Yankees,CF,13
3,Cal Raleigh,Seattle Mariners,C,13
5,Taylor Ward,Los Angeles Angels,LF,12
5,Corbin Carroll,Arizona Diamondbacks,RF,12
5,Spencer Torkelson,Detroit Tigers,1B,12
8,Kyle Tucker,Chicago Cubs,RF,11
8,Fernando Tatis Jr.,San Diego Padres,RF,11
8,James Wood,Washington Nationals,LF,11
8,Logan O'Hoppe,Los Angeles Angels,C,11
12,Brent Rooker,Sacramento Athletics,LF,10
12,Matt Olson,Atlanta Braves,1B,10
12,Byron Buxton,Minnesota Twins,CF,10
12,Kyle Manzardo,Cleveland Guardians,1B,10
12,Dansby Swanson,Chicago Cubs,SS,10
12,Pete Crow-Armstrong,Chicago Cubs,CF,10
12,Seiya Suzuki,Chicago Cubs,RF,10
12,Eugenio Suárez,Arizona Diamondbacks,3B,10
12,Rafael Devers,Boston Red Sox,3B,10
12,Trent Grisham,New York Yankees,CF,10
12,Riley Greene,Detroit Tigers,LF,10
12,Alex Bregman,Boston Red Sox,2B,10
24,Kerry Carpenter,Detroit Tigers,RF,9
24,Shea Langeliers,Sacramento Athletics,C,9
24,Pete Alonso,New York Mets,1B,9
24,Freddie Freeman,Los Angeles Dodgers,1B,9
24,Wyatt Langford,Texas Rangers,LF,9
24,Andy Pages,Los Angeles Dodgers,CF,9
24,Cedric Mullins,Baltimore Orioles,CF,9
24,Ben Rice,New York Yankees,1B,9
24,Wilyer Abreu,Boston Red Sox,CF,9
33,Tommy Edman,Los Angeles Dodgers,2B,8
33,Wilmer Flores,San Francisco Giants,1B,8
33,Vinnie Pasquantino,Kansas City Royals,1B,8
33,Nathaniel Lowe,Washington Nationals,1B,8
33,Matt Chapman,San Francisco Giants,3B,8
33,Teoscar Hernandez,Los Angeles Dodgers,LF,8
33,Heliot Ramos,San Francisco Giants,CF,8
33,Austin Wells,New York Yankees,C,8
33,Oneil Cruz,Pittsburgh Pirates,CF,8
33,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,8
33,Marcell Ozuna,Atlanta Braves,DH,8
33,Francisco Lindor,New York Mets,SS,8
33,Isaac Paredes,Houston Astros,3B,8
33,Rowdy Tellez,Seattle Mariners,1B,8
33,Jorge Polanco,Seattle Mariners,2B,8
33,Junior Caminero,Tampa Bay Rays,3B,8
33,Julio Rodriguez,Seattle Mariners,CF,8
50,Jose Ramirez,Cleveland Guardians,3B,7
50,Gunnar Henderson,Baltimore Orioles,3B,7
50,Trevor Larnach,Minnesota Twins,LF,7
50,Sean Murphy,Atlanta Braves,C,7
50,Zach Neto,Los Angeles Angels,SS,7
50,Cody Bellinger,New York Yankees,CF,7
50,Brandon Nimmo,New York Mets,LF,7
50,Christian Yelich,Milwaukee Brewers,LF,7
50,Ryan O'Hearn,Baltimore Orioles,1B,7
50,Bryce Harper,Philadelphia Phillies,1B,7
50,Lars Nootbaar,St. Louis Cardinals,RF,7
50,Mike Trout,Los Angeles Angels,CF,7
50,Kyle Stowers,Miami Marlins,LF,7
50,Enrique Hernandez,Los Angeles Dodgers,3B,7
50,Tyler Soderstrom,Sacramento Athletics,1B,7
50,Hunter Goodman,Colorado Rockies,C,7
50,Elly De La Cruz,Cincinnati Reds,SS,7
50,CJ Abrams,Washington Nationals,SS,7
50,Michael Busch,Chicago Cubs,1B,7
69,Jackson Chourio,Milwaukee Brewers,LF,6
69,Juan Soto,New York Mets,RF,6
69,Josh Bell,Washington Nationals,1B,6
69,Luis Urias,Sacramento Athletics,3B,6
69,Randy Arozarena,Seattle Mariners,LF,6
69,Jorge Soler,Los Angeles Angels,RF,6
69,Jonathan Aranda,Tampa Bay Rays,1B,6
69,Mookie Betts,Los Angeles Dodgers,SS,6
69,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,6
69,Bo Naylor,Cleveland Guardians,C,6
69,Jazz Chisholm Jr.,New York Yankees,2B,6
69,Bryan Reynolds,Pittsburgh Pirates,LF,6
69,Josh Jung,Texas Rangers,3B,6
69,Ryan McMahon,Colorado Rockies,3B,6
69,Anthony Volpe,New York Yankees,SS,6
69,Gavin Sheets,San Diego Padres,RF,6
69,Yandy Diaz,Tampa Bay Rays,1B,6
69,Austin Riley,Atlanta Braves,3B,6
69,JJ Bleday,Sacramento Athletics,CF,6
69,Matt Mervis,Miami Marlins,1B,6
69,Geraldo Perdomo,Arizona Diamondbacks,SS,6
69,Brandon Lowe,Tampa Bay Rays,2B,6
69,Dylan Moore,Seattle Mariners,SS,6
69,Dylan Crews,Washington Nationals,RF,6
69,Carson Kelly,Chicago Cubs,C,6
69,Michael Toglia,Colorado Rockies,1B,6
69,Adolis Garcia,Texas Rangers,RF,6
69,Anthony Santander,Toronto Blue Jays,RF,6
69,Rhys Hoskins,Milwaukee Brewers,1B,6
69,Lawrence Butler,Sacramento Athletics,RF,6
69,Jeremy Pena,Houston Astros,SS,6
69,Matt McLain,Cincinnati Reds,SS,6
