Rank,Player,Team,Pos,Value
1,Shohei Ohtani,Los Angeles Dodgers,P,33
2,Aaron Judge,New York Yankees,CF,29
2,Kyle Schwarber,Philadelphia Phillies,LF,29
4,Pete Crow-Armstrong,Chicago Cubs,CF,28
4,Corbin Carroll,Arizona Diamondbacks,RF,28
4,Heliot Ramos,San Francisco Giants,CF,28
7,Spencer Torkelson,Detroit Tigers,1B,27
8,Juan Soto,New York Mets,RF,26
8,Mookie Betts,Los Angeles Dodgers,SS,26
10,Trea Turner,Philadelphia Phillies,SS,25
10,Trevor Larnach,Minnesota Twins,LF,25
10,Willy Adames,San Francisco Giants,SS,25
10,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,25
10,Kyle Tucker,Chicago Cubs,RF,25
10,Elly De La Cruz,Cincinnati Reds,SS,25
16,Dansby Swanson,Chicago Cubs,SS,24
16,Fernando Tatis Jr.,San Diego Padres,RF,24
16,James Wood,Washington Nationals,LF,24
16,Lars Nootbaar,St. Louis Cardinals,RF,24
16,Zach McKinstry,Detroit Tigers,RF,24
16,Alex Bregman,Boston Red Sox,2B,24
22,Paul Goldschmidt,New York Yankees,1B,23
22,Manny Machado,San Diego Padres,3B,23
22,Ian Happ,Chicago Cubs,LF,23
22,Rafael Devers,Boston Red Sox,3B,23
22,Bobby Witt Jr.,Kansas City Royals,SS,23
22,Francisco Lindor,New York Mets,SS,23
22,Nolan Schanuel,Los Angeles Angels,1B,23
22,Byron Buxton,Minnesota Twins,CF,23
30,Freddie Freeman,Los Angeles Dodgers,1B,22
30,Julio Rodriguez,Seattle Mariners,CF,22
30,Pete Alonso,New York Mets,1B,22
30,Brice Turang,Milwaukee Brewers,2B,22
30,Jung Hoo Lee,San Francisco Giants,CF,22
30,Matt Olson,Atlanta Braves,1B,22
30,Matt Chapman,San Francisco Giants,3B,22
37,Kerry Carpenter,Detroit Tigers,RF,21
37,Jacob Wilson,Sacramento Athletics,SS,21
37,Steven Kwan,Cleveland Guardians,LF,21
37,Brent Rooker,Sacramento Athletics,LF,21
37,Nico Hoerner,Chicago Cubs,2B,21
37,Tyler Soderstrom,Sacramento Athletics,1B,21
37,Ozzie Albies,Atlanta Braves,2B,21
37,Trey Sweeney,Detroit Tigers,SS,21
37,Cal Raleigh,Seattle Mariners,C,21
46,Isaac Paredes,Houston Astros,3B,20
46,Brendan Donovan,St. Louis Cardinals,2B,20
46,Jasson Dominguez,New York Yankees,LF,20
46,Victor Scott II,St. Louis Cardinals,CF,20
46,Eugenio Suárez,Arizona Diamondbacks,3B,20
46,Bryce Harper,Philadelphia Phillies,1B,20
46,Seiya Suzuki,Chicago Cubs,RF,20
46,Willson Contreras,St. Louis Cardinals,1B,20
46,Masyn Winn,St. Louis Cardinals,SS,20
46,Ceddanne Rafaela,Boston Red Sox,CF,20
46,Riley Greene,Detroit Tigers,LF,20
46,Jackson Chourio,Milwaukee Brewers,LF,20
46,Taylor Ward,Los Angeles Angels,LF,20
46,Trent Grisham,New York Yankees,CF,20
60,Gabriel Arias,Cleveland Guardians,3B,19
60,Gabriel Moreno,Arizona Diamondbacks,C,19
60,Bryson Stott,Philadelphia Phillies,2B,19
60,William Contreras,Milwaukee Brewers,C,19
60,Andy Pages,Los Angeles Dodgers,CF,19
60,Pavin Smith,Arizona Diamondbacks,1B,19
60,Geraldo Perdomo,Arizona Diamondbacks,SS,19
60,Jordan Beck,Colorado Rockies,LF,19
60,Oneil Cruz,Pittsburgh Pirates,CF,19
60,Lawrence Butler,Sacramento Athletics,RF,19
60,Josh Naylor,Arizona Diamondbacks,1B,19
60,Wilmer Flores,San Francisco Giants,1B,19
60,Jarren Duran,Boston Red Sox,CF,19
60,Nick Castellanos,Philadelphia Phillies,RF,19
74,TJ Friedl,Cincinnati Reds,CF,18
74,Jeremy Pena,Houston Astros,SS,18
74,Zach Neto,Los Angeles Angels,SS,18
74,Cody Bellinger,New York Yankees,CF,18
74,Michael Conforto,Los Angeles Dodgers,LF,18
74,Tommy Edman,Los Angeles Dodgers,2B,18
74,Randy Arozarena,Seattle Mariners,LF,18
74,Dylan Crews,Washington Nationals,RF,18
74,Anthony Volpe,New York Yankees,SS,18
74,Jonathan Aranda,Tampa Bay Rays,1B,18
74,Nolan Arenado,St. Louis Cardinals,3B,18
74,Ben Rice,New York Yankees,1B,18
74,Kyle Stowers,Miami Marlins,LF,18
74,Eli White,Atlanta Braves,CF,18
74,Austin Riley,Atlanta Braves,3B,18
74,Jose Ramirez,Cleveland Guardians,3B,18
74,CJ Abrams,Washington Nationals,SS,18
91,Kyle Manzardo,Cleveland Guardians,1B,17
91,Xavier Edwards,Miami Marlins,SS,17
91,Shea Langeliers,Sacramento Athletics,C,17
91,J.P. Crawford,Seattle Mariners,SS,17
91,Wyatt Langford,Texas Rangers,LF,17
91,Gleyber Torres,Detroit Tigers,2B,17
91,Ryan O'Hearn,Baltimore Orioles,1B,17
91,Cedric Mullins,Baltimore Orioles,CF,17
91,Marcell Ozuna,Atlanta Braves,DH,17
91,Jake Meyers,Houston Astros,CF,17
