Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,33
2,Bobby Witt Jr.,Kansas City Royals,SS,28
3,Corbin Carroll,Arizona Diamondbacks,RF,27
4,Shohei Ohtani,Los Angeles Dodgers,P,26
5,Kyle Tucker,Chicago Cubs,RF,25
6,Pete Crow-Armstrong,Chicago Cubs,CF,24
6,Manny Machado,San Diego Padres,3B,24
6,Lars Nootbaar,St. Louis Cardinals,RF,24
9,Brent Rooker,Sacramento Athletics,LF,23
9,Bo Bichette,Toronto Blue Jays,SS,23
9,Austin Riley,Atlanta Braves,3B,23
9,Josh Naylor,Arizona Diamondbacks,1B,23
9,Jarren Duran,Boston Red Sox,CF,23
9,Paul Goldschmidt,New York Yankees,1B,23
9,Spencer Torkelson,Detroit Tigers,1B,23
9,Rafael Devers,Boston Red Sox,3B,23
9,James Wood,Washington Nationals,LF,23
18,Fernando Tatis Jr.,San Diego Padres,RF,22
18,Alex Bregman,Boston Red Sox,2B,22
18,Pete Alonso,New York Mets,1B,22
18,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,22
18,Heliot Ramos,San Francisco Giants,CF,22
18,Kyle Schwarber,Philadelphia Phillies,LF,22
18,Maikel Garcia,Kansas City Royals,3B,22
18,Brendan Donovan,St. Louis Cardinals,2B,22
26,Francisco Lindor,New York Mets,SS,21
26,Riley Greene,Detroit Tigers,LF,21
26,Taylor Ward,Los Angeles Angels,LF,21
26,Jacob Wilson,Sacramento Athletics,SS,21
26,Freddie Freeman,Los Angeles Dodgers,1B,21
26,Dansby Swanson,Chicago Cubs,SS,21
26,Cal Raleigh,Seattle Mariners,C,21
26,Seiya Suzuki,Chicago Cubs,RF,21
26,Bryce Harper,Philadelphia Phillies,1B,21
26,Julio Rodriguez,Seattle Mariners,CF,21
36,Tyler Soderstrom,Sacramento Athletics,1B,20
36,CJ Abrams,Washington Nationals,SS,20
36,Jung Hoo Lee,San Francisco Giants,CF,20
36,Byron Buxton,Minnesota Twins,CF,20
36,Steven Kwan,Cleveland Guardians,LF,20
36,Anthony Volpe,New York Yankees,SS,20
36,Eugenio Suárez,Arizona Diamondbacks,3B,20
36,Isaac Paredes,Houston Astros,3B,20
44,Lawrence Butler,Sacramento Athletics,RF,19
44,Michael Harris II,Atlanta Braves,LF,19
44,Nathaniel Lowe,Washington Nationals,1B,19
44,Elly De La Cruz,Cincinnati Reds,SS,19
44,Michael Busch,Chicago Cubs,1B,19
44,Kerry Carpenter,Detroit Tigers,RF,19
44,Jose Altuve,Houston Astros,LF,19
44,Trea Turner,Philadelphia Phillies,SS,19
44,Geraldo Perdomo,Arizona Diamondbacks,SS,19
53,Nolan Schanuel,Los Angeles Angels,1B,18
53,Juan Soto,New York Mets,RF,18
53,Willson Contreras,St. Louis Cardinals,1B,18
53,Wilyer Abreu,Boston Red Sox,CF,18
53,Gavin Lux,Cincinnati Reds,LF,18
53,Nico Hoerner,Chicago Cubs,2B,18
53,Jackson Chourio,Milwaukee Brewers,LF,18
53,Ozzie Albies,Atlanta Braves,2B,18
53,Vinnie Pasquantino,Kansas City Royals,1B,18
53,Nick Castellanos,Philadelphia Phillies,RF,18
53,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,18
53,George Springer,Toronto Blue Jays,RF,18
53,Adolis Garcia,Texas Rangers,RF,18
53,Jeremy Pena,Houston Astros,SS,18
53,Andy Pages,Los Angeles Dodgers,CF,18
53,Cedric Mullins,Baltimore Orioles,CF,18
53,Marcell Ozuna,Atlanta Braves,DH,18
53,Nolan Arenado,St. Louis Cardinals,3B,18
53,Ben Rice,New York Yankees,1B,18
72,Hunter Goodman,Colorado Rockies,C,17
72,Miguel Vargas,Chicago White Sox,3B,17
72,Jonathan Aranda,Tampa Bay Rays,1B,17
72,Salvador Perez,Kansas City Royals,C,17
72,Christian Walker,Houston Astros,1B,17
72,Jose Ramirez,Cleveland Guardians,3B,17
72,Pavin Smith,Arizona Diamondbacks,1B,17
72,Matt Olson,Atlanta Braves,1B,17
72,Jonathan India,Kansas City Royals,2B,17
72,Zach McKinstry,Detroit Tigers,RF,17
72,Matt Chapman,San Francisco Giants,3B,17
72,Ryan Mountcastle,Baltimore Orioles,1B,17
72,Ty France,Minnesota Twins,1B,17
72,Lenyn Sosa,Chicago White Sox,3B,17
72,Teoscar Hernandez,Los Angeles Dodgers,LF,17
72,Luis Garcia Jr.,Washington Nationals,2B,17
72,Austin Wells,New York Yankees,C,17
72,Yandy Diaz,Tampa Bay Rays,1B,17
72,TJ Friedl,Cincinnati Reds,CF,17
72,Gleyber Torres,Detroit Tigers,2B,17
72,Mike Yastrzemski,San Francisco Giants,RF,17
72,Miguel Andujar,Sacramento Athletics,LF,17
72,Kyle Stowers,Miami Marlins,LF,17
72,Will Smith,Los Angeles Dodgers,C,17
96,Eric Wagaman,Miami Marlins,3B,16
96,Randy Arozarena,Seattle Mariners,LF,16
96,Brice Turang,Milwaukee Brewers,2B,16
96,Bryan Reynolds,Pittsburgh Pirates,LF,16
96,Trevor Larnach,Minnesota Twins,LF,16
