Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,70.2%
2,Bobby Witt Jr.,Kansas City Royals,SS,56.0%
3,CJ Abrams,Washington Nationals,SS,55.6%
4,Shohei Ohtani,Los Angeles Dodgers,P,55.3%
5,Freddie Freeman,Los Angeles Dodgers,1B,55.3%
6,Corbin Carroll,Arizona Diamondbacks,RF,55.1%
7,Manny Machado,San Diego Padres,3B,52.2%
8,Kyle Tucker,Chicago Cubs,RF,51.0%
9,Lars Nootbaar,St. Louis Cardinals,RF,50.0%
10,Pete Crow-Armstrong,Chicago Cubs,CF,49.0%
11,Paul Goldschmidt,New York Yankees,1B,48.9%
11,Bo Bichette,Toronto Blue Jays,SS,48.9%
13,Fernando Tatis Jr.,San Diego Padres,RF,48.9%
14,Byron Buxton,Minnesota Twins,CF,48.8%
15,Austin Riley,Atlanta Braves,3B,47.9%
15,Spencer Torkelson,Detroit Tigers,1B,47.9%
15,Josh Naylor,Arizona Diamondbacks,1B,47.9%
18,Gleyber Torres,Detroit Tigers,2B,47.2%
19,James Wood,Washington Nationals,LF,46.9%
19,Jarren Duran,Boston Red Sox,CF,46.9%
19,Brent Rooker,Sacramento Athletics,LF,46.9%
22,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,46.8%
22,Brendan Donovan,St. Louis Cardinals,2B,46.8%
24,Seiya Suzuki,Chicago Cubs,RF,46.7%
25,Rafael Devers,Boston Red Sox,3B,46.0%
26,Heliot Ramos,San Francisco Giants,CF,45.8%
26,Maikel Garcia,Kansas City Royals,3B,45.8%
26,Kyle Schwarber,Philadelphia Phillies,LF,45.8%
29,Taylor Ward,Los Angeles Angels,LF,45.7%
30,Alex Bregman,Boston Red Sox,2B,44.9%
30,Pete Alonso,New York Mets,1B,44.9%
32,Julio Rodriguez,Seattle Mariners,CF,44.7%
32,Jacob Wilson,Sacramento Athletics,SS,44.7%
32,Riley Greene,Detroit Tigers,LF,44.7%
32,Cal Raleigh,Seattle Mariners,C,44.7%
36,Ben Rice,New York Yankees,1B,43.9%
