Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,85.1%
2,Bobby Witt Jr.,Kansas City Royals,SS,82.0%
3,Fernando Tatis Jr.,San Diego Padres,RF,80.0%
4,Freddie Freeman,Los Angeles Dodgers,1B,78.4%
5,Brendan Donovan,St. Louis Cardinals,2B,78.3%
6,Keibert Ruiz,Washington Nationals,C,78.1%
7,Paul Goldschmidt,New York Yankees,1B,76.7%
8,Jacob Wilson,Sacramento Athletics,SS,76.6%
8,Jeremy Pena,Houston Astros,SS,76.6%
10,Jung Hoo Lee,San Francisco Giants,CF,76.1%
10,Steven Kwan,Cleveland Guardians,LF,76.1%
12,Nico Hoerner,Chicago Cubs,2B,75.6%
12,Hunter Goodman,Colorado Rockies,C,75.6%
12,Trea Turner,Philadelphia Phillies,SS,75.6%
15,Corbin Carroll,Arizona Diamondbacks,RF,75.0%
15,Austin Riley,Atlanta Braves,3B,75.0%
17,Shohei Ohtani,Los Angeles Dodgers,P,74.5%
18,Brice Turang,Milwaukee Brewers,2B,73.9%
18,Manny Machado,San Diego Padres,3B,73.9%
18,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,73.9%
21,Xavier Edwards,Miami Marlins,SS,73.8%
22,Jarren Duran,Boston Red Sox,CF,73.5%
23,Alec Bohm,Philadelphia Phillies,3B,73.3%
24,Heliot Ramos,San Francisco Giants,CF,72.9%
24,Nick Castellanos,Philadelphia Phillies,RF,72.9%
26,Sal Frelick,Milwaukee Brewers,RF,72.7%
27,Cody Bellinger,New York Yankees,CF,72.5%
28,Josh Naylor,Arizona Diamondbacks,1B,72.3%
28,Geraldo Perdomo,Arizona Diamondbacks,SS,72.3%
30,Ben Rice,New York Yankees,1B,72.2%
30,CJ Abrams,Washington Nationals,SS,72.2%
32,Kyle Stowers,Miami Marlins,LF,72.1%
33,Bryson Stott,Philadelphia Phillies,2B,71.8%
34,Will Smith,Los Angeles Dodgers,C,71.4%
35,J.P. Crawford,Seattle Mariners,SS,71.1%
36,Mike Yastrzemski,San Francisco Giants,RF,71.1%
37,Kyle Schwarber,Philadelphia Phillies,LF,70.8%
37,Matt Olson,Atlanta Braves,1B,70.8%
37,Francisco Lindor,New York Mets,SS,70.8%
40,Zach McKinstry,Detroit Tigers,RF,70.7%
41,Jose Ramirez,Cleveland Guardians,3B,70.5%
42,Andrew McCutchen,Pittsburgh Pirates,RF,70.3%
43,Bo Bichette,Toronto Blue Jays,SS,70.2%
43,Isaac Paredes,Houston Astros,3B,70.2%
45,Josh Jung,Texas Rangers,3B,70.0%
46,Mark Vientos,New York Mets,3B,69.8%
47,Gleyber Torres,Detroit Tigers,2B,69.4%
48,Pete Crow-Armstrong,Chicago Cubs,CF,69.4%
48,James Wood,Washington Nationals,LF,69.4%
48,Alex Bregman,Boston Red Sox,2B,69.4%
48,Pete Alonso,New York Mets,1B,69.4%
52,Wyatt Langford,Texas Rangers,LF,69.2%
53,Ke'Bryan Hayes,Pittsburgh Pirates,3B,68.9%
53,Trevor Larnach,Minnesota Twins,LF,68.9%
53,Lawrence Butler,Sacramento Athletics,RF,68.9%
56,Bryce Harper,Philadelphia Phillies,1B,68.8%
57,Lenyn Sosa,Chicago White Sox,3B,68.3%
58,Maikel Garcia,Kansas City Royals,3B,68.1%
59,Elly De La Cruz,Cincinnati Reds,SS,68.0%
60,Josh H. Smith,Texas Rangers,3B,67.6%
60,Jonathan Aranda,Tampa Bay Rays,1B,67.6%
62,Ian Happ,Chicago Cubs,LF,67.5%
62,Jackson Holliday,Baltimore Orioles,SS,67.5%
62,Jake Meyers,Houston Astros,CF,67.5%
62,Gunnar Henderson,Baltimore Orioles,3B,67.5%
62,Brandon Lowe,Tampa Bay Rays,2B,67.5%
67,Jorge Soler,Los Angeles Angels,RF,67.4%
67,Junior Caminero,Tampa Bay Rays,3B,67.4%
69,Cal Raleigh,Seattle Mariners,C,67.4%
70,Tyler Soderstrom,Sacramento Athletics,1B,66.7%
70,Nolan Schanuel,Los Angeles Angels,1B,66.7%
70,Yandy Diaz,Tampa Bay Rays,1B,66.7%
70,TJ Friedl,Cincinnati Reds,CF,66.7%
70,Ozzie Albies,Atlanta Braves,2B,66.7%
70,Austin Wells,New York Yankees,C,66.7%
70,Jackson Chourio,Milwaukee Brewers,LF,66.7%
70,Kerry Carpenter,Detroit Tigers,RF,66.7%
70,Juan Soto,New York Mets,RF,66.7%
79,Lars Nootbaar,St. Louis Cardinals,RF,66.0%
79,Spencer Torkelson,Detroit Tigers,1B,66.0%
81,Rhys Hoskins,Milwaukee Brewers,1B,65.9%
81,Victor Scott II,St. Louis Cardinals,CF,65.9%
83,Eric Wagaman,Miami Marlins,3B,65.8%
84,Dansby Swanson,Chicago Cubs,SS,65.3%
85,William Contreras,Milwaukee Brewers,C,65.2%
85,Julio Rodriguez,Seattle Mariners,CF,65.2%
85,Riley Greene,Detroit Tigers,LF,65.2%
85,Jose Altuve,Houston Astros,LF,65.2%
89,Gavin Lux,Cincinnati Reds,LF,65.1%
90,Ryan Mountcastle,Baltimore Orioles,1B,65.0%
90,Luis Arraez,San Diego Padres,1B,65.0%
92,Brent Rooker,Sacramento Athletics,LF,64.6%
93,Mookie Betts,Los Angeles Dodgers,SS,64.4%
94,Willson Contreras,St. Louis Cardinals,1B,63.8%
95,Trevor Story,Boston Red Sox,2B,63.0%
