Rank,Player,Team,Pos,Value
1,Shohei Ohtani,Los Angeles Dodgers,P,34.0%
2,Kyle Schwarber,Philadelphia Phillies,LF,33.3%
3,Logan O'Hoppe,Los Angeles Angels,C,30.6%
4,Cal Raleigh,Seattle Mariners,C,28.3%
5,Aaron Judge,New York Yankees,CF,27.7%
6,Kyle Manzardo,Cleveland Guardians,1B,26.3%
7,Taylor Ward,Los Angeles Angels,LF,26.1%
8,Spencer Torkelson,Detroit Tigers,1B,25.5%
9,Ben Rice,New York Yankees,1B,25.0%
9,Corbin Carroll,Arizona Diamondbacks,RF,25.0%
11,Fernando Tatis Jr.,San Diego Padres,RF,24.4%
12,Byron Buxton,Minnesota Twins,CF,24.4%
13,Freddie Freeman,Los Angeles Dodgers,1B,24.3%
14,Wyatt Langford,Texas Rangers,LF,23.1%
14,Kerry Carpenter,Detroit Tigers,RF,23.1%
16,James Wood,Washington Nationals,LF,22.5%
16,Kyle Tucker,Chicago Cubs,RF,22.5%
18,Seiya Suzuki,Chicago Cubs,RF,22.2%
18,Austin Wells,New York Yankees,C,22.2%
20,Riley Greene,Detroit Tigers,LF,21.7%
21,Shea Langeliers,Sacramento Athletics,C,21.4%
21,Wilyer Abreu,Boston Red Sox,CF,21.4%
23,Eugenio Suárez,Arizona Diamondbacks,3B,21.3%
24,Oneil Cruz,Pittsburgh Pirates,CF,21.1%
25,Matt Olson,Atlanta Braves,1B,20.8%
25,Brent Rooker,Sacramento Athletics,LF,20.8%
27,Cedric Mullins,Baltimore Orioles,CF,20.5%
28,Pete Crow-Armstrong,Chicago Cubs,CF,20.4%
28,Dansby Swanson,Chicago Cubs,SS,20.4%
28,Alex Bregman,Boston Red Sox,2B,20.4%
31,Rafael Devers,Boston Red Sox,3B,20.0%
31,Andy Pages,Los Angeles Dodgers,CF,20.0%
33,CJ Abrams,Washington Nationals,SS,19.4%
34,Ryan O'Hearn,Baltimore Orioles,1B,18.9%
35,Junior Caminero,Tampa Bay Rays,3B,18.6%
36,Pete Alonso,New York Mets,1B,18.4%
37,Wilmer Flores,San Francisco Giants,1B,18.2%
37,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,18.2%
39,Marcell Ozuna,Atlanta Braves,DH,17.8%
40,Gunnar Henderson,Baltimore Orioles,3B,17.5%
40,Michael Busch,Chicago Cubs,1B,17.5%
40,Cody Bellinger,New York Yankees,CF,17.5%
43,Julio Rodriguez,Seattle Mariners,CF,17.4%
44,Isaac Paredes,Houston Astros,3B,17.0%
45,Heliot Ramos,San Francisco Giants,CF,16.7%
45,Matt Chapman,San Francisco Giants,3B,16.7%
45,Francisco Lindor,New York Mets,SS,16.7%
45,Nathaniel Lowe,Washington Nationals,1B,16.7%
49,Vinnie Pasquantino,Kansas City Royals,1B,16.3%
50,Jonathan Aranda,Tampa Bay Rays,1B,16.2%
51,Jose Ramirez,Cleveland Guardians,3B,15.9%
52,Trevor Larnach,Minnesota Twins,LF,15.6%
52,Hunter Goodman,Colorado Rockies,C,15.6%
54,Matt McLain,Cincinnati Reds,SS,15.4%
55,Christian Yelich,Milwaukee Brewers,LF,15.2%
55,Brandon Nimmo,New York Mets,LF,15.2%
57,Brandon Lowe,Tampa Bay Rays,2B,15.0%
57,Josh Jung,Texas Rangers,3B,15.0%
57,Josh Bell,Washington Nationals,1B,15.0%
60,Lars Nootbaar,St. Louis Cardinals,RF,14.9%
61,Gavin Sheets,San Diego Padres,RF,14.7%
62,Anthony Santander,Toronto Blue Jays,RF,14.6%
63,Bryce Harper,Philadelphia Phillies,1B,14.6%
63,Tyler Soderstrom,Sacramento Athletics,1B,14.6%
65,Elly De La Cruz,Cincinnati Reds,SS,14.0%
66,Kyle Stowers,Miami Marlins,LF,14.0%
66,Jorge Soler,Los Angeles Angels,RF,14.0%
68,Gleyber Torres,Detroit Tigers,2B,13.9%
69,JJ Bleday,Sacramento Athletics,CF,13.6%
69,Rhys Hoskins,Milwaukee Brewers,1B,13.6%
71,Yandy Diaz,Tampa Bay Rays,1B,13.3%
71,Lawrence Butler,Sacramento Athletics,RF,13.3%
71,Dylan Crews,Washington Nationals,RF,13.3%
71,Mookie Betts,Los Angeles Dodgers,SS,13.3%
71,Michael Toglia,Colorado Rockies,1B,13.3%
71,Randy Arozarena,Seattle Mariners,LF,13.3%
77,Mike Yastrzemski,San Francisco Giants,RF,13.2%
77,Max Kepler,Philadelphia Phillies,RF,13.2%
79,Anthony Volpe,New York Yankees,SS,13.0%
79,Ryan McMahon,Colorado Rockies,3B,13.0%
79,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,13.0%
82,George Springer,Toronto Blue Jays,RF,12.8%
83,Bryan Reynolds,Pittsburgh Pirates,LF,12.8%
83,Jeremy Pena,Houston Astros,SS,12.8%
83,Geraldo Perdomo,Arizona Diamondbacks,SS,12.8%
83,Willson Contreras,St. Louis Cardinals,1B,12.8%
87,Jackson Holliday,Baltimore Orioles,SS,12.5%
87,Austin Riley,Atlanta Braves,3B,12.5%
87,Yainer Diaz,Houston Astros,C,12.5%
87,Adolis Garcia,Texas Rangers,RF,12.5%
87,Jackson Chourio,Milwaukee Brewers,LF,12.5%
87,Juan Soto,New York Mets,RF,12.5%
93,Kristian Campbell,Boston Red Sox,2B,12.2%
94,Mark Vientos,New York Mets,3B,11.6%
95,Will Smith,Los Angeles Dodgers,C,11.4%
96,Luis Robert Jr.,Chicago White Sox,CF,11.4%
97,Nolan Arenado,St. Louis Cardinals,3B,11.1%
97,Brenton Doyle,Colorado Rockies,CF,11.1%
97,Miguel Vargas,Chicago White Sox,3B,11.1%
100,Andrew Vaughn,Chicago White Sox,1B,10.9%
