Rank,Player,Team,Pos,Value
1,Shohei Ohtani,Los Angeles Dodgers,P,70.2%
2,Aaron Judge,New York Yankees,CF,61.7%
3,Kyle Schwarber,Philadelphia Phillies,LF,60.4%
4,Freddie Freeman,Los Angeles Dodgers,1B,59.5%
5,Heliot Ramos,San Francisco Giants,CF,58.3%
6,Mookie Betts,Los Angeles Dodgers,SS,57.8%
7,Ian Happ,Chicago Cubs,LF,57.5%
8,Spencer Torkelson,Detroit Tigers,1B,57.5%
9,Pete Crow-Armstrong,Chicago Cubs,CF,57.1%
10,Corbin Carroll,Arizona Diamondbacks,RF,56.3%
11,Zach McKinstry,Detroit Tigers,RF,56.1%
11,Byron Buxton,Minnesota Twins,CF,56.1%
13,Trevor Larnach,Minnesota Twins,LF,55.6%
14,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,54.4%
15,Juan Soto,New York Mets,RF,54.2%
16,Masyn Winn,St. Louis Cardinals,SS,54.1%
17,Kerry Carpenter,Detroit Tigers,RF,53.9%
18,Fernando Tatis Jr.,San Diego Padres,RF,53.3%
18,Trea Turner,Philadelphia Phillies,SS,53.3%
20,Jasson Dominguez,New York Yankees,LF,52.6%
21,Nolan Schanuel,Los Angeles Angels,1B,51.1%
22,Lars Nootbaar,St. Louis Cardinals,RF,51.1%
23,Kyle Tucker,Chicago Cubs,RF,51.0%
23,Willy Adames,San Francisco Giants,SS,51.0%
25,Oneil Cruz,Pittsburgh Pirates,CF,50.0%
25,Ben Rice,New York Yankees,1B,50.0%
25,CJ Abrams,Washington Nationals,SS,50.0%
25,Elly De La Cruz,Cincinnati Reds,SS,50.0%
25,Manny Machado,San Diego Padres,3B,50.0%
30,Alex Bregman,Boston Red Sox,2B,49.0%
30,Dansby Swanson,Chicago Cubs,SS,49.0%
30,James Wood,Washington Nationals,LF,49.0%
33,Paul Goldschmidt,New York Yankees,1B,48.8%
34,Francisco Lindor,New York Mets,SS,47.9%
35,Jung Hoo Lee,San Francisco Giants,CF,47.8%
35,Brice Turang,Milwaukee Brewers,2B,47.8%
35,Julio Rodriguez,Seattle Mariners,CF,47.8%
38,Ceddanne Rafaela,Boston Red Sox,CF,47.6%
39,Gleyber Torres,Detroit Tigers,2B,47.2%
40,Nico Hoerner,Chicago Cubs,2B,46.7%
41,Bobby Witt Jr.,Kansas City Royals,SS,46.0%
41,Rafael Devers,Boston Red Sox,3B,46.0%
43,Ryan O'Hearn,Baltimore Orioles,1B,46.0%
44,Matt Chapman,San Francisco Giants,3B,45.8%
44,Matt Olson,Atlanta Braves,1B,45.8%
46,Steven Kwan,Cleveland Guardians,LF,45.7%
46,Cal Raleigh,Seattle Mariners,C,45.7%
48,Victor Scott II,St. Louis Cardinals,CF,45.5%
49,Gabriel Arias,Cleveland Guardians,3B,45.0%
49,Cody Bellinger,New York Yankees,CF,45.0%
51,Pete Alonso,New York Mets,1B,44.9%
52,Kyle Manzardo,Cleveland Guardians,1B,44.7%
52,Max Kepler,Philadelphia Phillies,RF,44.7%
54,Jacob Wilson,Sacramento Athletics,SS,44.7%
55,Seiya Suzuki,Chicago Cubs,RF,44.4%
56,Trey Sweeney,Detroit Tigers,SS,43.9%
57,Ozzie Albies,Atlanta Braves,2B,43.8%
57,Tyler Soderstrom,Sacramento Athletics,1B,43.8%
57,Brent Rooker,Sacramento Athletics,LF,43.8%
60,Bryson Stott,Philadelphia Phillies,2B,43.6%
60,Wyatt Langford,Texas Rangers,LF,43.6%
62,Brendan Donovan,St. Louis Cardinals,2B,43.5%
62,Taylor Ward,Los Angeles Angels,LF,43.5%
64,Jonathan Aranda,Tampa Bay Rays,1B,43.2%
65,Wilmer Flores,San Francisco Giants,1B,43.2%
66,Isaac Paredes,Houston Astros,3B,42.6%
66,Eugenio Suárez,Arizona Diamondbacks,3B,42.6%
66,Willson Contreras,St. Louis Cardinals,1B,42.6%
69,Michael Busch,Chicago Cubs,1B,42.5%
70,Lawrence Butler,Sacramento Athletics,RF,42.2%
70,Andy Pages,Los Angeles Dodgers,CF,42.2%
72,Mike Yastrzemski,San Francisco Giants,RF,42.1%
73,Bryce Harper,Philadelphia Phillies,1B,41.7%
73,Jackson Chourio,Milwaukee Brewers,LF,41.7%
75,Riley Greene,Detroit Tigers,LF,41.3%
75,William Contreras,Milwaukee Brewers,C,41.3%
77,Jose Ramirez,Cleveland Guardians,3B,40.9%
78,Xavier Edwards,Miami Marlins,SS,40.5%
78,Spencer Steer,Cincinnati Reds,LF,40.5%
78,Shea Langeliers,Sacramento Athletics,C,40.5%
81,Geraldo Perdomo,Arizona Diamondbacks,SS,40.4%
81,Josh Naylor,Arizona Diamondbacks,1B,40.4%
83,Jake Meyers,Houston Astros,CF,40.0%
83,Dylan Crews,Washington Nationals,RF,40.0%
83,Randy Arozarena,Seattle Mariners,LF,40.0%
83,Nolan Arenado,St. Louis Cardinals,3B,40.0%
83,TJ Friedl,Cincinnati Reds,CF,40.0%
88,Nick Castellanos,Philadelphia Phillies,RF,39.6%
89,Kyle Stowers,Miami Marlins,LF,39.5%
90,Eric Wagaman,Miami Marlins,3B,39.5%
91,Anthony Volpe,New York Yankees,SS,39.1%
92,Adley Rutschman,Baltimore Orioles,C,39.0%
93,Austin Wells,New York Yankees,C,38.9%
93,Logan O'Hoppe,Los Angeles Angels,C,38.9%
95,Jarren Duran,Boston Red Sox,CF,38.8%
96,Cedric Mullins,Baltimore Orioles,CF,38.6%
96,Ty France,Minnesota Twins,1B,38.6%
98,George Springer,Toronto Blue Jays,RF,38.5%
99,Jeremy Pena,Houston Astros,SS,38.3%
100,Gavin Sheets,San Diego Padres,RF,38.2%
