Rank,Player,Team,Pos,Value
1,Aaron Judge,New York Yankees,CF,70.2%
2,Freddie Freeman,Los Angeles Dodgers,1B,56.8%
3,Bobby Witt Jr.,Kansas City Royals,SS,56.0%
4,CJ Abrams,Washington Nationals,SS,55.6%
5,Shohei Ohtani,Los Angeles Dodgers,P,55.3%
6,Corbin Carroll,Arizona Diamondbacks,RF,54.2%
7,Manny Machado,San Diego Padres,3B,52.2%
8,Paul Goldschmidt,New York Yankees,1B,51.2%
9,Lars Nootbaar,St. Louis Cardinals,RF,51.1%
10,Kyle Tucker,Chicago Cubs,RF,51.0%
11,Ben Rice,New York Yankees,1B,50.0%
12,Pete Crow-Armstrong,Chicago Cubs,CF,49.0%
13,Bo Bichette,Toronto Blue Jays,SS,48.9%
13,Spencer Torkelson,Detroit Tigers,1B,48.9%
15,Fernando Tatis Jr.,San Diego Padres,RF,48.9%
16,Byron Buxton,Minnesota Twins,CF,48.8%
17,Kerry Carpenter,Detroit Tigers,RF,48.7%
18,Will Smith,Los Angeles Dodgers,C,48.6%
19,Brent Rooker,Sacramento Athletics,LF,47.9%
19,Austin Riley,Atlanta Braves,3B,47.9%
21,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,47.8%
21,Brendan Donovan,St. Louis Cardinals,2B,47.8%
23,Gleyber Torres,Detroit Tigers,2B,47.2%
23,Austin Wells,New York Yankees,C,47.2%
25,Jarren Duran,Boston Red Sox,CF,46.9%
25,James Wood,Washington Nationals,LF,46.9%
27,Josh Naylor,Arizona Diamondbacks,1B,46.8%
27,Maikel Garcia,Kansas City Royals,3B,46.8%
29,Seiya Suzuki,Chicago Cubs,RF,46.7%
30,George Springer,Toronto Blue Jays,RF,46.2%
31,Rafael Devers,Boston Red Sox,3B,46.0%
32,Jonathan Aranda,Tampa Bay Rays,1B,46.0%
33,Kyle Schwarber,Philadelphia Phillies,LF,45.8%
33,Heliot Ramos,San Francisco Giants,CF,45.8%
35,Cal Raleigh,Seattle Mariners,C,45.7%
35,Taylor Ward,Los Angeles Angels,LF,45.7%
35,Julio Rodriguez,Seattle Mariners,CF,45.7%
35,Riley Greene,Detroit Tigers,LF,45.7%
39,Michael Busch,Chicago Cubs,1B,45.0%
40,Pete Alonso,New York Mets,1B,44.9%
40,Alex Bregman,Boston Red Sox,2B,44.9%
42,Mike Yastrzemski,San Francisco Giants,RF,44.7%
43,Jacob Wilson,Sacramento Athletics,SS,44.7%
44,Francisco Lindor,New York Mets,SS,43.8%
44,Bryce Harper,Philadelphia Phillies,1B,43.8%
46,Steven Kwan,Cleveland Guardians,LF,43.5%
46,Anthony Volpe,New York Yankees,SS,43.5%
46,Jung Hoo Lee,San Francisco Giants,CF,43.5%
49,Wilyer Abreu,Boston Red Sox,CF,42.9%
49,Dansby Swanson,Chicago Cubs,SS,42.9%
51,Isaac Paredes,Houston Astros,3B,42.6%
51,Eugenio Suárez,Arizona Diamondbacks,3B,42.6%
53,Luis Garcia Jr.,Washington Nationals,2B,42.5%
54,Trea Turner,Philadelphia Phillies,SS,42.2%
54,Lawrence Butler,Sacramento Athletics,RF,42.2%
56,Kyle Manzardo,Cleveland Guardians,1B,42.1%
56,Eric Wagaman,Miami Marlins,3B,42.1%
58,Gavin Lux,Cincinnati Reds,LF,41.9%
59,Logan O'Hoppe,Los Angeles Angels,C,41.7%
59,Tyler Soderstrom,Sacramento Athletics,1B,41.7%
61,Lenyn Sosa,Chicago White Sox,3B,41.5%
62,Jose Altuve,Houston Astros,LF,41.3%
63,Gavin Sheets,San Diego Padres,RF,41.2%
64,Bryson Stott,Philadelphia Phillies,2B,41.0%
65,Cedric Mullins,Baltimore Orioles,CF,40.9%
65,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,40.9%
67,Michael Harris II,Atlanta Braves,LF,40.4%
67,Geraldo Perdomo,Arizona Diamondbacks,SS,40.4%
69,Josh Jung,Texas Rangers,3B,40.0%
69,Andy Pages,Los Angeles Dodgers,CF,40.0%
69,Nolan Schanuel,Los Angeles Angels,1B,40.0%
69,Marcell Ozuna,Atlanta Braves,DH,40.0%
69,Cody Bellinger,New York Yankees,CF,40.0%
69,Nolan Arenado,St. Louis Cardinals,3B,40.0%
69,Nico Hoerner,Chicago Cubs,2B,40.0%
69,Ryan Mountcastle,Baltimore Orioles,1B,40.0%
77,Jasson Dominguez,New York Yankees,LF,39.5%
77,Max Kepler,Philadelphia Phillies,RF,39.5%
79,Zach McKinstry,Detroit Tigers,RF,39.0%
80,Alejandro Kirk,Toronto Blue Jays,C,38.9%
81,Ty France,Minnesota Twins,1B,38.6%
81,Jose Ramirez,Cleveland Guardians,3B,38.6%
83,Wyatt Langford,Texas Rangers,LF,38.5%
84,Willson Contreras,St. Louis Cardinals,1B,38.3%
84,Jeremy Pena,Houston Astros,SS,38.3%
86,Elly De La Cruz,Cincinnati Reds,SS,38.0%
87,Josh H. Smith,Texas Rangers,3B,37.8%
88,Hunter Goodman,Colorado Rockies,C,37.8%
88,Miguel Vargas,Chicago White Sox,3B,37.8%
88,Yandy Diaz,Tampa Bay Rays,1B,37.8%
88,TJ Friedl,Cincinnati Reds,CF,37.8%
88,Jonathan India,Kansas City Royals,2B,37.8%
93,Jackson Chourio,Milwaukee Brewers,LF,37.5%
93,Nathaniel Lowe,Washington Nationals,1B,37.5%
93,Gabriel Arias,Cleveland Guardians,3B,37.5%
93,Juan Soto,New York Mets,RF,37.5%
93,Carlos Correa,Minnesota Twins,SS,37.5%
93,Yainer Diaz,Houston Astros,C,37.5%
93,Adolis Garcia,Texas Rangers,RF,37.5%
93,Ozzie Albies,Atlanta Braves,2B,37.5%
