Rank,Player,Team,Pos,Value
1,Marcell Ozuna,Atlanta Braves,DH,20.3%
2,Juan Soto,New York Mets,RF,17.8%
3,Will Smith,Los Angeles Dodgers,C,17.3%
4,Rafael Devers,Boston Red Sox,3B,16.8%
5,Oneil Cruz,Pittsburgh Pirates,CF,16.2%
6,William Contreras,Milwaukee Brewers,C,16.1%
7,Kyle Schwarber,Philadelphia Phillies,LF,16.0%
8,Kyle Tucker,Chicago Cubs,RF,15.5%
9,Matt Chapman,San Francisco Giants,3B,15.4%
9,Bryce Harper,Philadelphia Phillies,1B,15.4%
11,J.P. Crawford,Seattle Mariners,SS,15.3%
12,Ryan McMahon,Colorado Rockies,3B,15.1%
13,George Springer,Toronto Blue Jays,RF,15.1%
14,Geraldo Perdomo,Arizona Diamondbacks,SS,15.0%
15,Cal Raleigh,Seattle Mariners,C,14.8%
16,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,14.6%
17,Matt Olson,Atlanta Braves,1B,14.4%
18,Rhys Hoskins,Milwaukee Brewers,1B,14.4%
19,Isaac Paredes,Houston Astros,3B,14.2%
20,Aaron Judge,New York Yankees,CF,14.0%
21,Shohei Ohtani,Los Angeles Dodgers,P,14.0%
22,Max Muncy,Los Angeles Dodgers,3B,13.9%
23,Randy Arozarena,Seattle Mariners,LF,13.9%
24,Lars Nootbaar,St. Louis Cardinals,RF,13.8%
25,Michael Conforto,Los Angeles Dodgers,LF,13.2%
25,Mike Yastrzemski,San Francisco Giants,RF,13.2%
27,Joey Bart,Pittsburgh Pirates,C,13.1%
28,Pete Alonso,New York Mets,1B,13.0%
29,James Wood,Washington Nationals,LF,13.0%
30,Jasson Dominguez,New York Yankees,LF,12.9%
31,Carlos Santana,Cleveland Guardians,1B,12.6%
32,Ian Happ,Chicago Cubs,LF,12.4%
33,Spencer Torkelson,Detroit Tigers,1B,12.3%
34,Andrew McCutchen,Pittsburgh Pirates,RF,12.3%
35,Ryan O'Hearn,Baltimore Orioles,1B,12.2%
36,Gavin Lux,Cincinnati Reds,LF,12.1%
36,Matt McLain,Cincinnati Reds,SS,12.1%
38,Nolan Schanuel,Los Angeles Angels,1B,12.0%
39,Zach McKinstry,Detroit Tigers,RF,11.9%
40,Cedric Mullins,Baltimore Orioles,CF,11.9%
40,Wilyer Abreu,Boston Red Sox,CF,11.9%
40,Xander Bogaerts,San Diego Padres,2B,11.9%
43,Luis Robert Jr.,Chicago White Sox,CF,11.6%
44,Kristian Campbell,Boston Red Sox,2B,11.5%
45,Mookie Betts,Los Angeles Dodgers,SS,11.4%
46,JJ Bleday,Sacramento Athletics,CF,11.4%
47,TJ Friedl,Cincinnati Reds,CF,11.3%
48,Jonathan India,Kansas City Royals,2B,11.2%
49,Kyle Manzardo,Cleveland Guardians,1B,11.1%
50,Jonathan Aranda,Tampa Bay Rays,1B,11.0%
51,Wyatt Langford,Texas Rangers,LF,10.9%
52,Marcus Semien,Texas Rangers,2B,10.8%
53,Anthony Volpe,New York Yankees,SS,10.7%
54,Adley Rutschman,Baltimore Orioles,C,10.7%
54,Michael Busch,Chicago Cubs,1B,10.7%
56,Brice Turang,Milwaukee Brewers,2B,10.7%
57,Christian Yelich,Milwaukee Brewers,LF,10.6%
58,Manny Machado,San Diego Padres,3B,10.6%
59,Josh Bell,Washington Nationals,1B,10.6%
60,Cody Bellinger,New York Yankees,CF,10.4%
61,Masyn Winn,St. Louis Cardinals,SS,10.3%
62,J.T. Realmuto,Philadelphia Phillies,C,10.2%
63,Willy Adames,San Francisco Giants,SS,10.2%
64,Gleyber Torres,Detroit Tigers,2B,10.1%
65,Freddie Freeman,Los Angeles Dodgers,1B,10.0%
65,Victor Scott II,St. Louis Cardinals,CF,10.0%
67,Anthony Santander,Toronto Blue Jays,RF,9.9%
68,Max Kepler,Philadelphia Phillies,RF,9.8%
69,Trevor Larnach,Minnesota Twins,LF,9.8%
69,Xavier Edwards,Miami Marlins,SS,9.8%
71,Maikel Garcia,Kansas City Royals,3B,9.7%
72,Fernando Tatis Jr.,San Diego Padres,RF,9.7%
73,Alex Bregman,Boston Red Sox,2B,9.6%
74,Jake Meyers,Houston Astros,CF,9.5%
75,Kyle Stowers,Miami Marlins,LF,9.4%
76,Josh Naylor,Arizona Diamondbacks,1B,9.3%
77,Nathaniel Lowe,Washington Nationals,1B,9.3%
78,Josh H. Smith,Texas Rangers,3B,9.1%
78,Sal Frelick,Milwaukee Brewers,RF,9.1%
78,Ben Rice,New York Yankees,1B,9.1%
81,Miguel Vargas,Chicago White Sox,3B,9.0%
82,Shea Langeliers,Sacramento Athletics,C,9.0%
83,Nolan Arenado,St. Louis Cardinals,3B,8.8%
83,Elly De La Cruz,Cincinnati Reds,SS,8.8%
85,Bobby Witt Jr.,Kansas City Royals,SS,8.7%
86,Jose Ramirez,Cleveland Guardians,3B,8.7%
87,Wilmer Flores,San Francisco Giants,1B,8.6%
88,Julio Rodriguez,Seattle Mariners,CF,8.5%
89,Eugenio Suárez,Arizona Diamondbacks,3B,8.5%
90,Lawrence Butler,Sacramento Athletics,RF,8.4%
91,Seiya Suzuki,Chicago Cubs,RF,8.4%
92,Jorge Soler,Los Angeles Angels,RF,8.3%
93,Corbin Carroll,Arizona Diamondbacks,RF,8.3%
94,Dansby Swanson,Chicago Cubs,SS,8.2%
95,Mark Vientos,New York Mets,3B,8.2%
96,Trey Sweeney,Detroit Tigers,SS,8.2%
97,Michael Toglia,Colorado Rockies,1B,8.2%
97,Bryson Stott,Philadelphia Phillies,2B,8.2%
99,Bryan Reynolds,Pittsburgh Pirates,LF,8.1%
100,Steven Kwan,Cleveland Guardians,LF,8.0%
