Rank,Player,Team,Pos,Value
1,Gavin Lux,Cincinnati Reds,LF,100.0%
1,Steven Kwan,Cleveland Guardians,LF,100.0%
1,Michael Busch,Chicago Cubs,1B,100.0%
1,Wilmer Flores,San Francisco Giants,1B,100.0%
1,Carlos Santana,Cleveland Guardians,1B,100.0%
1,Junior Caminero,Tampa Bay Rays,3B,100.0%
1,Ty France,Minnesota Twins,1B,100.0%
1,J.P. Crawford,Seattle Mariners,SS,100.0%
1,Nathaniel Lowe,Washington Nationals,1B,100.0%
1,Eugenio Suárez,Arizona Diamondbacks,3B,100.0%
1,Juan Soto,New York Mets,RF,100.0%
1,Mookie Betts,Los Angeles Dodgers,SS,100.0%
1,Tyler Soderstrom,Sacramento Athletics,1B,100.0%
1,Zach McKinstry,Detroit Tigers,RF,100.0%
1,Miguel Vargas,Chicago White Sox,3B,100.0%
1,Michael Toglia,Colorado Rockies,1B,100.0%
1,George Springer,Toronto Blue Jays,RF,100.0%
1,William Contreras,Milwaukee Brewers,C,100.0%
1,Gleyber Torres,Detroit Tigers,2B,100.0%
1,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,100.0%
1,Trevor Story,Boston Red Sox,2B,100.0%
1,Randy Arozarena,Seattle Mariners,LF,100.0%
1,Andrew McCutchen,Pittsburgh Pirates,RF,100.0%
1,Kyle Manzardo,Cleveland Guardians,1B,100.0%
1,Willson Contreras,St. Louis Cardinals,1B,100.0%
1,Bryson Stott,Philadelphia Phillies,2B,100.0%
1,Gavin Sheets,San Diego Padres,RF,100.0%
1,Michael Conforto,Los Angeles Dodgers,LF,100.0%
1,Paul Goldschmidt,New York Yankees,1B,100.0%
1,Byron Buxton,Minnesota Twins,CF,100.0%
1,Dansby Swanson,Chicago Cubs,SS,100.0%
1,Nolan Arenado,St. Louis Cardinals,3B,100.0%
1,Alec Bohm,Philadelphia Phillies,3B,100.0%
1,Ryan McMahon,Colorado Rockies,3B,100.0%
1,Yandy Diaz,Tampa Bay Rays,1B,100.0%
1,Jacob Wilson,Sacramento Athletics,SS,100.0%
1,Jasson Dominguez,New York Yankees,LF,100.0%
1,Kyle Tucker,Chicago Cubs,RF,100.0%
1,Geraldo Perdomo,Arizona Diamondbacks,SS,100.0%
1,Ozzie Albies,Atlanta Braves,2B,100.0%
1,Gunnar Henderson,Baltimore Orioles,3B,100.0%
1,Max Muncy,Los Angeles Dodgers,3B,100.0%
1,Spencer Torkelson,Detroit Tigers,1B,100.0%
1,Xander Bogaerts,San Diego Padres,2B,100.0%
1,Ceddanne Rafaela,Boston Red Sox,CF,100.0%
1,Matt McLain,Cincinnati Reds,SS,100.0%
1,Nick Castellanos,Philadelphia Phillies,RF,100.0%
1,Lenyn Sosa,Chicago White Sox,3B,100.0%
1,Spencer Steer,Cincinnati Reds,LF,100.0%
1,Bryce Harper,Philadelphia Phillies,1B,100.0%
1,Joey Bart,Pittsburgh Pirates,C,100.0%
1,Austin Wells,New York Yankees,C,100.0%
53,Oneil Cruz,Pittsburgh Pirates,CF,94.4%
54,Victor Scott II,St. Louis Cardinals,CF,92.9%
