Rank,Player,Team,Pos,Value
1,MacKenzie Gore,Washington Nationals,P,35.6%
2,Tarik Skubal,Detroit Tigers,P,33.8%
3,Zack Wheeler,Philadelphia Phillies,P,32.8%
4,Hunter Brown,Houston Astros,P,32.2%
5,Joe Ryan,Minnesota Twins,P,31.5%
6,Yoshinobu Yamamoto,Los Angeles Dodgers,P,30.6%
7,Carlos Rodon,New York Yankees,P,30.5%
8,Chris Sale,Atlanta Braves,P,30.4%
9,Will Warren,New York Yankees,P,29.7%
10,Garrett Crochet,Boston Red Sox,P,29.1%
11,Cristopher Sanchez,Philadelphia Phillies,P,28.5%
12,Michael King,San Diego Padres,P,28.4%
13,Nick Pivetta,San Diego Padres,P,28.3%
14,Dylan Cease,San Diego Padres,P,28.2%
15,Nathan Eovaldi,Texas Rangers,P,28.0%
16,Jesus Luzardo,Philadelphia Phillies,P,27.7%
17,Logan Webb,San Francisco Giants,P,27.4%
18,Max Meyer,Miami Marlins,P,27.3%
19,Sonny Gray,St. Louis Cardinals,P,26.9%
20,Jacob deGrom,Texas Rangers,P,26.6%
21,Luis Ortiz,Cleveland Guardians,P,26.5%
22,Robbie Ray,San Francisco Giants,P,26.4%
23,Paul Skenes,Pittsburgh Pirates,P,25.5%
24,Freddy Peralta,Milwaukee Brewers,P,25.1%
25,Chris Bassitt,Toronto Blue Jays,P,25.0%
25,Kris Bubic,Kansas City Royals,P,25.0%
27,Matthew Boyd,Chicago Cubs,P,24.8%
27,Bryan Woo,Seattle Mariners,P,24.8%
29,Zac Gallen,Arizona Diamondbacks,P,24.3%
30,Ronel Blanco,Houston Astros,P,24.1%
31,Max Fried,New York Yankees,P,23.9%
32,Aaron Nola,Philadelphia Phillies,P,23.6%
33,Framber Valdez,Houston Astros,P,23.3%
34,Clay Holmes,New York Mets,P,23.3%
35,Grant Holmes,Atlanta Braves,P,23.1%
36,Kodai Senga,New York Mets,P,23.0%
37,Kevin Gausman,Toronto Blue Jays,P,22.9%
38,Shane Baz,Tampa Bay Rays,P,22.9%
39,Merrill Kelly,Arizona Diamondbacks,P,22.6%
40,Matthew Liberatore,St. Louis Cardinals,P,22.4%
41,David Peterson,New York Mets,P,21.5%
42,Yusei Kikuchi,Los Angeles Angels,P,21.3%
43,Jose Berrios,Toronto Blue Jays,P,21.2%
44,Michael Lorenzen,Kansas City Royals,P,20.6%
45,Tyler Anderson,Los Angeles Angels,P,20.6%
46,Nick Lodolo,Cincinnati Reds,P,20.0%
47,Ryan Pepiot,Tampa Bay Rays,P,19.9%
48,Spencer Schwellenbach,Atlanta Braves,P,19.8%
49,Taj Bradley,Tampa Bay Rays,P,19.3%
50,Mitch Keller,Pittsburgh Pirates,P,19.2%
51,Jameson Taillon,Chicago Cubs,P,19.1%
52,Bailey Ober,Minnesota Twins,P,19.0%
53,Seth Lugo,Kansas City Royals,P,18.9%
54,JP Sears,Sacramento Athletics,P,18.8%
55,Tyler Mahle,Texas Rangers,P,18.8%
56,Nick Martinez,Cincinnati Reds,P,18.7%
57,Luis Castillo,Seattle Mariners,P,18.5%
57,Brandon Pfaadt,Arizona Diamondbacks,P,18.5%
59,Jose Soriano,Los Angeles Angels,P,18.5%
60,Michael Wacha,Kansas City Royals,P,18.2%
60,Jeffrey Springs,Sacramento Athletics,P,18.2%
60,Bailey Falter,Pittsburgh Pirates,P,18.2%
60,Justin Verlander,San Francisco Giants,P,18.2%
64,Andrew Heaney,Pittsburgh Pirates,P,18.2%
65,Kyle Freeland,Colorado Rockies,P,17.8%
66,Jonathan Cannon,Chicago White Sox,P,17.7%
67,Luis Severino,Sacramento Athletics,P,17.7%
68,Chris Paddack,Minnesota Twins,P,17.1%
69,Dean Kremer,Baltimore Orioles,P,16.5%
70,Tanner Bibee,Cleveland Guardians,P,16.4%
71,Jake Irvin,Washington Nationals,P,16.1%
72,Zack Littell,Tampa Bay Rays,P,15.9%
73,Davis Martin,Chicago White Sox,P,15.2%
74,Mitchell Parker,Washington Nationals,P,15.1%
75,Andre Pallante,St. Louis Cardinals,P,15.0%
76,Erick Fedde,St. Louis Cardinals,P,14.4%
77,Kyle Hendricks,Los Angeles Angels,P,14.1%
78,Tomoyuki Sugano,Baltimore Orioles,P,13.9%
79,Jack Kochanowicz,Los Angeles Angels,P,13.7%
80,Antonio Senzatela,Colorado Rockies,P,10.5%
