Rank,Player,Team,Pos,Value
1,Luis Severino,Sacramento Athletics,P,255
2,Framber Valdez,Houston Astros,P,253
3,Logan Webb,San Francisco Giants,P,252
4,Max Fried,New York Yankees,P,251
4,Garrett Crochet,Boston Red Sox,P,251
6,Jose Berrios,Toronto Blue Jays,P,250
6,Mitch Keller,Pittsburgh Pirates,P,250
8,Jake Irvin,Washington Nationals,P,249
8,Jose Soriano,Los Angeles Angels,P,249
10,Spencer Schwellenbach,Atlanta Braves,P,248
11,Nick Lodolo,Cincinnati Reds,P,245
12,Chris Bassitt,Toronto Blue Jays,P,244
12,Zack Wheeler,Philadelphia Phillies,P,244
12,Kris Bubic,Kansas City Royals,P,244
15,Zac Gallen,Arizona Diamondbacks,P,243
15,Michael Lorenzen,Kansas City Royals,P,243
15,Paul Skenes,Pittsburgh Pirates,P,243
18,Dean Kremer,Baltimore Orioles,P,242
18,Jesus Luzardo,Philadelphia Phillies,P,242
20,Antonio Senzatela,Colorado Rockies,P,239
20,Zack Littell,Tampa Bay Rays,P,239
22,Mitchell Parker,Washington Nationals,P,238
22,Brandon Pfaadt,Arizona Diamondbacks,P,238
22,Luis Castillo,Seattle Mariners,P,238
25,Davis Martin,Chicago White Sox,P,237
25,Jonathan Cannon,Chicago White Sox,P,237
25,Chris Sale,Atlanta Braves,P,237
28,Carlos Rodon,New York Yankees,P,236
28,Michael Wacha,Kansas City Royals,P,236
28,MacKenzie Gore,Washington Nationals,P,236
28,Erick Fedde,St. Louis Cardinals,P,236
28,Ryan Pepiot,Tampa Bay Rays,P,236
33,Yusei Kikuchi,Los Angeles Angels,P,235
33,Robbie Ray,San Francisco Giants,P,235
35,Tarik Skubal,Detroit Tigers,P,234
36,Nathan Eovaldi,Texas Rangers,P,232
37,Kyle Freeland,Colorado Rockies,P,231
38,Jameson Taillon,Chicago Cubs,P,230
38,Merrill Kelly,Arizona Diamondbacks,P,230
38,Nick Martinez,Cincinnati Reds,P,230
41,Clay Holmes,New York Mets,P,228
42,Freddy Peralta,Milwaukee Brewers,P,227
42,Sonny Gray,St. Louis Cardinals,P,227
42,Dylan Cease,San Diego Padres,P,227
45,Michael King,San Diego Padres,P,225
45,Jeffrey Springs,Sacramento Athletics,P,225
45,Justin Verlander,San Francisco Giants,P,225
48,Seth Lugo,Kansas City Royals,P,222
48,Yoshinobu Yamamoto,Los Angeles Dodgers,P,222
48,Bryan Woo,Seattle Mariners,P,222
51,Aaron Nola,Philadelphia Phillies,P,220
52,David Peterson,New York Mets,P,219
53,Sean Burke,Chicago White Sox,P,218
54,Max Meyer,Miami Marlins,P,216
55,Bailey Falter,Pittsburgh Pirates,P,214
55,Matthew Boyd,Chicago Cubs,P,214
57,Taj Bradley,Tampa Bay Rays,P,213
57,Tyler Mahle,Texas Rangers,P,213
57,Tanner Bibee,Cleveland Guardians,P,213
57,Andre Pallante,St. Louis Cardinals,P,213
61,Ben Brown,Chicago Cubs,P,212
61,Grant Holmes,Atlanta Braves,P,212
63,Bailey Ober,Minnesota Twins,P,211
63,Eduardo Rodriguez,Arizona Diamondbacks,P,211
63,Jack Kochanowicz,Los Angeles Angels,P,211
63,Luis Ortiz,Cleveland Guardians,P,211
67,Shane Baz,Tampa Bay Rays,P,210
67,Matthew Liberatore,St. Louis Cardinals,P,210
69,Tyler Anderson,Los Angeles Angels,P,209
69,Andrew Heaney,Pittsburgh Pirates,P,209
71,Hunter Brown,Houston Astros,P,208
71,Tomoyuki Sugano,Baltimore Orioles,P,208
73,Jordan Hicks,San Francisco Giants,P,207
73,Cristopher Sanchez,Philadelphia Phillies,P,207
75,Trevor Williams,Washington Nationals,P,206
76,Kodai Senga,New York Mets,P,204
77,Tanner Houck,Boston Red Sox,P,203
77,Landen Roupp,San Francisco Giants,P,203
79,JP Sears,Sacramento Athletics,P,202
79,Chad Patrick,Milwaukee Brewers,P,202
79,Shane Smith,Chicago White Sox,P,202
79,Will Warren,New York Yankees,P,202
83,Bowden Francis,Toronto Blue Jays,P,201
83,Kevin Gausman,Toronto Blue Jays,P,201
83,Reese Olson,Detroit Tigers,P,201
86,Joe Ryan,Minnesota Twins,P,200
87,Jacob deGrom,Texas Rangers,P,199
87,Ronel Blanco,Houston Astros,P,199
89,Brady Singer,Cincinnati Reds,P,198
89,Nick Pivetta,San Diego Padres,P,198
89,Kyle Hendricks,Los Angeles Angels,P,198
89,Osvaldo Bido,Sacramento Athletics,P,198
89,Griffin Canning,New York Mets,P,198
94,Randy Vasquez,San Diego Padres,P,196
95,Charlie Morton,Baltimore Orioles,P,195
96,Jack Flaherty,Detroit Tigers,P,194
97,Chris Paddack,Minnesota Twins,P,193
97,Tylor Megill,New York Mets,P,193
97,German Marquez,Colorado Rockies,P,193
100,Cole Ragans,Kansas City Royals,P,191
