Rank,Player,Team,Pos,Value
1,Tanner Houck,Boston Red Sox,P,39
1,German Marquez,Colorado Rockies,P,39
3,Sandy Alcantara,Miami Marlins,P,37
3,Eduardo Rodriguez,Arizona Diamondbacks,P,37
5,Antonio Senzatela,Colorado Rockies,P,35
5,Charlie Morton,Baltimore Orioles,P,35
7,Aaron Nola,Philadelphia Phillies,P,34
7,Jordan Hicks,San Francisco Giants,P,34
7,Dean Kremer,Baltimore Orioles,P,34
10,Kyle Freeland,Colorado Rockies,P,32
10,Zac Gallen,Arizona Diamondbacks,P,32
12,Bowden Francis,Toronto Blue Jays,P,31
13,Trevor Williams,Washington Nationals,P,30
14,Shane Baz,Tampa Bay Rays,P,29
14,Cal Quantrill,Miami Marlins,P,29
16,Osvaldo Bido,Sacramento Athletics,P,28
16,Zack Littell,Tampa Bay Rays,P,28
16,Kyle Hendricks,Los Angeles Angels,P,28
16,Ben Brown,Chicago Cubs,P,28
16,Luis Severino,Sacramento Athletics,P,28
21,Dylan Cease,San Diego Padres,P,27
21,Chase Dollander,Colorado Rockies,P,27
21,Mitchell Parker,Washington Nationals,P,27
21,Jose Berrios,Toronto Blue Jays,P,27
21,Taj Bradley,Tampa Bay Rays,P,27
21,Cade Povich,Baltimore Orioles,P,27
27,Brady Singer,Cincinnati Reds,P,26
27,Jake Irvin,Washington Nationals,P,26
27,Justin Verlander,San Francisco Giants,P,26
27,Jameson Taillon,Chicago Cubs,P,26
27,Jack Kochanowicz,Los Angeles Angels,P,26
27,Kevin Gausman,Toronto Blue Jays,P,26
33,Max Meyer,Miami Marlins,P,25
33,Noah Murdock,Kansas City Royals,P,25
33,Sonny Gray,St. Louis Cardinals,P,25
33,Framber Valdez,Houston Astros,P,25
33,Sean Burke,Chicago White Sox,P,25
33,Mitch Keller,Pittsburgh Pirates,P,25
33,Luis Ortiz,Cleveland Guardians,P,25
33,Carmen Mlodzinski,Pittsburgh Pirates,P,25
33,Ryan Pepiot,Tampa Bay Rays,P,25
33,Connor Gillispie,Miami Marlins,P,25
43,Erick Fedde,St. Louis Cardinals,P,24
43,Brandon Pfaadt,Arizona Diamondbacks,P,24
43,Spencer Schwellenbach,Atlanta Braves,P,24
43,Michael Lorenzen,Kansas City Royals,P,24
47,Bradley Blalock,Colorado Rockies,P,23
47,Jack Flaherty,Detroit Tigers,P,23
47,MacKenzie Gore,Washington Nationals,P,23
47,Tanner Bibee,Cleveland Guardians,P,23
47,Kyle Gibson,Baltimore Orioles,P,23
47,Bryce Miller,Seattle Mariners,P,23
47,Cole Ragans,Kansas City Royals,P,23
47,Emerson Hancock,Seattle Mariners,P,23
47,Jonathan Cannon,Chicago White Sox,P,23
47,Andre Pallante,St. Louis Cardinals,P,23
47,Grant Holmes,Atlanta Braves,P,23
47,Jose Soriano,Los Angeles Angels,P,23
47,Jeffrey Springs,Sacramento Athletics,P,23
60,Ronel Blanco,Houston Astros,P,22
60,Chris Sale,Atlanta Braves,P,22
60,Landen Roupp,San Francisco Giants,P,22
60,Dustin May,Los Angeles Dodgers,P,22
60,Davis Martin,Chicago White Sox,P,22
60,Bryse Wilson,Chicago White Sox,P,22
60,Bryce Elder,Atlanta Braves,P,22
60,Nick Martinez,Cincinnati Reds,P,22
68,Simeon Woods-Richardson,Minnesota Twins,P,21
68,Yusei Kikuchi,Los Angeles Angels,P,21
68,Carlos Rodon,New York Yankees,P,21
68,Will Warren,New York Yankees,P,21
68,Bailey Falter,Pittsburgh Pirates,P,21
68,Nick Lodolo,Cincinnati Reds,P,21
68,Carlos Carrasco,New York Yankees,P,21
68,Chris Paddack,Minnesota Twins,P,21
68,Edward Cabrera,Miami Marlins,P,21
68,Merrill Kelly,Arizona Diamondbacks,P,21
78,Luis Castillo,Seattle Mariners,P,20
78,Bailey Ober,Minnesota Twins,P,20
78,Quinn Priester,Milwaukee Brewers,P,20
78,Gavin Williams,Cleveland Guardians,P,20
82,Lucas Sims,Washington Nationals,P,19
82,Clay Holmes,New York Mets,P,19
82,Miles Mikolas,St. Louis Cardinals,P,19
82,Seth Lugo,Kansas City Royals,P,19
82,Tarik Skubal,Detroit Tigers,P,19
82,Brad Lord,Washington Nationals,P,19
82,Zack Wheeler,Philadelphia Phillies,P,19
89,JP Sears,Sacramento Athletics,P,18
89,David Peterson,New York Mets,P,18
89,Roki Sasaki,Los Angeles Dodgers,P,18
89,Chad Patrick,Milwaukee Brewers,P,18
89,Chris Bassitt,Toronto Blue Jays,P,18
89,Michael Wacha,Kansas City Royals,P,18
89,Tomoyuki Sugano,Baltimore Orioles,P,18
89,Jackson Jobe,Detroit Tigers,P,18
89,Tylor Megill,New York Mets,P,18
89,Kumar Rocker,Texas Rangers,P,18
89,Elvin Rodriguez,Milwaukee Brewers,P,18
89,Keider Montero,Detroit Tigers,P,18
