Rank,Player,Team,Pos,Value
1,Jake Irvin,Washington Nationals,P,45
1,Zac Gallen,Arizona Diamondbacks,P,45
3,Zack Littell,Tampa Bay Rays,P,44
3,Luis Castillo,Seattle Mariners,P,44
5,Jonathan Cannon,Chicago White Sox,P,43
6,Miles Mikolas,St. Louis Cardinals,P,42
6,Osvaldo Bido,Sacramento Athletics,P,42
6,Mitchell Parker,Washington Nationals,P,42
9,Bailey Ober,Minnesota Twins,P,41
9,Shota Imanaga,Chicago Cubs,P,41
9,Nick Lodolo,Cincinnati Reds,P,41
9,Ben Lively,Cleveland Guardians,P,41
9,Sean Burke,Chicago White Sox,P,41
14,Tyler Anderson,Los Angeles Angels,P,40
14,Dean Kremer,Baltimore Orioles,P,40
16,Bailey Falter,Pittsburgh Pirates,P,39
16,Kevin Gausman,Toronto Blue Jays,P,39
16,Matthew Liberatore,St. Louis Cardinals,P,39
19,Yusei Kikuchi,Los Angeles Angels,P,38
19,Mitch Keller,Pittsburgh Pirates,P,38
19,Jeffrey Springs,Sacramento Athletics,P,38
19,JP Sears,Sacramento Athletics,P,38
19,Bryan Woo,Seattle Mariners,P,38
24,Max Fried,New York Yankees,P,37
24,Michael Lorenzen,Kansas City Royals,P,37
26,Chad Patrick,Milwaukee Brewers,P,36
26,Seth Lugo,Kansas City Royals,P,36
28,Erick Fedde,St. Louis Cardinals,P,35
28,Michael King,San Diego Padres,P,35
28,Kyle Hendricks,Los Angeles Angels,P,35
28,Chris Paddack,Minnesota Twins,P,35
28,Hunter Greene,Cincinnati Reds,P,35
28,Justin Verlander,San Francisco Giants,P,35
28,Tomoyuki Sugano,Baltimore Orioles,P,35
35,Matthew Boyd,Chicago Cubs,P,34
35,Ryan Pepiot,Tampa Bay Rays,P,34
35,Brady Singer,Cincinnati Reds,P,34
35,Robbie Ray,San Francisco Giants,P,34
39,Ronel Blanco,Houston Astros,P,33
39,Jameson Taillon,Chicago Cubs,P,33
39,Luis Severino,Sacramento Athletics,P,33
39,Joe Ryan,Minnesota Twins,P,33
39,Shane Smith,Chicago White Sox,P,33
39,Freddy Peralta,Milwaukee Brewers,P,33
39,Tyler Mahle,Texas Rangers,P,33
39,Davis Martin,Chicago White Sox,P,33
47,Trevor Williams,Washington Nationals,P,32
47,Logan Allen,Cleveland Guardians,P,32
47,Randy Vasquez,San Diego Padres,P,32
47,Merrill Kelly,Arizona Diamondbacks,P,32
47,Nick Martinez,Cincinnati Reds,P,32
47,Grant Holmes,Atlanta Braves,P,32
47,Chris Sale,Atlanta Braves,P,32
54,Carlos Rodon,New York Yankees,P,31
54,Jacob deGrom,Texas Rangers,P,31
54,Tyler Alexander,Milwaukee Brewers,P,31
54,Jack Leiter,Texas Rangers,P,31
58,Michael Wacha,Kansas City Royals,P,30
58,Tarik Skubal,Detroit Tigers,P,30
58,Nathan Eovaldi,Texas Rangers,P,30
58,Patrick Corbin,Texas Rangers,P,30
58,Andrew Heaney,Pittsburgh Pirates,P,30
58,Jesus Luzardo,Philadelphia Phillies,P,30
58,Paul Skenes,Pittsburgh Pirates,P,30
65,Jose Berrios,Toronto Blue Jays,P,29
65,Jack Flaherty,Detroit Tigers,P,29
65,Nick Pivetta,San Diego Padres,P,29
65,Casey Mize,Detroit Tigers,P,29
65,Bowden Francis,Toronto Blue Jays,P,29
65,Jack Kochanowicz,Los Angeles Angels,P,29
65,Simeon Woods-Richardson,Minnesota Twins,P,29
65,Taj Bradley,Tampa Bay Rays,P,29
73,Kodai Senga,New York Mets,P,28
73,MacKenzie Gore,Washington Nationals,P,28
73,Dylan Cease,San Diego Padres,P,28
73,Chris Bassitt,Toronto Blue Jays,P,28
73,Sonny Gray,St. Louis Cardinals,P,28
73,Tanner Bibee,Cleveland Guardians,P,28
73,German Marquez,Colorado Rockies,P,28
73,Brandon Pfaadt,Arizona Diamondbacks,P,28
81,Kyle Freeland,Colorado Rockies,P,27
81,Reese Olson,Detroit Tigers,P,27
81,Chase Dollander,Colorado Rockies,P,27
81,Antonio Senzatela,Colorado Rockies,P,27
81,Cal Quantrill,Miami Marlins,P,27
81,Roki Sasaki,Los Angeles Dodgers,P,27
81,Zack Wheeler,Philadelphia Phillies,P,27
81,Spencer Schwellenbach,Atlanta Braves,P,27
81,Garrett Crochet,Boston Red Sox,P,27
90,Andrew Abbott,Cincinnati Reds,P,26
90,Charlie Morton,Baltimore Orioles,P,26
92,Ryan Gusto,Houston Astros,P,25
92,Bryce Elder,Atlanta Braves,P,25
92,Landen Roupp,San Francisco Giants,P,25
92,Kris Bubic,Kansas City Royals,P,25
92,Pablo Lopez,Minnesota Twins,P,25
97,Ben Casparius,Los Angeles Dodgers,P,24
97,Bryse Wilson,Chicago White Sox,P,24
97,Framber Valdez,Houston Astros,P,24
97,Bryce Miller,Seattle Mariners,P,24
