Rank,Player,Team,Pos,Value
1,Bobby Witt Jr.,Kansas City Royals,SS,50
1,Rafael Devers,Boston Red Sox,3B,50
1,Elly De La Cruz,Cincinnati Reds,SS,50
4,Jarren Duran,Boston Red Sox,CF,49
4,Dansby Swanson,Chicago Cubs,SS,49
4,Pete Crow-Armstrong,Chicago Cubs,CF,49
4,Vinnie Pasquantino,Kansas City Royals,1B,49
4,Willy Adames,San Francisco Giants,SS,49
4,Alex Bregman,Boston Red Sox,2B,49
4,Pete Alonso,New York Mets,1B,49
4,Kyle Tucker,Chicago Cubs,RF,49
4,James Wood,Washington Nationals,LF,49
13,Austin Riley,Atlanta Braves,3B,48
13,Adolis Garcia,Texas Rangers,RF,48
13,Corbin Carroll,Arizona Diamondbacks,RF,48
13,Jackson Chourio,Milwaukee Brewers,LF,48
13,Bryce Harper,Philadelphia Phillies,1B,48
13,Tyler Soderstrom,Sacramento Athletics,1B,48
13,Francisco Lindor,New York Mets,SS,48
13,Brent Rooker,Sacramento Athletics,LF,48
13,Juan Soto,New York Mets,RF,48
13,Nathaniel Lowe,Washington Nationals,1B,48
13,Marcus Semien,Texas Rangers,2B,48
13,Ozzie Albies,Atlanta Braves,2B,48
13,Matt Olson,Atlanta Braves,1B,48
13,Heliot Ramos,San Francisco Giants,CF,48
13,Nick Castellanos,Philadelphia Phillies,RF,48
13,Kyle Schwarber,Philadelphia Phillies,LF,48
13,Matt Chapman,San Francisco Giants,3B,48
30,Josh Naylor,Arizona Diamondbacks,1B,47
30,Aaron Judge,New York Yankees,CF,47
30,Eugenio Suárez,Arizona Diamondbacks,3B,47
30,Jeremy Pena,Houston Astros,SS,47
30,Isaac Paredes,Houston Astros,3B,47
30,Spencer Torkelson,Detroit Tigers,1B,47
30,Lars Nootbaar,St. Louis Cardinals,RF,47
30,Geraldo Perdomo,Arizona Diamondbacks,SS,47
30,Michael Harris II,Atlanta Braves,LF,47
30,Jacob Wilson,Sacramento Athletics,SS,47
30,Willson Contreras,St. Louis Cardinals,1B,47
30,Salvador Perez,Kansas City Royals,C,47
30,Shohei Ohtani,Los Angeles Dodgers,P,47
30,Christian Walker,Houston Astros,1B,47
30,Maikel Garcia,Kansas City Royals,3B,47
30,Bryan Reynolds,Pittsburgh Pirates,LF,47
30,Bo Bichette,Toronto Blue Jays,SS,47
47,Ryan McMahon,Colorado Rockies,3B,46
47,Brandon Nimmo,New York Mets,LF,46
47,Cal Raleigh,Seattle Mariners,C,46
47,Anthony Volpe,New York Yankees,SS,46
47,Christian Yelich,Milwaukee Brewers,LF,46
47,Andrew Vaughn,Chicago White Sox,1B,46
47,Manny Machado,San Diego Padres,3B,46
47,Jung Hoo Lee,San Francisco Giants,CF,46
47,Brendan Donovan,St. Louis Cardinals,2B,46
47,Julio Rodriguez,Seattle Mariners,CF,46
47,Riley Greene,Detroit Tigers,LF,46
47,William Contreras,Milwaukee Brewers,C,46
47,Brice Turang,Milwaukee Brewers,2B,46
47,Vladimir Guerrero Jr.,Toronto Blue Jays,1B,46
47,Taylor Ward,Los Angeles Angels,LF,46
47,Trevor Story,Boston Red Sox,2B,46
47,Jose Altuve,Houston Astros,LF,46
47,Steven Kwan,Cleveland Guardians,LF,46
65,Trea Turner,Philadelphia Phillies,SS,45
65,Nolan Schanuel,Los Angeles Angels,1B,45
65,Hunter Goodman,Colorado Rockies,C,45
65,Ke'Bryan Hayes,Pittsburgh Pirates,3B,45
65,Xander Bogaerts,San Diego Padres,2B,45
65,J.P. Crawford,Seattle Mariners,SS,45
65,Yandy Diaz,Tampa Bay Rays,1B,45
65,TJ Friedl,Cincinnati Reds,CF,45
65,Seiya Suzuki,Chicago Cubs,RF,45
65,Andy Pages,Los Angeles Dodgers,CF,45
65,Marcell Ozuna,Atlanta Braves,DH,45
65,Nolan Arenado,St. Louis Cardinals,3B,45
65,Lawrence Butler,Sacramento Athletics,RF,45
65,Joey Ortiz,Milwaukee Brewers,3B,45
65,Fernando Tatis Jr.,San Diego Padres,RF,45
65,Alec Bohm,Philadelphia Phillies,3B,45
65,Miguel Vargas,Chicago White Sox,3B,45
65,Randy Arozarena,Seattle Mariners,LF,45
65,Nico Hoerner,Chicago Cubs,2B,45
65,Trevor Larnach,Minnesota Twins,LF,45
65,Jonathan India,Kansas City Royals,2B,45
65,Michael Toglia,Colorado Rockies,1B,45
65,Dylan Crews,Washington Nationals,RF,45
65,Mookie Betts,Los Angeles Dodgers,SS,45
89,Lourdes Gurriel Jr.,Arizona Diamondbacks,LF,44
89,Ty France,Minnesota Twins,1B,44
89,Cedric Mullins,Baltimore Orioles,CF,44
89,JJ Bleday,Sacramento Athletics,CF,44
89,Rhys Hoskins,Milwaukee Brewers,1B,44
89,Sal Frelick,Milwaukee Brewers,RF,44
89,Luis Robert Jr.,Chicago White Sox,CF,44
89,Victor Scott II,St. Louis Cardinals,CF,44
89,Jose Ramirez,Cleveland Guardians,3B,44
89,Wilmer Flores,San Francisco Giants,1B,44
99,Michael Conforto,Los Angeles Dodgers,LF,43
99,Paul Goldschmidt,New York Yankees,1B,43
