Rank,Player,Team,Pos,Value
1,Andre Pallante,St. Louis Cardinals,P,88
2,Jose Soriano,Los Angeles Angels,P,83
2,Logan Webb,San Francisco Giants,P,83
4,Spencer Schwellenbach,Atlanta Braves,P,74
5,Framber Valdez,Houston Astros,P,72
6,Nathan Eovaldi,Texas Rangers,P,71
6,Davis Martin,Chicago White Sox,P,71
8,Antonio Senzatela,Colorado Rockies,P,70
9,Paul Skenes,Pittsburgh Pirates,P,69
9,Max Fried,New York Yankees,P,69
11,Yoshinobu Yamamoto,Los Angeles Dodgers,P,68
12,Luis Severino,Sacramento Athletics,P,66
13,Merrill Kelly,Arizona Diamondbacks,P,63
14,David Peterson,New York Mets,P,62
14,Nick Lodolo,Cincinnati Reds,P,62
16,Jack Kochanowicz,Los Angeles Angels,P,61
16,Chris Bassitt,Toronto Blue Jays,P,61
16,Jordan Hicks,San Francisco Giants,P,61
19,Tomoyuki Sugano,Baltimore Orioles,P,60
19,Kyle Freeland,Colorado Rockies,P,60
21,Erick Fedde,St. Louis Cardinals,P,59
22,Clay Holmes,New York Mets,P,58
22,Nick Martinez,Cincinnati Reds,P,58
22,Andrew Heaney,Pittsburgh Pirates,P,58
25,Michael Wacha,Kansas City Royals,P,57
25,Bryce Elder,Atlanta Braves,P,57
25,Jake Irvin,Washington Nationals,P,57
25,Luis Castillo,Seattle Mariners,P,57
25,Tanner Bibee,Cleveland Guardians,P,57
30,Zack Wheeler,Philadelphia Phillies,P,56
30,Garrett Crochet,Boston Red Sox,P,56
30,Tyler Mahle,Texas Rangers,P,56
30,Brandon Pfaadt,Arizona Diamondbacks,P,56
34,Dustin May,Los Angeles Dodgers,P,55
34,Kris Bubic,Kansas City Royals,P,55
34,Dean Kremer,Baltimore Orioles,P,55
37,Jose Berrios,Toronto Blue Jays,P,54
37,Max Meyer,Miami Marlins,P,54
37,Cristopher Sanchez,Philadelphia Phillies,P,54
37,Mitch Keller,Pittsburgh Pirates,P,54
37,Drew Rasmussen,Tampa Bay Rays,P,54
37,Tanner Houck,Boston Red Sox,P,54
37,Mitchell Parker,Washington Nationals,P,54
37,Taj Bradley,Tampa Bay Rays,P,54
45,Seth Lugo,Kansas City Royals,P,53
45,Zack Littell,Tampa Bay Rays,P,53
45,Grant Holmes,Atlanta Braves,P,53
48,Michael Lorenzen,Kansas City Royals,P,52
49,Quinn Priester,Milwaukee Brewers,P,51
49,Jesus Luzardo,Philadelphia Phillies,P,51
51,Shane Baz,Tampa Bay Rays,P,50
51,Griffin Canning,New York Mets,P,50
51,Carlos Rodon,New York Yankees,P,50
51,Jonathan Cannon,Chicago White Sox,P,50
51,Corbin Burnes,Arizona Diamondbacks,P,50
51,Hunter Brown,Houston Astros,P,50
51,Matthew Liberatore,St. Louis Cardinals,P,50
58,Jameson Taillon,Chicago Cubs,P,49
58,Kyle Hendricks,Los Angeles Angels,P,49
58,Kodai Senga,New York Mets,P,49
58,Ryan Pepiot,Tampa Bay Rays,P,49
62,Reese Olson,Detroit Tigers,P,48
63,Landen Roupp,San Francisco Giants,P,47
63,Aaron Nola,Philadelphia Phillies,P,47
63,German Marquez,Colorado Rockies,P,47
63,Sandy Alcantara,Miami Marlins,P,47
67,Jacob deGrom,Texas Rangers,P,46
67,Robbie Ray,San Francisco Giants,P,46
69,Luis Ortiz,Cleveland Guardians,P,45
69,Bryan Woo,Seattle Mariners,P,45
69,Bailey Falter,Pittsburgh Pirates,P,45
69,Tarik Skubal,Detroit Tigers,P,45
69,Freddy Peralta,Milwaukee Brewers,P,45
69,Justin Verlander,San Francisco Giants,P,45
75,Miles Mikolas,St. Louis Cardinals,P,44
75,Zac Gallen,Arizona Diamondbacks,P,44
75,Randy Vasquez,San Diego Padres,P,44
75,Shane Smith,Chicago White Sox,P,44
79,Sean Burke,Chicago White Sox,P,43
79,JP Sears,Sacramento Athletics,P,43
81,Angel Chivilli,Colorado Rockies,P,42
81,Jeffrey Springs,Sacramento Athletics,P,42
81,Chris Paddack,Minnesota Twins,P,42
84,Trevor Williams,Washington Nationals,P,41
84,Carmen Mlodzinski,Pittsburgh Pirates,P,41
84,Patrick Corbin,Texas Rangers,P,41
84,Brayan Bello,Boston Red Sox,P,41
84,Brady Singer,Cincinnati Reds,P,41
89,Tim Hill,New York Yankees,P,40
89,Dylan Cease,San Diego Padres,P,40
89,Tyler Anderson,Los Angeles Angels,P,40
89,Yusei Kikuchi,Los Angeles Angels,P,40
89,Sonny Gray,St. Louis Cardinals,P,40
89,Kevin Gausman,Toronto Blue Jays,P,40
89,Charlie Morton,Baltimore Orioles,P,40
89,Casey Mize,Detroit Tigers,P,40
89,Bowden Francis,Toronto Blue Jays,P,40
89,Pablo Lopez,Minnesota Twins,P,40
89,Will Warren,New York Yankees,P,40
100,Michael King,San Diego Padres,P,39
