Rank,Player,Team,Pos,Value
1,Antonio Senzatela,Colorado Rockies,P,84
2,Kyle Freeland,Colorado Rockies,P,71
3,Dean Kremer,Baltimore Orioles,P,62
4,Davis Martin,Chicago White Sox,P,59
4,Chris Bassitt,Toronto Blue Jays,P,59
4,Mitch Keller,Pittsburgh Pirates,P,59
4,Jose Soriano,Los Angeles Angels,P,59
4,Chris Sale,Atlanta Braves,P,59
4,Aaron Nola,Philadelphia Phillies,P,59
10,Jose Berrios,Toronto Blue Jays,P,58
10,Trevor Williams,Washington Nationals,P,58
10,Zack Littell,Tampa Bay Rays,P,58
10,Eduardo Rodriguez,Arizona Diamondbacks,P,58
14,Tanner Houck,Boston Red Sox,P,57
14,Michael Lorenzen,Kansas City Royals,P,57
14,German Marquez,Colorado Rockies,P,57
17,Brandon Pfaadt,Arizona Diamondbacks,P,56
17,Luis Severino,Sacramento Athletics,P,56
17,Ben Brown,Chicago Cubs,P,56
17,Ryan Pepiot,Tampa Bay Rays,P,56
21,MacKenzie Gore,Washington Nationals,P,55
21,Jordan Hicks,San Francisco Giants,P,55
21,Logan Webb,San Francisco Giants,P,55
21,Jonathan Cannon,Chicago White Sox,P,55
25,Michael Wacha,Kansas City Royals,P,54
25,Bailey Ober,Minnesota Twins,P,54
27,Bowden Francis,Toronto Blue Jays,P,53
27,Jake Irvin,Washington Nationals,P,53
27,Sean Newcomb,Boston Red Sox,P,53
27,Nick Martinez,Cincinnati Reds,P,53
27,Spencer Schwellenbach,Atlanta Braves,P,53
27,Justin Verlander,San Francisco Giants,P,53
33,Yusei Kikuchi,Los Angeles Angels,P,52
33,Osvaldo Bido,Sacramento Athletics,P,52
33,Framber Valdez,Houston Astros,P,52
33,Zac Gallen,Arizona Diamondbacks,P,52
33,Carmen Mlodzinski,Pittsburgh Pirates,P,52
33,Nick Lodolo,Cincinnati Reds,P,52
39,Max Meyer,Miami Marlins,P,51
39,Landen Roupp,San Francisco Giants,P,51
39,Andre Pallante,St. Louis Cardinals,P,51
39,Luis Castillo,Seattle Mariners,P,51
39,Jesus Luzardo,Philadelphia Phillies,P,51
44,Shane Baz,Tampa Bay Rays,P,50
44,Jameson Taillon,Chicago Cubs,P,50
44,Sonny Gray,St. Louis Cardinals,P,50
44,Matthew Boyd,Chicago Cubs,P,50
44,Jack Kochanowicz,Los Angeles Angels,P,50
49,Tarik Skubal,Detroit Tigers,P,49
50,Erick Fedde,St. Louis Cardinals,P,48
50,Dylan Cease,San Diego Padres,P,48
50,David Peterson,New York Mets,P,48
50,Clay Holmes,New York Mets,P,48
50,Charlie Morton,Baltimore Orioles,P,48
50,Cal Quantrill,Miami Marlins,P,48
50,Tanner Bibee,Cleveland Guardians,P,48
50,Kris Bubic,Kansas City Royals,P,48
58,Mitchell Parker,Washington Nationals,P,47
58,Cade Povich,Baltimore Orioles,P,47
58,Seth Lugo,Kansas City Royals,P,47
58,Chad Patrick,Milwaukee Brewers,P,47
62,Sean Burke,Chicago White Sox,P,46
62,Taj Bradley,Tampa Bay Rays,P,46
62,Matthew Liberatore,St. Louis Cardinals,P,46
62,Garrett Crochet,Boston Red Sox,P,46
66,Gavin Williams,Cleveland Guardians,P,45
66,Bryse Wilson,Chicago White Sox,P,45
66,Zack Wheeler,Philadelphia Phillies,P,45
66,Jeffrey Springs,Sacramento Athletics,P,45
66,Tomoyuki Sugano,Baltimore Orioles,P,45
71,Griffin Canning,New York Mets,P,44
71,Simeon Woods-Richardson,Minnesota Twins,P,44
71,JP Sears,Sacramento Athletics,P,44
71,Kyle Hendricks,Los Angeles Angels,P,44
71,Emerson Hancock,Seattle Mariners,P,44
71,Max Fried,New York Yankees,P,44
71,Luis Ortiz,Cleveland Guardians,P,44
71,Sandy Alcantara,Miami Marlins,P,44
79,Brady Singer,Cincinnati Reds,P,43
79,Logan Allen,Cleveland Guardians,P,43
79,Bailey Falter,Pittsburgh Pirates,P,43
79,Merrill Kelly,Arizona Diamondbacks,P,43
79,Robbie Ray,San Francisco Giants,P,43
79,Paul Skenes,Pittsburgh Pirates,P,43
85,Jack Flaherty,Detroit Tigers,P,42
85,Kevin Gausman,Toronto Blue Jays,P,42
85,Bryce Elder,Atlanta Braves,P,42
85,Will Warren,New York Yankees,P,42
85,Cole Ragans,Kansas City Royals,P,42
85,Bryan Woo,Seattle Mariners,P,42
91,Cristopher Sanchez,Philadelphia Phillies,P,41
91,Patrick Corbin,Texas Rangers,P,41
93,Miles Mikolas,St. Louis Cardinals,P,40
93,Michael King,San Diego Padres,P,40
93,Dustin May,Los Angeles Dodgers,P,40
93,Randy Vasquez,San Diego Padres,P,40
93,Bryce Miller,Seattle Mariners,P,40
93,Brad Lord,Washington Nationals,P,40
99,Kodai Senga,New York Mets,P,39
99,Jacob deGrom,Texas Rangers,P,39
