Rank,Player,Team,Pos,Value
1,Zack Littell,Tampa Bay Rays,P,14
1,Bowden Francis,Toronto Blue Jays,P,14
1,Jameson Taillon,Chicago Cubs,P,14
4,Tanner Bibee,Cleveland Guardians,P,11
4,Brandon Pfaadt,Arizona Diamondbacks,P,11
4,Aaron Nola,Philadelphia Phillies,P,11
7,Osvaldo Bido,Sacramento Athletics,P,10
7,Jake Irvin,Washington Nationals,P,10
7,Chase Dollander,Colorado Rockies,P,10
7,Ryan Pepiot,Tampa Bay Rays,P,10
7,Tanner Houck,Boston Red Sox,P,10
7,Zac Gallen,Arizona Diamondbacks,P,10
7,Grant Holmes,Atlanta Braves,P,10
7,Jack Flaherty,Detroit Tigers,P,10
7,Dean Kremer,Baltimore Orioles,P,10
16,Shane Baz,Tampa Bay Rays,P,9
16,Sonny Gray,St. Louis Cardinals,P,9
16,Antonio Senzatela,Colorado Rockies,P,9
16,Charlie Morton,Baltimore Orioles,P,9
16,Michael Lorenzen,Kansas City Royals,P,9
16,Sean Burke,Chicago White Sox,P,9
16,Tomoyuki Sugano,Baltimore Orioles,P,9
16,Jose Berrios,Toronto Blue Jays,P,9
16,Tyler Anderson,Los Angeles Angels,P,9
16,Seth Lugo,Kansas City Royals,P,9
16,Kyle Hendricks,Los Angeles Angels,P,9
27,Eduardo Rodriguez,Arizona Diamondbacks,P,8
27,Bryse Wilson,Chicago White Sox,P,8
27,Zack Wheeler,Philadelphia Phillies,P,8
27,Simeon Woods-Richardson,Minnesota Twins,P,8
27,MacKenzie Gore,Washington Nationals,P,8
27,Max Meyer,Miami Marlins,P,8
27,Andre Pallante,St. Louis Cardinals,P,8
27,Justin Verlander,San Francisco Giants,P,8
27,Carlos Rodon,New York Yankees,P,8
27,Bryce Elder,Atlanta Braves,P,8
27,Cade Povich,Baltimore Orioles,P,8
38,Joe Ryan,Minnesota Twins,P,7
38,Dylan Cease,San Diego Padres,P,7
38,Hayden Wesneski,Houston Astros,P,7
38,Ronel Blanco,Houston Astros,P,7
38,Kevin Gausman,Toronto Blue Jays,P,7
38,Yusei Kikuchi,Los Angeles Angels,P,7
38,Matthew Boyd,Chicago Cubs,P,7
38,Brady Singer,Cincinnati Reds,P,7
38,Shota Imanaga,Chicago Cubs,P,7
38,Patrick Corbin,Texas Rangers,P,7
38,Hunter Greene,Cincinnati Reds,P,7
38,Carlos Carrasco,New York Yankees,P,7
38,Chad Green,Toronto Blue Jays,P,7
38,Jeffrey Springs,Sacramento Athletics,P,7
38,Spencer Schwellenbach,Atlanta Braves,P,7
38,Jack Kochanowicz,Los Angeles Angels,P,7
38,Luis Ortiz,Cleveland Guardians,P,7
38,Sandy Alcantara,Miami Marlins,P,7
38,Emerson Hancock,Seattle Mariners,P,7
38,Chris Paddack,Minnesota Twins,P,7
38,Elvin Rodriguez,Milwaukee Brewers,P,7
38,Taj Bradley,Tampa Bay Rays,P,7
38,Kyle Gibson,Baltimore Orioles,P,7
38,Jacob deGrom,Texas Rangers,P,7
38,Gavin Williams,Cleveland Guardians,P,7
63,Griffin Canning,New York Mets,P,6
63,Michael King,San Diego Padres,P,6
63,Nick Lodolo,Cincinnati Reds,P,6
63,Edward Cabrera,Miami Marlins,P,6
63,Landen Roupp,San Francisco Giants,P,6
63,Drew Rasmussen,Tampa Bay Rays,P,6
63,Zach Eflin,Baltimore Orioles,P,6
63,Kyle Hart,San Diego Padres,P,6
63,Bradley Blalock,Colorado Rockies,P,6
63,Ben Lively,Cleveland Guardians,P,6
63,Roki Sasaki,Los Angeles Dodgers,P,6
63,Raisel Iglesias,Atlanta Braves,P,6
63,Alex Vesia,Los Angeles Dodgers,P,6
63,Merrill Kelly,Arizona Diamondbacks,P,6
63,JP Sears,Sacramento Athletics,P,6
63,Davis Martin,Chicago White Sox,P,6
63,George Soriano,Miami Marlins,P,6
63,Cal Quantrill,Miami Marlins,P,6
63,Jonathan Cannon,Chicago White Sox,P,6
63,Chris Sale,Atlanta Braves,P,6
63,Bailey Ober,Minnesota Twins,P,6
63,Ben Brown,Chicago Cubs,P,6
63,Cristopher Sanchez,Philadelphia Phillies,P,6
63,J.T. Ginn,Sacramento Athletics,P,6
63,Jackson Jobe,Detroit Tigers,P,6
63,Casey Mize,Detroit Tigers,P,6
63,Freddy Peralta,Milwaukee Brewers,P,6
63,Bailey Falter,Pittsburgh Pirates,P,6
63,Gunnar Hoglund,Sacramento Athletics,P,6
63,Tarik Skubal,Detroit Tigers,P,6
63,Connor Gillispie,Miami Marlins,P,6
63,Chris Bassitt,Toronto Blue Jays,P,6
95,Nestor Cortes,Milwaukee Brewers,P,5
95,Carmen Mlodzinski,Pittsburgh Pirates,P,5
95,Erick Fedde,St. Louis Cardinals,P,5
95,Justin Steele,Chicago Cubs,P,5
95,Corbin Burnes,Arizona Diamondbacks,P,5
95,Dustin May,Los Angeles Dodgers,P,5
