Rank,Player,Team,Pos,Value
1,Zack Wheeler,Philadelphia Phillies,P,64.0
2,Logan Webb,San Francisco Giants,P,63.1
3,Framber Valdez,Houston Astros,P,63.0
3,Garrett Crochet,Boston Red Sox,P,63.0
5,Max Fried,New York Yankees,P,62.2
5,Paul Skenes,Pittsburgh Pirates,P,62.2
7,Kris Bubic,Kansas City Royals,P,61.1
7,Nathan Eovaldi,Texas Rangers,P,61.1
7,Spencer Schwellenbach,Atlanta Braves,P,61.1
10,Jake Irvin,Washington Nationals,P,60.1
11,Jesus Luzardo,Philadelphia Phillies,P,60.0
12,Luis Severino,Sacramento Athletics,P,59.2
12,Tarik Skubal,Detroit Tigers,P,59.2
12,Carlos Rodon,New York Yankees,P,59.2
15,Zack Littell,Tampa Bay Rays,P,59.1
16,Nick Lodolo,Cincinnati Reds,P,58.2
17,Mitch Keller,Pittsburgh Pirates,P,58.0
17,Merrill Kelly,Arizona Diamondbacks,P,58.0
17,Jose Soriano,Los Angeles Angels,P,58.0
17,Jose Berrios,Toronto Blue Jays,P,58.0
21,Nick Martinez,Cincinnati Reds,P,57.2
21,Bryan Woo,Seattle Mariners,P,57.2
21,Yoshinobu Yamamoto,Los Angeles Dodgers,P,57.2
24,Michael Lorenzen,Kansas City Royals,P,57.1
24,Robbie Ray,San Francisco Giants,P,57.1
24,Erick Fedde,St. Louis Cardinals,P,57.1
24,Chris Bassitt,Toronto Blue Jays,P,57.1
28,Hunter Brown,Houston Astros,P,56.2
28,Jameson Taillon,Chicago Cubs,P,56.2
28,Seth Lugo,Kansas City Royals,P,56.2
28,Brandon Pfaadt,Arizona Diamondbacks,P,56.2
28,Davis Martin,Chicago White Sox,P,56.2
28,Michael Wacha,Kansas City Royals,P,56.2
34,Ryan Pepiot,Tampa Bay Rays,P,56.1
34,Luis Castillo,Seattle Mariners,P,56.1
34,MacKenzie Gore,Washington Nationals,P,56.1
37,Zac Gallen,Arizona Diamondbacks,P,56.0
37,Sonny Gray,St. Louis Cardinals,P,56.0
39,Freddy Peralta,Milwaukee Brewers,P,55.2
39,Dean Kremer,Baltimore Orioles,P,55.2
39,Michael King,San Diego Padres,P,55.2
42,Mitchell Parker,Washington Nationals,P,55.1
43,Jonathan Cannon,Chicago White Sox,P,55.0
43,Tyler Mahle,Texas Rangers,P,55.0
45,Chris Sale,Atlanta Braves,P,54.2
45,Clay Holmes,New York Mets,P,54.2
47,Dylan Cease,San Diego Padres,P,54.0
47,Yusei Kikuchi,Los Angeles Angels,P,54.0
47,Bailey Falter,Pittsburgh Pirates,P,54.0
50,Jeffrey Springs,Sacramento Athletics,P,53.0
51,Tomoyuki Sugano,Baltimore Orioles,P,52.2
52,Matthew Liberatore,St. Louis Cardinals,P,52.1
53,Joe Ryan,Minnesota Twins,P,52.0
53,Justin Verlander,San Francisco Giants,P,52.0
55,Grant Holmes,Atlanta Braves,P,51.2
56,Matthew Boyd,Chicago Cubs,P,51.1
57,Jacob deGrom,Texas Rangers,P,51.0
57,Kevin Gausman,Toronto Blue Jays,P,51.0
57,Tanner Bibee,Cleveland Guardians,P,51.0
60,Taj Bradley,Tampa Bay Rays,P,50.2
60,Andrew Heaney,Pittsburgh Pirates,P,50.2
60,Kyle Freeland,Colorado Rockies,P,50.2
63,Andre Pallante,St. Louis Cardinals,P,50.1
63,Kodai Senga,New York Mets,P,50.1
63,Tyler Anderson,Los Angeles Angels,P,50.1
63,Nick Pivetta,San Diego Padres,P,50.1
63,David Peterson,New York Mets,P,50.1
63,Max Meyer,Miami Marlins,P,50.1
69,Jack Kochanowicz,Los Angeles Angels,P,49.2
69,Aaron Nola,Philadelphia Phillies,P,49.2
69,Antonio Senzatela,Colorado Rockies,P,49.2
72,Cristopher Sanchez,Philadelphia Phillies,P,49.1
73,Shane Baz,Tampa Bay Rays,P,49.0
73,JP Sears,Sacramento Athletics,P,49.0
75,Reese Olson,Detroit Tigers,P,48.2
76,Luis Ortiz,Cleveland Guardians,P,48.1
76,Ronel Blanco,Houston Astros,P,48.1
76,Bailey Ober,Minnesota Twins,P,48.1
76,Shane Smith,Chicago White Sox,P,48.1
76,Chad Patrick,Milwaukee Brewers,P,48.1
81,Sean Burke,Chicago White Sox,P,48.0
82,Griffin Canning,New York Mets,P,47.1
82,Kyle Hendricks,Los Angeles Angels,P,47.1
84,Chris Paddack,Minnesota Twins,P,46.2
84,Brady Singer,Cincinnati Reds,P,46.2
84,Jack Flaherty,Detroit Tigers,P,46.2
84,Will Warren,New York Yankees,P,46.2
88,Ben Brown,Chicago Cubs,P,46.1
88,Jordan Hicks,San Francisco Giants,P,46.1
88,Bowden Francis,Toronto Blue Jays,P,46.1
91,Drew Rasmussen,Tampa Bay Rays,P,46.0
91,Landen Roupp,San Francisco Giants,P,46.0
93,Cole Ragans,Kansas City Royals,P,45.2
93,Trevor Williams,Washington Nationals,P,45.2
93,Hunter Greene,Cincinnati Reds,P,45.2
93,Corbin Burnes,Arizona Diamondbacks,P,45.2
97,Miles Mikolas,St. Louis Cardinals,P,45.1
98,Pablo Lopez,Minnesota Twins,P,45.0
99,Eduardo Rodriguez,Arizona Diamondbacks,P,44.2
99,Ben Lively,Cleveland Guardians,P,44.2
