Rank,Player,Team,Pos,Value
1,MacKenzie Gore,Washington Nationals,P,995
2,Garrett Crochet,Boston Red Sox,P,991
3,Paul Skenes,Pittsburgh Pirates,P,986
4,Zack Wheeler,Philadelphia Phillies,P,978
5,Jesus Luzardo,Philadelphia Phillies,P,973
6,Max Fried,New York Yankees,P,971
7,Luis Severino,Sacramento Athletics,P,970
8,Logan Webb,San Francisco Giants,P,968
9,Chris Sale,Atlanta Braves,P,967
10,Carlos Rodon,New York Yankees,P,966
11,Chris Bassitt,Toronto Blue Jays,P,957
12,Zac Gallen,Arizona Diamondbacks,P,953
13,Mitch Keller,Pittsburgh Pirates,P,943
14,Yoshinobu Yamamoto,Los Angeles Dodgers,P,936
15,Luis Castillo,Seattle Mariners,P,933
16,Robbie Ray,San Francisco Giants,P,932
16,Freddy Peralta,Milwaukee Brewers,P,932
18,Brandon Pfaadt,Arizona Diamondbacks,P,929
19,Dylan Cease,San Diego Padres,P,925
20,Michael King,San Diego Padres,P,923
21,Yusei Kikuchi,Los Angeles Angels,P,922
22,Nathan Eovaldi,Texas Rangers,P,921
23,Framber Valdez,Houston Astros,P,919
24,Jonathan Cannon,Chicago White Sox,P,914
25,Nick Lodolo,Cincinnati Reds,P,913
25,Kris Bubic,Kansas City Royals,P,913
25,Michael Lorenzen,Kansas City Royals,P,913
28,Jose Soriano,Los Angeles Angels,P,910
29,Dean Kremer,Baltimore Orioles,P,908
30,Jake Irvin,Washington Nationals,P,906
31,Ryan Pepiot,Tampa Bay Rays,P,899
32,Spencer Schwellenbach,Atlanta Braves,P,898
33,Mitchell Parker,Washington Nationals,P,895
34,Tarik Skubal,Detroit Tigers,P,891
35,Merrill Kelly,Arizona Diamondbacks,P,886
36,Antonio Senzatela,Colorado Rockies,P,884
37,Jameson Taillon,Chicago Cubs,P,882
38,Jeffrey Springs,Sacramento Athletics,P,881
39,Davis Martin,Chicago White Sox,P,880
40,Clay Holmes,New York Mets,P,877
41,Erick Fedde,St. Louis Cardinals,P,875
42,Jose Berrios,Toronto Blue Jays,P,873
42,Sonny Gray,St. Louis Cardinals,P,873
44,Tyler Mahle,Texas Rangers,P,871
45,Zack Littell,Tampa Bay Rays,P,870
46,Hunter Brown,Houston Astros,P,868
47,Michael Wacha,Kansas City Royals,P,867
48,Seth Lugo,Kansas City Royals,P,864
49,Aaron Nola,Philadelphia Phillies,P,863
49,Nick Martinez,Cincinnati Reds,P,863
51,Justin Verlander,San Francisco Giants,P,859
52,Grant Holmes,Atlanta Braves,P,854
53,Tanner Bibee,Cleveland Guardians,P,853
54,Will Warren,New York Yankees,P,852
55,David Peterson,New York Mets,P,847
56,Tyler Anderson,Los Angeles Angels,P,839
57,Sean Burke,Chicago White Sox,P,838
58,Luis Ortiz,Cleveland Guardians,P,837
59,Kevin Gausman,Toronto Blue Jays,P,836
60,Shane Baz,Tampa Bay Rays,P,828
61,Matthew Boyd,Chicago Cubs,P,825
62,Bailey Falter,Pittsburgh Pirates,P,818
63,Ben Brown,Chicago Cubs,P,815
64,Trevor Williams,Washington Nationals,P,809
64,JP Sears,Sacramento Athletics,P,809
66,Joe Ryan,Minnesota Twins,P,808
67,Jack Flaherty,Detroit Tigers,P,807
68,Bryan Woo,Seattle Mariners,P,806
69,Griffin Canning,New York Mets,P,804
69,Andrew Heaney,Pittsburgh Pirates,P,804
71,Gavin Williams,Cleveland Guardians,P,803
72,Reese Olson,Detroit Tigers,P,801
72,Taj Bradley,Tampa Bay Rays,P,801
74,Kyle Freeland,Colorado Rockies,P,800
75,Kodai Senga,New York Mets,P,796
76,Cole Ragans,Kansas City Royals,P,795
77,Ronel Blanco,Houston Astros,P,794
77,Andre Pallante,St. Louis Cardinals,P,794
79,Chad Patrick,Milwaukee Brewers,P,791
80,Cristopher Sanchez,Philadelphia Phillies,P,790
81,Brady Singer,Cincinnati Reds,P,789
81,Max Meyer,Miami Marlins,P,789
83,Kyle Hendricks,Los Angeles Angels,P,788
84,Bailey Ober,Minnesota Twins,P,787
85,Tomoyuki Sugano,Baltimore Orioles,P,786
86,Sandy Alcantara,Miami Marlins,P,785
87,Jordan Hicks,San Francisco Giants,P,783
88,Tylor Megill,New York Mets,P,780
89,Chris Paddack,Minnesota Twins,P,779
90,Eduardo Rodriguez,Arizona Diamondbacks,P,777
91,Nick Pivetta,San Diego Padres,P,776
91,Charlie Morton,Baltimore Orioles,P,776
93,Landen Roupp,San Francisco Giants,P,775
94,Bowden Francis,Toronto Blue Jays,P,768
95,Jacob deGrom,Texas Rangers,P,761
96,Matthew Liberatore,St. Louis Cardinals,P,756
97,Tanner Houck,Boston Red Sox,P,749
97,Jack Kochanowicz,Los Angeles Angels,P,749
99,Logan Allen,Cleveland Guardians,P,742
100,Corbin Burnes,Arizona Diamondbacks,P,740
