Rank,Player,Team,Pos,Value
1,German Marquez,Colorado Rockies,P,43
2,Tanner Houck,Boston Red Sox,P,41
2,Antonio Senzatela,Colorado Rockies,P,41
2,Eduardo Rodriguez,Arizona Diamondbacks,P,41
5,Kyle Freeland,Colorado Rockies,P,38
6,Sandy Alcantara,Miami Marlins,P,37
7,Dean Kremer,Baltimore Orioles,P,36
7,Charlie Morton,Baltimore Orioles,P,36
9,Jordan Hicks,San Francisco Giants,P,35
9,Aaron Nola,Philadelphia Phillies,P,35
11,Zac Gallen,Arizona Diamondbacks,P,32
12,Bowden Francis,Toronto Blue Jays,P,31
12,Trevor Williams,Washington Nationals,P,31
14,Osvaldo Bido,Sacramento Athletics,P,30
14,Chase Dollander,Colorado Rockies,P,30
14,Sean Burke,Chicago White Sox,P,30
17,Brady Singer,Cincinnati Reds,P,29
17,Cal Quantrill,Miami Marlins,P,29
17,Mitchell Parker,Washington Nationals,P,29
17,Ben Brown,Chicago Cubs,P,29
17,Luis Severino,Sacramento Athletics,P,29
17,Shane Baz,Tampa Bay Rays,P,29
17,Dylan Cease,San Diego Padres,P,29
17,Jeffrey Springs,Sacramento Athletics,P,29
25,Mitch Keller,Pittsburgh Pirates,P,28
25,Kyle Hendricks,Los Angeles Angels,P,28
25,Zack Littell,Tampa Bay Rays,P,28
28,Jose Berrios,Toronto Blue Jays,P,27
28,Jameson Taillon,Chicago Cubs,P,27
28,Max Meyer,Miami Marlins,P,27
28,Sonny Gray,St. Louis Cardinals,P,27
28,Kevin Gausman,Toronto Blue Jays,P,27
28,Taj Bradley,Tampa Bay Rays,P,27
28,Spencer Schwellenbach,Atlanta Braves,P,27
28,Jack Kochanowicz,Los Angeles Angels,P,27
28,Justin Verlander,San Francisco Giants,P,27
28,Cade Povich,Baltimore Orioles,P,27
38,Jake Irvin,Washington Nationals,P,26
38,Landen Roupp,San Francisco Giants,P,26
38,Brandon Pfaadt,Arizona Diamondbacks,P,26
38,Davis Martin,Chicago White Sox,P,26
38,Luis Ortiz,Cleveland Guardians,P,26
38,Michael Lorenzen,Kansas City Royals,P,26
38,Jose Soriano,Los Angeles Angels,P,26
38,Ryan Pepiot,Tampa Bay Rays,P,26
38,Connor Gillispie,Miami Marlins,P,26
47,Framber Valdez,Houston Astros,P,25
47,Tanner Bibee,Cleveland Guardians,P,25
47,Bailey Falter,Pittsburgh Pirates,P,25
47,Noah Murdock,Kansas City Royals,P,25
47,Dustin May,Los Angeles Dodgers,P,25
47,Carmen Mlodzinski,Pittsburgh Pirates,P,25
53,Jack Flaherty,Detroit Tigers,P,24
53,Cole Ragans,Kansas City Royals,P,24
53,Erick Fedde,St. Louis Cardinals,P,24
53,Jonathan Cannon,Chicago White Sox,P,24
53,Yusei Kikuchi,Los Angeles Angels,P,24
53,Chris Sale,Atlanta Braves,P,24
59,Carlos Rodon,New York Yankees,P,23
59,Kyle Gibson,Baltimore Orioles,P,23
59,Grant Holmes,Atlanta Braves,P,23
59,Bradley Blalock,Colorado Rockies,P,23
59,MacKenzie Gore,Washington Nationals,P,23
59,Chris Paddack,Minnesota Twins,P,23
59,Will Warren,New York Yankees,P,23
59,Bryce Miller,Seattle Mariners,P,23
59,Emerson Hancock,Seattle Mariners,P,23
59,Andre Pallante,St. Louis Cardinals,P,23
59,Nick Martinez,Cincinnati Reds,P,23
59,Nick Lodolo,Cincinnati Reds,P,23
71,Sean Newcomb,Boston Red Sox,P,22
71,Ronel Blanco,Houston Astros,P,22
71,Bryce Elder,Atlanta Braves,P,22
71,Merrill Kelly,Arizona Diamondbacks,P,22
71,Tylor Megill,New York Mets,P,22
71,Bryse Wilson,Chicago White Sox,P,22
71,Quinn Priester,Milwaukee Brewers,P,22
71,Gavin Williams,Cleveland Guardians,P,22
79,Simeon Woods-Richardson,Minnesota Twins,P,21
79,Seth Lugo,Kansas City Royals,P,21
79,Bailey Ober,Minnesota Twins,P,21
79,Carlos Carrasco,New York Yankees,P,21
79,Mitch Spence,Sacramento Athletics,P,21
79,Clay Holmes,New York Mets,P,21
79,Edward Cabrera,Miami Marlins,P,21
86,Miles Mikolas,St. Louis Cardinals,P,20
86,Tyler Anderson,Los Angeles Angels,P,20
86,Tyler Alexander,Milwaukee Brewers,P,20
86,Matthew Boyd,Chicago Cubs,P,20
86,Brad Lord,Washington Nationals,P,20
86,Luis Castillo,Seattle Mariners,P,20
92,Logan Allen,Cleveland Guardians,P,19
92,Chris Bassitt,Toronto Blue Jays,P,19
92,Michael King,San Diego Padres,P,19
92,Tarik Skubal,Detroit Tigers,P,19
92,Zack Wheeler,Philadelphia Phillies,P,19
92,Jackson Jobe,Detroit Tigers,P,19
92,David Peterson,New York Mets,P,19
92,Paul Skenes,Pittsburgh Pirates,P,19
92,Jose A. Ferrer,Washington Nationals,P,19
